; Candidate 16642
; ADRP+ADD at VM 0xfffffff009f0c3b4 (fileoff 0x2f083b4): page=0x1fd942000 add_imm=0xd78

0xfffffff009f0c334: bee4fc97  bl	#0xfffffff009e4562c
0xfffffff009f0c338: e00313aa  mov	x0, x19
0xfffffff009f0c33c: 4bfdff97  bl	#0xfffffff009f0b868
0xfffffff009f0c340: 20010034  cbz	w0, #0xfffffff009f0c364
0xfffffff009f0c344: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c348: 6802088b  add	x8, x19, x8
0xfffffff009f0c34c: 291f8e52  mov	w9, #0x70f9
0xfffffff009f0c350: f72700a9  stp	x23, x9, [sp]
0xfffffff009f0c354: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009f0c358: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c35c: 00a03891  add	x0, x0, #0xe28
0xfffffff009f0c360: 59cdfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0c364: e00313aa  mov	x0, x19
0xfffffff009f0c368: ac000094  bl	#0xfffffff009f0c618
0xfffffff009f0c36c: e00313aa  mov	x0, x19
0xfffffff009f0c370: 71010094  bl	#0xfffffff009f0c934
0xfffffff009f0c374: 16008052  mov	w22, #0
0xfffffff009f0c378: e00316aa  mov	x0, x22
0xfffffff009f0c37c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009f0c380: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009f0c384: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009f0c388: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009f0c38c: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff009f0c390: ff830291  add	sp, sp, #0xa0
0xfffffff009f0c394: ff0f5fd6  retab	
0xfffffff009f0c398: e9c9fed0  adrp	x9, #0xfffffff00784a000
0xfffffff009f0c39c: 299d0691  add	x9, x9, #0x1a7
0xfffffff009f0c3a0: ea0316aa  mov	x10, x22
0xfffffff009f0c3a4: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f0c3a8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f0c3ac: 28188e52  mov	w8, #0x70c1
0xfffffff009f0c3b0: f72300a9  stp	x23, x8, [sp]
0xfffffff009f0c3b4: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c3b8: 00e03591  add	x0, x0, #0xd78
0xfffffff009f0c3bc: 21cdfd97  bl	#0xfffffff009e7f840
0xfffffff009f0c3c0: 44ffff17  b	#0xfffffff009f0c0d0
0xfffffff009f0c3c4: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009f0c3c8: 091544b9  ldr	w9, [x8, #0x414]
0xfffffff009f0c3cc: 2a3d0012  and	w10, w9, #0xffff
0xfffffff009f0c3d0: 5f090071  cmp	w10, #2
0xfffffff009f0c3d4: a1020054  b.ne	#0xfffffff009f0c428
0xfffffff009f0c3d8: 0a1b8452  mov	w10, #0x20d8
0xfffffff009f0c3dc: 6a020a8b  add	x10, x19, x10
0xfffffff009f0c3e0: 637e40f9  ldr	x3, [x19, #0xf8]
0xfffffff009f0c3e4: 020d42f9  ldr	x2, [x8, #0x418]
0xfffffff009f0c3e8: 213d1012  and	w1, w9, #0xffff0000
0xfffffff009f0c3ec: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff009f0c3f0: ea0b00f9  str	x10, [sp, #0x10]
0xfffffff009f0c3f4: 300000f0  adrp	x16, #0xfffffff009f13000
0xfffffff009f0c3f8: 10a20591  add	x16, x16, #0x168
0xfffffff009f0c3fc: 51d09fd2  mov	x17, #0xfe82
0xfffffff009f0c400: 3002c1da  pacia	x16, x17
0xfffffff009f0c404: e70310aa  mov	x7, x16
0xfffffff009f0c408: e00313aa  mov	x0, x19
0xfffffff009f0c40c: 04008052  mov	w4, #0
0xfffffff009f0c410: 05008052  mov	w5, #0
0xfffffff009f0c414: 06048052  mov	w6, #0x20
0xfffffff009f0c418: 31670094  bl	#0xfffffff009f260dc
0xfffffff009f0c41c: f60300aa  mov	x22, x0
0xfffffff009f0c420: 60000035  cbnz	w0, #0xfffffff009f0c42c
0xfffffff009f0c424: c1ffff17  b	#0xfffffff009f0c328
0xfffffff009f0c428: d6028052  mov	w22, #0x16
0xfffffff009f0c42c: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c430: 6802088b  add	x8, x19, x8
