; Candidate 7555
; ADRP+ADD at VM 0xfffffff008872810 (fileoff 0x186e810): page=0x1fe9a1000 add_imm=0xe0f

0xfffffff008872790: 00008052  mov	w0, #0
0xfffffff008872794: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008872798: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00887279c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0088727a0: ff830191  add	sp, sp, #0x60
0xfffffff0088727a4: ff0f5fd6  retab	
0xfffffff0088727a8: 7f2303d5  pacibsp	
0xfffffff0088727ac: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088727b0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088727b4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088727b8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088727bc: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088727c0: fdc30191  add	x29, sp, #0x70
0xfffffff0088727c4: f30300aa  mov	x19, x0
0xfffffff0088727c8: 600b8052  mov	w0, #0x5b
0xfffffff0088727cc: 01018052  mov	w1, #8
0xfffffff0088727d0: 00240094  bl	#0xfffffff00887b7d0
0xfffffff0088727d4: a0040034  cbz	w0, #0xfffffff008872868
0xfffffff0088727d8: 600b8052  mov	w0, #0x5b
0xfffffff0088727dc: 0f240094  bl	#0xfffffff00887b818
0xfffffff0088727e0: f50300aa  mov	x21, x0
0xfffffff0088727e4: 72060194  bl	#0xfffffff0088b41ac
0xfffffff0088727e8: f40300aa  mov	x20, x0
0xfffffff0088727ec: 00018052  mov	w0, #8
0xfffffff0088727f0: 18240094  bl	#0xfffffff00887b850
0xfffffff0088727f4: 75010034  cbz	w21, #0xfffffff008872820
0xfffffff0088727f8: c84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff0088727fc: 08952a91  add	x8, x8, #0xaa5
0xfffffff008872800: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008872804: 680b8052  mov	w8, #0x5b
0xfffffff008872808: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887280c: f40300f9  str	x20, [sp]
0xfffffff008872810: 004dffb0  adrp	x0, #0xfffffff007213000
0xfffffff008872814: 003c3891  add	x0, x0, #0xe0f
0xfffffff008872818: 1213d597  bl	#0xfffffff007db7460
0xfffffff00887281c: 13000014  b	#0xfffffff008872868
0xfffffff008872820: 63060194  bl	#0xfffffff0088b41ac
0xfffffff008872824: f40300aa  mov	x20, x0
0xfffffff008872828: 00018052  mov	w0, #8
0xfffffff00887282c: 09240094  bl	#0xfffffff00887b850
0xfffffff008872830: c84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff008872834: 08952a91  add	x8, x8, #0xaa5
0xfffffff008872838: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887283c: 680b8052  mov	w8, #0x5b
0xfffffff008872840: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008872844: f40300f9  str	x20, [sp]
0xfffffff008872848: a04bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887284c: 00003a91  add	x0, x0, #0xe80
0xfffffff008872850: a18cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008872854: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008872858: 234ffff0  adrp	x3, #0xfffffff007259000
0xfffffff00887285c: 63ac0891  add	x3, x3, #0x22b
0xfffffff008872860: 02008052  mov	w2, #0
0xfffffff008872864: 3302eb97  bl	#0xfffffff008333130
0xfffffff008872868: e00313aa  mov	x0, x19
0xfffffff00887286c: 21008052  mov	w1, #1
0xfffffff008872870: 02098052  mov	w2, #0x48
0xfffffff008872874: 0208a072  movk	w2, #0x40, lsl #16
0xfffffff008872878: 244a0094  bl	#0xfffffff008885108
0xfffffff00887287c: f50300aa  mov	x21, x0
0xfffffff008872880: 1f040072  tst	w0, #3
0xfffffff008872884: 14009f1a  csel	w20, w0, wzr, eq
0xfffffff008872888: 600b8052  mov	w0, #0x5b
0xfffffff00887288c: 01018052  mov	w1, #8
