; Candidate 10754
; ADRP+ADD at VM 0xfffffff008de57bc (fileoff 0x1de17bc): page=0x1fe5df000 add_imm=0xe15

0xfffffff008de573c: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff008de5740: e97f00a9  stp	x9, xzr, [sp]
0xfffffff008de5744: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5748: 00543891  add	x0, x0, #0xe15
0xfffffff008de574c: 35c6d597  bl	#0xfffffff008357020
0xfffffff008de5750: 150080d2  mov	x21, #0
0xfffffff008de5754: 130080d2  mov	x19, #0
0xfffffff008de5758: 94008012  mov	w20, #-5
0xfffffff008de575c: f8feff17  b	#0xfffffff008de533c
0xfffffff008de5760: 8be18052  mov	w11, #0x70c
0xfffffff008de5764: e82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de5768: 08493991  add	x8, x8, #0xe52
0xfffffff008de576c: e92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de5770: 29992891  add	x9, x9, #0xa26
0xfffffff008de5774: ea2eff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de5778: 4a490d91  add	x10, x10, #0x352
0xfffffff008de577c: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008de5780: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de5784: e90300f9  str	x9, [sp]
0xfffffff008de5788: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de578c: 00543891  add	x0, x0, #0xe15
0xfffffff008de5790: 24c6d597  bl	#0xfffffff008357020
0xfffffff008de5794: 150080d2  mov	x21, #0
0xfffffff008de5798: f0ffff17  b	#0xfffffff008de5758
0xfffffff008de579c: c8e18052  mov	w8, #0x70e
0xfffffff008de57a0: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff008de57a4: e82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de57a8: 08493991  add	x8, x8, #0xe52
0xfffffff008de57ac: e92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de57b0: 29a12991  add	x9, x9, #0xa68
0xfffffff008de57b4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de57b8: e90300f9  str	x9, [sp]
0xfffffff008de57bc: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de57c0: 00543891  add	x0, x0, #0xe15
0xfffffff008de57c4: 17c6d597  bl	#0xfffffff008357020
0xfffffff008de57c8: 74008012  mov	w20, #-4
0xfffffff008de57cc: dcfeff17  b	#0xfffffff008de533c
0xfffffff008de57d0: 7f2303d5  pacibsp	
0xfffffff008de57d4: ff0301d1  sub	sp, sp, #0x40
0xfffffff008de57d8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008de57dc: fdc30091  add	x29, sp, #0x30
0xfffffff008de57e0: e80306aa  mov	x8, x6
0xfffffff008de57e4: e60305aa  mov	x6, x5
0xfffffff008de57e8: e50304aa  mov	x5, x4
0xfffffff008de57ec: e40303aa  mov	x4, x3
0xfffffff008de57f0: e30302aa  mov	x3, x2
0xfffffff008de57f4: a92b4229  ldp	w9, w10, [x29, #0x10]
0xfffffff008de57f8: a083c13c  ldur	q0, [x29, #0x18]
0xfffffff008de57fc: abb342a9  ldp	x11, x12, [x29, #0x28]
0xfffffff008de5800: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff008de5804: e007803d  str	q0, [sp, #0x10]
0xfffffff008de5808: e92b0129  stp	w9, w10, [sp, #8]
0xfffffff008de580c: e70300f9  str	x7, [sp]
0xfffffff008de5810: c2038052  mov	w2, #0x1e
0xfffffff008de5814: e70308aa  mov	x7, x8
0xfffffff008de5818: 78fdff97  bl	#0xfffffff008de4df8
0xfffffff008de581c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008de5820: ff030191  add	sp, sp, #0x40
0xfffffff008de5824: ff0f5fd6  retab	
0xfffffff008de5828: 7f2303d5  pacibsp	
0xfffffff008de582c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008de5830: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff008de5834: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008de5838: f85f05a9  stp	x24, x23, [sp, #0x50]
