; Candidate 8255
; ADRP+ADD at VM 0xfffffff00889f318 (fileoff 0x189b318): page=0x1fe94a000 add_imm=0xe80

0xfffffff00889f298: 17020034  cbz	w23, #0xfffffff00889f2d8
0xfffffff00889f29c: 680240b9  ldr	w8, [x19]
0xfffffff00889f2a0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00889f2a4: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889f2a8: 884cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889f2ac: 09213e91  add	x9, x8, #0xf88
0xfffffff00889f2b0: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f2b4: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f2b8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889f2bc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889f2c0: a80f8052  mov	w8, #0x7d
0xfffffff00889f2c4: 804bfff0  adrp	x0, #0xfffffff007212000
0xfffffff00889f2c8: 00701b91  add	x0, x0, #0x6dc
0xfffffff00889f2cc: f62300a9  stp	x22, x8, [sp]
0xfffffff00889f2d0: 6460d497  bl	#0xfffffff007db7460
0xfffffff00889f2d4: 19000014  b	#0xfffffff00889f338
0xfffffff00889f2d8: b5530094  bl	#0xfffffff0088b41ac
0xfffffff00889f2dc: f60300aa  mov	x22, x0
0xfffffff00889f2e0: e0008052  mov	w0, #7
0xfffffff00889f2e4: 5b71ff97  bl	#0xfffffff00887b850
0xfffffff00889f2e8: e80315aa  mov	x8, x21
0xfffffff00889f2ec: 690240b9  ldr	w9, [x19]
0xfffffff00889f2f0: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00889f2f4: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00889f2f8: 884cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889f2fc: 0a213e91  add	x10, x8, #0xf88
0xfffffff00889f300: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f304: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f308: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00889f30c: a80f8052  mov	w8, #0x7d
0xfffffff00889f310: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889f314: f60300f9  str	x22, [sp]
0xfffffff00889f318: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889f31c: 00003a91  add	x0, x0, #0xe80
0xfffffff00889f320: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889f324: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889f328: 034effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889f32c: 63bc3f91  add	x3, x3, #0xfef
0xfffffff00889f330: 02008052  mov	w2, #0
0xfffffff00889f334: 7f4fea97  bl	#0xfffffff008333130
0xfffffff00889f338: e00315aa  mov	x0, x21
0xfffffff00889f33c: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00889f340: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00889f344: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00889f348: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff00889f34c: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff00889f350: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff00889f354: ff830391  add	sp, sp, #0xe0
0xfffffff00889f358: ff0f5fd6  retab	
0xfffffff00889f35c: 7f2303d5  pacibsp	
0xfffffff00889f360: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00889f364: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff00889f368: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00889f36c: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff00889f370: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00889f374: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00889f378: fd430291  add	x29, sp, #0x90
0xfffffff00889f37c: f40301aa  mov	x20, x1
0xfffffff00889f380: f30300aa  mov	x19, x0
0xfffffff00889f384: a00f8052  mov	w0, #0x7d
0xfffffff00889f388: 01018052  mov	w1, #8
0xfffffff00889f38c: 1171ff97  bl	#0xfffffff00887b7d0
0xfffffff00889f390: a0050034  cbz	w0, #0xfffffff00889f444
0xfffffff00889f394: a00f8052  mov	w0, #0x7d
