; Candidate 7618
; ADRP+ADD at VM 0xfffffff008874fd4 (fileoff 0x1870fd4): page=0x1fe99f000 add_imm=0xe0f

0xfffffff008874f54: e00314aa  mov	x0, x20
0xfffffff008874f58: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008874f5c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008874f60: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008874f64: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008874f68: ff030291  add	sp, sp, #0x80
0xfffffff008874f6c: ff0f5fd6  retab	
0xfffffff008874f70: 7f2303d5  pacibsp	
0xfffffff008874f74: ff8301d1  sub	sp, sp, #0x60
0xfffffff008874f78: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008874f7c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008874f80: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008874f84: fd430191  add	x29, sp, #0x50
0xfffffff008874f88: f30300aa  mov	x19, x0
0xfffffff008874f8c: 600b8052  mov	w0, #0x5b
0xfffffff008874f90: 01018052  mov	w1, #8
0xfffffff008874f94: 0f1a0094  bl	#0xfffffff00887b7d0
0xfffffff008874f98: a0040034  cbz	w0, #0xfffffff00887502c
0xfffffff008874f9c: 600b8052  mov	w0, #0x5b
0xfffffff008874fa0: 1e1a0094  bl	#0xfffffff00887b818
0xfffffff008874fa4: f50300aa  mov	x21, x0
0xfffffff008874fa8: 81fc0094  bl	#0xfffffff0088b41ac
0xfffffff008874fac: f40300aa  mov	x20, x0
0xfffffff008874fb0: 00018052  mov	w0, #8
0xfffffff008874fb4: 271a0094  bl	#0xfffffff00887b850
0xfffffff008874fb8: 75010034  cbz	w21, #0xfffffff008874fe4
0xfffffff008874fbc: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008874fc0: 08853291  add	x8, x8, #0xca1
0xfffffff008874fc4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008874fc8: 680b8052  mov	w8, #0x5b
0xfffffff008874fcc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008874fd0: f40300f9  str	x20, [sp]
0xfffffff008874fd4: e04cfff0  adrp	x0, #0xfffffff007213000
0xfffffff008874fd8: 003c3891  add	x0, x0, #0xe0f
0xfffffff008874fdc: 2109d597  bl	#0xfffffff007db7460
0xfffffff008874fe0: 13000014  b	#0xfffffff00887502c
0xfffffff008874fe4: 72fc0094  bl	#0xfffffff0088b41ac
0xfffffff008874fe8: f40300aa  mov	x20, x0
0xfffffff008874fec: 00018052  mov	w0, #8
0xfffffff008874ff0: 181a0094  bl	#0xfffffff00887b850
0xfffffff008874ff4: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008874ff8: 08853291  add	x8, x8, #0xca1
0xfffffff008874ffc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008875000: 680b8052  mov	w8, #0x5b
0xfffffff008875004: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008875008: f40300f9  str	x20, [sp]
0xfffffff00887500c: a04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008875010: 00003a91  add	x0, x0, #0xe80
0xfffffff008875014: 818cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008875018: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887501c: 234fff90  adrp	x3, #0xfffffff007259000
0xfffffff008875020: 63702091  add	x3, x3, #0x81c
0xfffffff008875024: 02008052  mov	w2, #0
0xfffffff008875028: 42f8ea97  bl	#0xfffffff008333130
0xfffffff00887502c: e00313aa  mov	x0, x19
0xfffffff008875030: 01009052  mov	w1, #0x8000
0xfffffff008875034: e102a072  movk	w1, #0x17, lsl #16
0xfffffff008875038: 02048052  mov	w2, #0x20
0xfffffff00887503c: c202a072  movk	w2, #0x16, lsl #16
0xfffffff008875040: 23008052  mov	w3, #1
0xfffffff008875044: 87020094  bl	#0xfffffff008875a60
0xfffffff008875048: f40300aa  mov	x20, x0
0xfffffff00887504c: 600b8052  mov	w0, #0x5b
0xfffffff008875050: 01018052  mov	w1, #8
