; Candidate 12574
; ADRP+ADD at VM 0xfffffff0090bf1f8 (fileoff 0x20bb1f8): page=0x1fe39a000 add_imm=0xe24

0xfffffff0090bf178: 571dffb0  adrp	x23, #0xfffffff007468000
0xfffffff0090bf17c: f7123891  add	x23, x23, #0xe04
0xfffffff0090bf180: f81cffd0  adrp	x24, #0xfffffff00745d000
0xfffffff0090bf184: 18433c91  add	x24, x24, #0xf10
0xfffffff0090bf188: 1f290071  cmp	w8, #0xa
0xfffffff0090bf18c: a8000054  b.hi	#0xfffffff0090bf1a0
0xfffffff0090bf190: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090bf194: c01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090bf198: 00583191  add	x0, x0, #0xc56
0xfffffff0090bf19c: a15fca97  bl	#0xfffffff008357020
0xfffffff0090bf1a0: 340400b4  cbz	x20, #0xfffffff0090bf224
0xfffffff0090bf1a4: 350500b4  cbz	x21, #0xfffffff0090bf248
0xfffffff0090bf1a8: 130500b4  cbz	x19, #0xfffffff0090bf248
0xfffffff0090bf1ac: e00316aa  mov	x0, x22
0xfffffff0090bf1b0: c1048052  mov	w1, #0x26
0xfffffff0090bf1b4: 02008052  mov	w2, #0
0xfffffff0090bf1b8: 030080d2  mov	x3, #0
0xfffffff0090bf1bc: 040080d2  mov	x4, #0
0xfffffff0090bf1c0: e50315aa  mov	x5, x21
0xfffffff0090bf1c4: e60313aa  mov	x6, x19
0xfffffff0090bf1c8: 519081d2  mov	x17, #0xc82
0xfffffff0090bf1cc: 910a3fd7  blraa	x20, x17
0xfffffff0090bf1d0: f30300aa  mov	x19, x0
0xfffffff0090bf1d4: a0050035  cbnz	w0, #0xfffffff0090bf288
0xfffffff0090bf1d8: 48018052  mov	w8, #0xa
0xfffffff0090bf1dc: 29034039  ldrb	w9, [x25]
0xfffffff0090bf1e0: 1f01096b  cmp	w8, w9
0xfffffff0090bf1e4: 03010054  b.lo	#0xfffffff0090bf204
0xfffffff0090bf1e8: e80313aa  mov	x8, x19
0xfffffff0090bf1ec: 087d4093  sxtw	x8, w8
0xfffffff0090bf1f0: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090bf1f4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090bf1f8: c01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090bf1fc: 00903891  add	x0, x0, #0xe24
0xfffffff0090bf200: 885fca97  bl	#0xfffffff008357020
0xfffffff0090bf204: e00313aa  mov	x0, x19
0xfffffff0090bf208: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0090bf20c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0090bf210: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0090bf214: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0090bf218: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0090bf21c: ff030291  add	sp, sp, #0x80
0xfffffff0090bf220: ff0f5fd6  retab	
0xfffffff0090bf224: 88af8052  mov	w8, #0x57c
0xfffffff0090bf228: 491dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bf22c: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bf230: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bf234: c81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bf238: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bf23c: 4a1dffb0  adrp	x10, #0xfffffff007468000
0xfffffff0090bf240: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090bf244: 09000014  b	#0xfffffff0090bf268
0xfffffff0090bf248: a8af8052  mov	w8, #0x57d
0xfffffff0090bf24c: 491dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bf250: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bf254: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bf258: c81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bf25c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bf260: 4a1dffb0  adrp	x10, #0xfffffff007468000
0xfffffff0090bf264: 4a713891  add	x10, x10, #0xe1c
0xfffffff0090bf268: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0090bf26c: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff0090bf270: c01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090bf274: 00d42c91  add	x0, x0, #0xb35
