; Candidate 7412
; ADRP+ADD at VM 0xfffffff00886c31c (fileoff 0x186831c): page=0x1fe97d000 add_imm=0xe80

0xfffffff00886c29c: 712cd597  bl	#0xfffffff007db7460
0xfffffff00886c2a0: 25000014  b	#0xfffffff00886c334
0xfffffff00886c2a4: e00315aa  mov	x0, x21
0xfffffff00886c2a8: e20cff97  bl	#0xfffffff00882f630
0xfffffff00886c2ac: c01f0194  bl	#0xfffffff0088b41ac
0xfffffff00886c2b0: f60300aa  mov	x22, x0
0xfffffff00886c2b4: e0008052  mov	w0, #7
0xfffffff00886c2b8: 663d0094  bl	#0xfffffff00887b850
0xfffffff00886c2bc: f70300aa  mov	x23, x0
0xfffffff00886c2c0: 784240b9  ldr	w24, [x19, #0x40]
0xfffffff00886c2c4: e00315aa  mov	x0, x21
0xfffffff00886c2c8: da0cff97  bl	#0xfffffff00882f630
0xfffffff00886c2cc: e80314aa  mov	x8, x20
0xfffffff00886c2d0: e9031baa  mov	x9, x27
0xfffffff00886c2d4: e92306a9  stp	x9, x8, [sp, #0x60]
0xfffffff00886c2d8: e8031caa  mov	x8, x28
0xfffffff00886c2dc: e9031aaa  mov	x9, x26
0xfffffff00886c2e0: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff00886c2e4: e80319aa  mov	x8, x25
0xfffffff00886c2e8: e02304a9  stp	x0, x8, [sp, #0x40]
0xfffffff00886c2ec: f36303a9  stp	x19, x24, [sp, #0x30]
0xfffffff00886c2f0: 68f08052  mov	w8, #0x783
0xfffffff00886c2f4: c94dff90  adrp	x9, #0xfffffff007224000
0xfffffff00886c2f8: 29551191  add	x9, x9, #0x455
0xfffffff00886c2fc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00886c300: c84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886c304: 08811191  add	x8, x8, #0x460
0xfffffff00886c308: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff00886c30c: 680c8052  mov	w8, #0x63
0xfffffff00886c310: 434ffff0  adrp	x3, #0xfffffff007257000
0xfffffff00886c314: 63843291  add	x3, x3, #0xca1
0xfffffff00886c318: f62300a9  stp	x22, x8, [sp]
0xfffffff00886c31c: e04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886c320: 00003a91  add	x0, x0, #0xe80
0xfffffff00886c324: e18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff00886c328: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886c32c: 02008052  mov	w2, #0
0xfffffff00886c330: 801beb97  bl	#0xfffffff008333130
0xfffffff00886c334: 614240b9  ldr	w1, [x19, #0x40]
0xfffffff00886c338: 827e4093  sxtw	x2, w20
0xfffffff00886c33c: 637f4093  sxtw	x3, w27
0xfffffff00886c340: 487f4093  sxtw	x8, w26
0xfffffff00886c344: 297f4093  sxtw	x9, w25
0xfffffff00886c348: 284108aa  orr	x8, x9, x8, lsl #16
0xfffffff00886c34c: 04811caa  orr	x4, x8, x28, lsl #32
0xfffffff00886c350: 80a58052  mov	w0, #0x52c
0xfffffff00886c354: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff00886c358: 050080d2  mov	x5, #0
0xfffffff00886c35c: ea46e497  bl	#0xfffffff00817df04
0xfffffff00886c360: 600c8052  mov	w0, #0x63
0xfffffff00886c364: 01018052  mov	w1, #8
0xfffffff00886c368: 1a3d0094  bl	#0xfffffff00887b7d0
0xfffffff00886c36c: e0050034  cbz	w0, #0xfffffff00886c428
0xfffffff00886c370: 600c8052  mov	w0, #0x63
0xfffffff00886c374: 293d0094  bl	#0xfffffff00887b818
0xfffffff00886c378: f60300aa  mov	x22, x0
0xfffffff00886c37c: 8c1f0194  bl	#0xfffffff0088b41ac
0xfffffff00886c380: f50300aa  mov	x21, x0
0xfffffff00886c384: 00018052  mov	w0, #8
0xfffffff00886c388: 323d0094  bl	#0xfffffff00887b850
0xfffffff00886c38c: 16020034  cbz	w22, #0xfffffff00886c3cc
0xfffffff00886c390: e80314aa  mov	x8, x20
0xfffffff00886c394: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886c398: e92303a9  stp	x9, x8, [sp, #0x30]
