; Candidate 1163
; ADRP+ADD at VM 0xfffffff008249cfc (fileoff 0x1245cfc): page=0x1ff732000 add_imm=0xdf0

0xfffffff008249c7c: 1f0900f1  cmp	x8, #2
0xfffffff008249c80: e3030054  b.lo	#0xfffffff008249cfc
0xfffffff008249c84: 080080d2  mov	x8, #0
0xfffffff008249c88: 94d038d5  mrs	x20, tpidr_el1
0xfffffff008249c8c: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff008249c90: f9ff00b0  adrp	x25, #0xfffffff00a246000
0xfffffff008249c94: 39831591  add	x25, x25, #0x560
0xfffffff008249c98: 297fe8c8  casa	x8, x9, [x25]
0xfffffff008249c9c: 1f0100f1  cmp	x8, #0
0xfffffff008249ca0: c1080054  b.ne	#0xfffffff008249db8
0xfffffff008249ca4: 68fe00b0  adrp	x8, #0xfffffff00a216000
0xfffffff008249ca8: 16c947f9  ldr	x22, [x8, #0xf90]
0xfffffff008249cac: b60000b5  cbnz	x22, #0xfffffff008249cc0
0xfffffff008249cb0: 0d000014  b	#0xfffffff008249ce4
0xfffffff008249cb4: c8620191  add	x8, x22, #0x58
0xfffffff008249cb8: 160140f9  ldr	x22, [x8]
0xfffffff008249cbc: 560100b4  cbz	x22, #0xfffffff008249ce4
0xfffffff008249cc0: c1720091  add	x1, x22, #0x1c
0xfffffff008249cc4: e00315aa  mov	x0, x21
0xfffffff008249cc8: 02048052  mov	w2, #0x20
0xfffffff008249ccc: 714eec97  bl	#0xfffffff007d5d690
0xfffffff008249cd0: 20ffff37  tbnz	w0, #0x1f, #0xfffffff008249cb4
0xfffffff008249cd4: c0020034  cbz	w0, #0xfffffff008249d2c
0xfffffff008249cd8: c8820191  add	x8, x22, #0x60
0xfffffff008249cdc: 160140f9  ldr	x22, [x8]
0xfffffff008249ce0: 16ffffb5  cbnz	x22, #0xfffffff008249cc0
0xfffffff008249ce4: 57008052  mov	w23, #2
0xfffffff008249ce8: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff008249cec: e20308aa  mov	x2, x8
0xfffffff008249cf0: 3fffa288  casl	w2, wzr, [x25]
0xfffffff008249cf4: 5f00086b  cmp	w2, w8
0xfffffff008249cf8: c1060054  b.ne	#0xfffffff008249dd0
0xfffffff008249cfc: 80b9ffd0  adrp	x0, #0xfffffff00797b000
0xfffffff008249d00: 00c03791  add	x0, x0, #0xdf0
0xfffffff008249d04: e10313aa  mov	x1, x19
0xfffffff008249d08: c1ffee97  bl	#0xfffffff007e09c0c
0xfffffff008249d0c: e00317aa  mov	x0, x23
0xfffffff008249d10: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008249d14: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008249d18: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008249d1c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008249d20: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008249d24: ff830191  add	sp, sp, #0x60
0xfffffff008249d28: ff0f5fd6  retab	
0xfffffff008249d2c: f40cef97  bl	#0xfffffff007e0d0fc
0xfffffff008249d30: f80300aa  mov	x24, x0
0xfffffff008249d34: 000440f9  ldr	x0, [x0, #8]
0xfffffff008249d38: e10316aa  mov	x1, x22
0xfffffff008249d3c: e20315aa  mov	x2, x21
0xfffffff008249d40: cafa0894  bl	#0xfffffff008488868
0xfffffff008249d44: f70300aa  mov	x23, x0
0xfffffff008249d48: 00fdff35  cbnz	w0, #0xfffffff008249ce8
0xfffffff008249d4c: 000740f9  ldr	x0, [x24, #8]
0xfffffff008249d50: 181840b9  ldr	w24, [x0, #0x18]
0xfffffff008249d54: 58010034  cbz	w24, #0xfffffff008249d7c
0xfffffff008249d58: d58a4229  ldp	w21, w2, [x22, #0x14]
0xfffffff008249d5c: c3224079  ldrh	w3, [x22, #0x10]
0xfffffff008249d60: e10315aa  mov	x1, x21
0xfffffff008249d64: 04108052  mov	w4, #0x80
0xfffffff008249d68: 51fefc97  bl	#0xfffffff0081896ac
0xfffffff008249d6c: 80000034  cbz	w0, #0xfffffff008249d7c
0xfffffff008249d70: f70300aa  mov	x23, x0
0xfffffff008249d74: bf02186b  cmp	w21, w24
0xfffffff008249d78: 81fbff54  b.ne	#0xfffffff008249ce8
