; Candidate 3194
; ADRP+ADD at VM 0xfffffff00871b898 (fileoff 0x1717898): page=0x1fea16000 add_imm=0xd90

0xfffffff00871b818: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff00871b81c: 48568052  mov	w8, #0x2b2
0xfffffff00871b820: c951ffd0  adrp	x9, #0xfffffff007155000
0xfffffff00871b824: 29f52c91  add	x9, x9, #0xb3d
0xfffffff00871b828: e92300a9  stp	x9, x8, [sp]
0xfffffff00871b82c: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b830: 00403691  add	x0, x0, #0xd90
0xfffffff00871b834: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b838: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b83c: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b840: 63883a91  add	x3, x3, #0xea2
0xfffffff00871b844: 02008052  mov	w2, #0
0xfffffff00871b848: 3a5ef097  bl	#0xfffffff008333130
0xfffffff00871b84c: 24000014  b	#0xfffffff00871b8dc
0xfffffff00871b850: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b854: 00403691  add	x0, x0, #0xd90
0xfffffff00871b858: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b85c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b860: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b864: 63d43691  add	x3, x3, #0xdb5
0xfffffff00871b868: 02008052  mov	w2, #0
0xfffffff00871b86c: 315ef097  bl	#0xfffffff008333130
0xfffffff00871b870: 1b000014  b	#0xfffffff00871b8dc
0xfffffff00871b874: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b878: 00403691  add	x0, x0, #0xd90
0xfffffff00871b87c: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b880: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b884: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b888: 63903791  add	x3, x3, #0xde4
0xfffffff00871b88c: 02008052  mov	w2, #0
0xfffffff00871b890: 285ef097  bl	#0xfffffff008333130
0xfffffff00871b894: 12000014  b	#0xfffffff00871b8dc
0xfffffff00871b898: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b89c: 00403691  add	x0, x0, #0xd90
0xfffffff00871b8a0: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b8a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b8a8: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b8ac: 63583891  add	x3, x3, #0xe16
0xfffffff00871b8b0: 02008052  mov	w2, #0
0xfffffff00871b8b4: 1f5ef097  bl	#0xfffffff008333130
0xfffffff00871b8b8: 09000014  b	#0xfffffff00871b8dc
0xfffffff00871b8bc: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871b8c0: 00403691  add	x0, x0, #0xd90
0xfffffff00871b8c4: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871b8c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871b8cc: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871b8d0: 632c3991  add	x3, x3, #0xe4b
0xfffffff00871b8d4: 02008052  mov	w2, #0
0xfffffff00871b8d8: 165ef097  bl	#0xfffffff008333130
0xfffffff00871b8dc: 00008012  mov	w0, #-1
0xfffffff00871b8e0: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00871b8e4: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00871b8e8: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00871b8ec: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00871b8f0: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff00871b8f4: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff00871b8f8: ff430291  add	sp, sp, #0x90
0xfffffff00871b8fc: ff0f5fd6  retab	
0xfffffff00871b900: 28080034  cbz	w8, #0xfffffff00871ba04
0xfffffff00871b904: f5c60891  add	x21, x23, #0x231
0xfffffff00871b908: f6ea2b91  add	x22, x23, #0xafa
0xfffffff00871b90c: 38008052  mov	w24, #1
0xfffffff00871b910: 99038052  mov	w25, #0x1c
0xfffffff00871b914: e8064939  ldrb	w8, [x23, #0x241]
