; Candidate 2864
; ADRP+ADD at VM 0xfffffff0086f1418 (fileoff 0x16ed418): page=0x1fea40000 add_imm=0xd90

0xfffffff0086f1398: 4a050011  add	w10, w10, #1
0xfffffff0086f139c: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff0086f13a0: 4b1d0011  add	w11, w10, #7
0xfffffff0086f13a4: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff0086f13a8: 3f050071  cmp	w9, #1
0xfffffff0086f13ac: 49018b1a  csel	w9, w10, w11, eq
0xfffffff0086f13b0: 3f210071  cmp	w9, #8
0xfffffff0086f13b4: 88020054  b.hi	#0xfffffff0086f1404
0xfffffff0086f13b8: e80300aa  mov	x8, x0
0xfffffff0086f13bc: f00309aa  mov	x16, x9
0xfffffff0086f13c0: 1f2200f1  cmp	x16, #8
0xfffffff0086f13c4: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0086f13c8: 11000090  adrp	x17, #0xfffffff0086f1000
0xfffffff0086f13cc: 31621491  add	x17, x17, #0x518
0xfffffff0086f13d0: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0086f13d4: 11000010  adr	x17, #0xfffffff0086f13d4
0xfffffff0086f13d8: 3002108b  add	x16, x17, x16
0xfffffff0086f13dc: 00021fd6  br	x16
0xfffffff0086f13e0: 9f2403d5  bti	j
0xfffffff0086f13e4: 00008052  mov	w0, #0
0xfffffff0086f13e8: 29fc0011  add	w9, w1, #0x3f
0xfffffff0086f13ec: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0086f13f0: 09c507b9  str	w9, [x8, #0x7c4]
0xfffffff0086f13f4: 29781f53  lsl	w9, w1, #1
0xfffffff0086f13f8: 41000014  b	#0xfffffff0086f14fc
0xfffffff0086f13fc: 00008052  mov	w0, #0
0xfffffff0086f1400: 43000014  b	#0xfffffff0086f150c
0xfffffff0086f1404: 9f2403d5  bti	j
0xfffffff0086f1408: 28210011  add	w8, w9, #8
0xfffffff0086f140c: e952ffd0  adrp	x9, #0xfffffff00714f000
0xfffffff0086f1410: 29351b91  add	x9, x9, #0x6cd
0xfffffff0086f1414: e92300a9  stp	x9, x8, [sp]
0xfffffff0086f1418: 0052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086f141c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f1420: 6198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f1424: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f1428: 0352fff0  adrp	x3, #0xfffffff007134000
0xfffffff0086f142c: 63041591  add	x3, x3, #0x541
0xfffffff0086f1430: 02008052  mov	w2, #0
0xfffffff0086f1434: 3f07f197  bl	#0xfffffff008333130
0xfffffff0086f1438: 00008012  mov	w0, #-1
0xfffffff0086f143c: 34000014  b	#0xfffffff0086f150c
0xfffffff0086f1440: 9f2403d5  bti	j
0xfffffff0086f1444: 00008052  mov	w0, #0
0xfffffff0086f1448: 29080011  add	w9, w1, #2
0xfffffff0086f144c: 6a559552  mov	w10, #0xaaab
0xfffffff0086f1450: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff0086f1454: 297daa9b  umull	x9, w9, w10
0xfffffff0086f1458: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0086f145c: 29791f53  lsl	w9, w9, #1
0xfffffff0086f1460: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff0086f1464: 29fd0011  add	w9, w9, #0x3f
0xfffffff0086f1468: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0086f146c: 09c507b9  str	w9, [x8, #0x7c4]
0xfffffff0086f1470: 29781f53  lsl	w9, w1, #1
0xfffffff0086f1474: 2909c41a  udiv	w9, w9, w4
0xfffffff0086f1478: 29150011  add	w9, w9, #5
0xfffffff0086f147c: 297daa9b  umull	x9, w9, w10
0xfffffff0086f1480: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0086f1484: 29791f53  lsl	w9, w9, #1
0xfffffff0086f1488: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff0086f148c: 1d000014  b	#0xfffffff0086f1500
0xfffffff0086f1490: 9f2403d5  bti	j
0xfffffff0086f1494: 00008052  mov	w0, #0
