; Candidate 835
; ADRP+ADD at VM 0xfffffff0080d75f0 (fileoff 0x10d35f0): page=0x1fefa0000 add_imm=0xdb3

0xfffffff0080d7570: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff0080d7574: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff0080d7578: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff0080d757c: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff0080d7580: ff830391  add	sp, sp, #0xe0
0xfffffff0080d7584: ff2303d5  autibsp	
0xfffffff0080d7588: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0080d758c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0080d7594
0xfffffff0080d7590: 208e38d4  brk	#0xc471
0xfffffff0080d7594: e7710514  b	#0xfffffff008233d30
0xfffffff0080d7598: 882d8052  mov	w8, #0x16c
0xfffffff0080d759c: e97cfff0  adrp	x9, #0xfffffff007076000
0xfffffff0080d75a0: 29d51491  add	x9, x9, #0x535
0xfffffff0080d75a4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080d75a8: fa2300a9  stp	x26, x8, [sp]
0xfffffff0080d75ac: c07dfff0  adrp	x0, #0xfffffff007092000
0xfffffff0080d75b0: 00243391  add	x0, x0, #0xcc9
0xfffffff0080d75b4: d6f30e94  bl	#0xfffffff00849450c
0xfffffff0080d75b8: 882d8052  mov	w8, #0x16c
0xfffffff0080d75bc: e97cfff0  adrp	x9, #0xfffffff007076000
0xfffffff0080d75c0: 29d51491  add	x9, x9, #0x535
0xfffffff0080d75c4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080d75c8: fa2300a9  stp	x26, x8, [sp]
0xfffffff0080d75cc: c07dfff0  adrp	x0, #0xfffffff007092000
0xfffffff0080d75d0: 00703291  add	x0, x0, #0xc9c
0xfffffff0080d75d4: cef30e94  bl	#0xfffffff00849450c
0xfffffff0080d75d8: 807dfff0  adrp	x0, #0xfffffff00708a000
0xfffffff0080d75dc: 00cc1d91  add	x0, x0, #0x773
0xfffffff0080d75e0: e17cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080d75e4: 21981591  add	x1, x1, #0x566
0xfffffff0080d75e8: e23c8052  mov	w2, #0x1e7
0xfffffff0080d75ec: 8a200f94  bl	#0xfffffff00849f814
0xfffffff0080d75f0: 007dff90  adrp	x0, #0xfffffff007077000
0xfffffff0080d75f4: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080d75f8: 017dff90  adrp	x1, #0xfffffff007077000
0xfffffff0080d75fc: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080d7600: e2088052  mov	w2, #0x47
0xfffffff0080d7604: 84200f94  bl	#0xfffffff00849f814
0xfffffff0080d7608: 281e8052  mov	w8, #0xf1
0xfffffff0080d760c: e97cfff0  adrp	x9, #0xfffffff007076000
0xfffffff0080d7610: 29d51491  add	x9, x9, #0x535
0xfffffff0080d7614: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080d7618: f92300a9  stp	x25, x8, [sp]
0xfffffff0080d761c: e4ffff17  b	#0xfffffff0080d75ac
0xfffffff0080d7620: 281e8052  mov	w8, #0xf1
0xfffffff0080d7624: e97cfff0  adrp	x9, #0xfffffff007076000
0xfffffff0080d7628: 29d51491  add	x9, x9, #0x535
0xfffffff0080d762c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080d7630: f92300a9  stp	x25, x8, [sp]
0xfffffff0080d7634: e6ffff17  b	#0xfffffff0080d75cc
0xfffffff0080d7638: 482f8052  mov	w8, #0x17a
0xfffffff0080d763c: e97cfff0  adrp	x9, #0xfffffff007076000
0xfffffff0080d7640: 29d51491  add	x9, x9, #0x535
0xfffffff0080d7644: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080d7648: f32300a9  stp	x19, x8, [sp]
0xfffffff0080d764c: c07dfff0  adrp	x0, #0xfffffff007092000
0xfffffff0080d7650: 00b03191  add	x0, x0, #0xc6c
0xfffffff0080d7654: aef30e94  bl	#0xfffffff00849450c
0xfffffff0080d7658: e07cfff0  adrp	x0, #0xfffffff007076000
0xfffffff0080d765c: 00c01691  add	x0, x0, #0x5b0
0xfffffff0080d7660: e17cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080d7664: 21981591  add	x1, x1, #0x566
0xfffffff0080d7668: 02488052  mov	w2, #0x240
0xfffffff0080d766c: 6a200f94  bl	#0xfffffff00849f814
