; Candidate 12193
; ADRP+ADD at VM 0xfffffff0090671a0 (fileoff 0x20631a0): page=0x1fe3eb000 add_imm=0xdee

0xfffffff009067120: f30300aa  mov	x19, x0
0xfffffff009067124: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067128: 00943691  add	x0, x0, #0xda5
0xfffffff00906712c: daffca97  bl	#0xfffffff008327094
0xfffffff009067130: f45f00b9  str	w20, [sp, #0x5c]
0xfffffff009067134: 003300b4  cbz	x0, #0xfffffff009067794
0xfffffff009067138: fa0300aa  mov	x26, x0
0xfffffff00906713c: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067140: 00dc3691  add	x0, x0, #0xdb7
0xfffffff009067144: d4ffca97  bl	#0xfffffff008327094
0xfffffff009067148: f90300aa  mov	x25, x0
0xfffffff00906714c: c03400b4  cbz	x0, #0xfffffff0090677e4
0xfffffff009067150: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067154: 00203791  add	x0, x0, #0xdc8
0xfffffff009067158: cfffca97  bl	#0xfffffff008327094
0xfffffff00906715c: 403400b4  cbz	x0, #0xfffffff0090677e4
0xfffffff009067160: e02b00f9  str	x0, [sp, #0x50]
0xfffffff009067164: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067168: 00643791  add	x0, x0, #0xdd9
0xfffffff00906716c: caffca97  bl	#0xfffffff008327094
0xfffffff009067170: c03300b4  cbz	x0, #0xfffffff0090677e8
0xfffffff009067174: e02700f9  str	x0, [sp, #0x48]
0xfffffff009067178: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff00906717c: 00803791  add	x0, x0, #0xde0
0xfffffff009067180: c5ffca97  bl	#0xfffffff008327094
0xfffffff009067184: 403300b4  cbz	x0, #0xfffffff0090677ec
0xfffffff009067188: e02300f9  str	x0, [sp, #0x40]
0xfffffff00906718c: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067190: 009c3791  add	x0, x0, #0xde7
0xfffffff009067194: c0ffca97  bl	#0xfffffff008327094
0xfffffff009067198: c03200b4  cbz	x0, #0xfffffff0090677f0
0xfffffff00906719c: e01f00f9  str	x0, [sp, #0x38]
0xfffffff0090671a0: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090671a4: 00b83791  add	x0, x0, #0xdee
0xfffffff0090671a8: bbffca97  bl	#0xfffffff008327094
0xfffffff0090671ac: 403200b4  cbz	x0, #0xfffffff0090677f4
0xfffffff0090671b0: e01b00f9  str	x0, [sp, #0x30]
0xfffffff0090671b4: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090671b8: 000c3891  add	x0, x0, #0xe03
0xfffffff0090671bc: b6ffca97  bl	#0xfffffff008327094
0xfffffff0090671c0: c03100b4  cbz	x0, #0xfffffff0090677f8
0xfffffff0090671c4: e01700f9  str	x0, [sp, #0x28]
0xfffffff0090671c8: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090671cc: 003c3891  add	x0, x0, #0xe0f
0xfffffff0090671d0: b1ffca97  bl	#0xfffffff008327094
0xfffffff0090671d4: 403100b4  cbz	x0, #0xfffffff0090677fc
0xfffffff0090671d8: e00700f9  str	x0, [sp, #8]
0xfffffff0090671dc: 884342f8  ldur	x8, [x28, #0x24]
0xfffffff0090671e0: 699b86d2  mov	x9, #0x34db
0xfffffff0090671e4: c9f6baf2  movk	x9, #0xd7b6, lsl #16
0xfffffff0090671e8: 49d0dbf2  movk	x9, #0xde82, lsl #32
0xfffffff0090671ec: 6963e8f2  movk	x9, #0x431b, lsl #48
0xfffffff0090671f0: 087dc99b  umulh	x8, x8, x9
0xfffffff0090671f4: 00fd52d3  lsr	x0, x8, #0x12
0xfffffff0090671f8: 01088052  mov	w1, #0x40
0xfffffff0090671fc: 3ce0ca97  bl	#0xfffffff00831f2ec
0xfffffff009067200: f40300aa  mov	x20, x0
0xfffffff009067204: 003000b4  cbz	x0, #0xfffffff009067804
0xfffffff009067208: 08488852  mov	w8, #0x4240
0xfffffff00906720c: e801a072  movk	w8, #0xf, lsl #16
0xfffffff009067210: 89c342f8  ldur	x9, [x28, #0x2c]
0xfffffff009067214: 2009c89a  udiv	x0, x9, x8
0xfffffff009067218: 01088052  mov	w1, #0x40
0xfffffff00906721c: 34e0ca97  bl	#0xfffffff00831f2ec
