; Candidate 14112
; ADRP+ADD at VM 0xfffffff00971a0dc (fileoff 0x27160dc): page=0x1fe525000 add_imm=0xce0

0xfffffff00971a05c: 10a23c91  add	x16, x16, #0xf28
0xfffffff00971a060: 10420091  add	x16, x16, #0x10
0xfffffff00971a064: f10300aa  mov	x17, x0
0xfffffff00971a068: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971a06c: 300ac1da  pacda	x16, x17
0xfffffff00971a070: 100000f9  str	x16, [x0]
0xfffffff00971a074: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00971a078: ff0f5fd6  retab	
0xfffffff00971a07c: 5f2403d5  bti	c
0xfffffff00971a080: bf98b317  b	#0xfffffff00840037c
0xfffffff00971a084: 5f2403d5  bti	c
0xfffffff00971a088: bd98b317  b	#0xfffffff00840037c
0xfffffff00971a08c: 7f2303d5  pacibsp	
0xfffffff00971a090: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00971a094: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00971a098: fd430091  add	x29, sp, #0x10
0xfffffff00971a09c: f30300aa  mov	x19, x0
0xfffffff00971a0a0: b798b397  bl	#0xfffffff00840037c
0xfffffff00971a0a4: 2029ffb0  adrp	x0, #0xfffffff007c3f000
0xfffffff00971a0a8: 00803391  add	x0, x0, #0xce0
0xfffffff00971a0ac: e10313aa  mov	x1, x19
0xfffffff00971a0b0: 021c8052  mov	w2, #0xe0
0xfffffff00971a0b4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00971a0b8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00971a0bc: ff2303d5  autibsp	
0xfffffff00971a0c0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00971a0c4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00971a0cc
0xfffffff00971a0c8: 208e38d4  brk	#0xc471
0xfffffff00971a0cc: 7435af17  b	#0xfffffff0082e769c
0xfffffff00971a0d0: 5f2403d5  bti	c
0xfffffff00971a0d4: e20301aa  mov	x2, x1
0xfffffff00971a0d8: e10300aa  mov	x1, x0
0xfffffff00971a0dc: 2029ffb0  adrp	x0, #0xfffffff007c3f000
0xfffffff00971a0e0: 00803391  add	x0, x0, #0xce0
0xfffffff00971a0e4: 6e35af17  b	#0xfffffff0082e769c
0xfffffff00971a0e8: 5f2403d5  bti	c
0xfffffff00971a0ec: 806300b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00971a0f0: 00801e91  add	x0, x0, #0x7a0
0xfffffff00971a0f4: c0035fd6  ret	
0xfffffff00971a0f8: 7f2303d5  pacibsp	
0xfffffff00971a0fc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00971a100: fd030091  mov	x29, sp
0xfffffff00971a104: a1f3fe90  adrp	x1, #0xfffffff00758e000
0xfffffff00971a108: 21143491  add	x1, x1, #0xd05
0xfffffff00971a10c: e227ff90  adrp	x2, #0xfffffff007c16000
0xfffffff00971a110: 423842f9  ldr	x2, [x2, #0x470]
0xfffffff00971a114: 031c8052  mov	w3, #0xe0
0xfffffff00971a118: 8826af97  bl	#0xfffffff0082e3b38
0xfffffff00971a11c: 7028ffd0  adrp	x16, #0xfffffff007c28000
0xfffffff00971a120: 10421491  add	x16, x16, #0x510
0xfffffff00971a124: 10420091  add	x16, x16, #0x10
0xfffffff00971a128: f10300aa  mov	x17, x0
0xfffffff00971a12c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971a130: 300ac1da  pacda	x16, x17
0xfffffff00971a134: 100000f9  str	x16, [x0]
0xfffffff00971a138: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00971a13c: ff0f5fd6  retab	
0xfffffff00971a140: 7f2303d5  pacibsp	
0xfffffff00971a144: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00971a148: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00971a14c: fd430091  add	x29, sp, #0x10
0xfffffff00971a150: 2029ffb0  adrp	x0, #0xfffffff007c3f000
0xfffffff00971a154: 00803391  add	x0, x0, #0xce0
0xfffffff00971a158: 011c8052  mov	w1, #0xe0
