; Candidate 13891
; ADRP+ADD at VM 0xfffffff0095f6ee4 (fileoff 0x25f2ee4): page=0x1fdf70000 add_imm=0xe36

0xfffffff0095f6e64: 730100b4  cbz	x19, #0xfffffff0095f6e90
0xfffffff0095f6e68: 700240f9  ldr	x16, [x19]
0xfffffff0095f6e6c: f10313aa  mov	x17, x19
0xfffffff0095f6e70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095f6e74: 301ac1da  autda	x16, x17
0xfffffff0095f6e78: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0095f6e7c: e90310aa  mov	x9, x16
0xfffffff0095f6e80: e00313aa  mov	x0, x19
0xfffffff0095f6e84: f10309aa  mov	x17, x9
0xfffffff0095f6e88: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0095f6e8c: 11093fd7  blraa	x8, x17
0xfffffff0095f6e90: 750100b4  cbz	x21, #0xfffffff0095f6ebc
0xfffffff0095f6e94: b00240f9  ldr	x16, [x21]
0xfffffff0095f6e98: f10315aa  mov	x17, x21
0xfffffff0095f6e9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095f6ea0: 301ac1da  autda	x16, x17
0xfffffff0095f6ea4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0095f6ea8: e90310aa  mov	x9, x16
0xfffffff0095f6eac: e00315aa  mov	x0, x21
0xfffffff0095f6eb0: f10309aa  mov	x17, x9
0xfffffff0095f6eb4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0095f6eb8: 11093fd7  blraa	x8, x17
0xfffffff0095f6ebc: e00316aa  mov	x0, x22
0xfffffff0095f6ec0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0095f6ec4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0095f6ec8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0095f6ecc: ff0f5fd6  retab	
0xfffffff0095f6ed0: 7f2303d5  pacibsp	
0xfffffff0095f6ed4: ff8300d1  sub	sp, sp, #0x20
0xfffffff0095f6ed8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0095f6edc: fd430091  add	x29, sp, #0x10
0xfffffff0095f6ee0: e00300f9  str	x0, [sp]
0xfffffff0095f6ee4: 80fbfe90  adrp	x0, #0xfffffff007566000
0xfffffff0095f6ee8: 00d83891  add	x0, x0, #0xe36
0xfffffff0095f6eec: 4d80b597  bl	#0xfffffff008357020
0xfffffff0095f6ef0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0095f6ef4: ff830091  add	sp, sp, #0x20
0xfffffff0095f6ef8: ff0f5fd6  retab	
0xfffffff0095f6efc: 7f2303d5  pacibsp	
0xfffffff0095f6f00: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0095f6f04: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0095f6f08: fd430091  add	x29, sp, #0x10
0xfffffff0095f6f0c: 936c00f0  adrp	x19, #0xfffffff00a389000
0xfffffff0095f6f10: 609243f9  ldr	x0, [x19, #0x720]
0xfffffff0095f6f14: 400100b4  cbz	x0, #0xfffffff0095f6f3c
0xfffffff0095f6f18: 100040f9  ldr	x16, [x0]
0xfffffff0095f6f1c: f10300aa  mov	x17, x0
0xfffffff0095f6f20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095f6f24: 301ac1da  autda	x16, x17
0xfffffff0095f6f28: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0095f6f2c: e90310aa  mov	x9, x16
0xfffffff0095f6f30: f10309aa  mov	x17, x9
0xfffffff0095f6f34: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0095f6f38: 11093fd7  blraa	x8, x17
0xfffffff0095f6f3c: 7f9203f9  str	xzr, [x19, #0x720]
0xfffffff0095f6f40: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0095f6f44: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0095f6f48: ff0f5fd6  retab	
0xfffffff0095f6f4c: 7f2303d5  pacibsp	
0xfffffff0095f6f50: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0095f6f54: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0095f6f58: fd430091  add	x29, sp, #0x10
0xfffffff0095f6f5c: f30300aa  mov	x19, x0
0xfffffff0095f6f60: c82fff90  adrp	x8, #0xfffffff007bee000
