; Candidate 15367
; ADRP+ADD at VM 0xfffffff009b56754 (fileoff 0x2b52754): page=0x1fdad2000 add_imm=0xed0

0xfffffff009b566d4: 40000054  b.eq	#0xfffffff009b566dc
0xfffffff009b566d8: 408e38d4  brk	#0xc472
0xfffffff009b566dc: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b566e0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b566e4: e00313aa  mov	x0, x19
0xfffffff009b566e8: 010080d2  mov	x1, #0
0xfffffff009b566ec: f10308aa  mov	x17, x8
0xfffffff009b566f0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b566f4: 31093fd7  blraa	x9, x17
0xfffffff009b566f8: f60300aa  mov	x22, x0
0xfffffff009b566fc: 700240f9  ldr	x16, [x19]
0xfffffff009b56700: f10313aa  mov	x17, x19
0xfffffff009b56704: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b56708: 301ac1da  autda	x16, x17
0xfffffff009b5670c: f10310aa  mov	x17, x16
0xfffffff009b56710: f147c1da  xpacd	x17
0xfffffff009b56714: 1f0211eb  cmp	x16, x17
0xfffffff009b56718: 40000054  b.eq	#0xfffffff009b56720
0xfffffff009b5671c: 408e38d4  brk	#0xc472
0xfffffff009b56720: 08620891  add	x8, x16, #0x218
0xfffffff009b56724: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b56728: e00313aa  mov	x0, x19
0xfffffff009b5672c: 010080d2  mov	x1, #0
0xfffffff009b56730: f10308aa  mov	x17, x8
0xfffffff009b56734: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b56738: 31093fd7  blraa	x9, x17
0xfffffff009b5673c: a8d6feb0  adrp	x8, #0xfffffff00762b000
0xfffffff009b56740: 08c90091  add	x8, x8, #0x32
0xfffffff009b56744: 89d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b56748: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b5674c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b56750: f60300a9  stp	x22, x0, [sp]
0xfffffff009b56754: 80d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b56758: 00403b91  add	x0, x0, #0xed0
0xfffffff009b5675c: a3d6fed0  adrp	x3, #0xfffffff00762c000
0xfffffff009b56760: 63603391  add	x3, x3, #0xcd8
0xfffffff009b56764: e10315aa  mov	x1, x21
0xfffffff009b56768: e20314aa  mov	x2, x20
0xfffffff009b5676c: 71729f97  bl	#0xfffffff008333130
0xfffffff009b56770: 4f000014  b	#0xfffffff009b568ac
0xfffffff009b56774: 88027b92  and	x8, x20, #0x20
0xfffffff009b56778: 08fd44d3  lsr	x8, x8, #4
0xfffffff009b5677c: 14011f52  eor	w20, w8, #2
0xfffffff009b56780: 700240f9  ldr	x16, [x19]
0xfffffff009b56784: f10313aa  mov	x17, x19
0xfffffff009b56788: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b5678c: 301ac1da  autda	x16, x17
0xfffffff009b56790: 113d80d2  mov	x17, #0x1e8
0xfffffff009b56794: 1002118b  add	x16, x16, x17
0xfffffff009b56798: 080240f9  ldr	x8, [x16]
0xfffffff009b5679c: e90310aa  mov	x9, x16
0xfffffff009b567a0: e00313aa  mov	x0, x19
0xfffffff009b567a4: 010080d2  mov	x1, #0
0xfffffff009b567a8: f10309aa  mov	x17, x9
0xfffffff009b567ac: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b567b0: 11093fd7  blraa	x8, x17
0xfffffff009b567b4: 700240f9  ldr	x16, [x19]
0xfffffff009b567b8: f10313aa  mov	x17, x19
0xfffffff009b567bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b567c0: 301ac1da  autda	x16, x17
0xfffffff009b567c4: 114380d2  mov	x17, #0x218
0xfffffff009b567c8: 1002118b  add	x16, x16, x17
0xfffffff009b567cc: 080240f9  ldr	x8, [x16]
0xfffffff009b567d0: e90310aa  mov	x9, x16
