; Candidate 15071
; ADRP+ADD at VM 0xfffffff009a8de08 (fileoff 0x2a89e08): page=0x1fe22b000 add_imm=0xcf8

0xfffffff009a8dd88: 6ed8a317  b	#0xfffffff008383f40
0xfffffff009a8dd8c: 5f2403d5  bti	c
0xfffffff009a8dd90: 200020d4  brk	#1
0xfffffff009a8dd94: 5f2403d5  bti	c
0xfffffff009a8dd98: 200020d4  brk	#1
0xfffffff009a8dd9c: 5f2403d5  bti	c
0xfffffff009a8dda0: 404900f0  adrp	x0, #0xfffffff00a3b8000
0xfffffff009a8dda4: 00601a91  add	x0, x0, #0x698
0xfffffff009a8dda8: c0035fd6  ret	
0xfffffff009a8ddac: 7f2303d5  pacibsp	
0xfffffff009a8ddb0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a8ddb4: fd030091  mov	x29, sp
0xfffffff009a8ddb8: 01dcfef0  adrp	x1, #0xfffffff007610000
0xfffffff009a8ddbc: 21100e91  add	x1, x1, #0x384
0xfffffff009a8ddc0: 4211ffd0  adrp	x2, #0xfffffff007cb7000
0xfffffff009a8ddc4: 427842f9  ldr	x2, [x2, #0x4f0]
0xfffffff009a8ddc8: 03128052  mov	w3, #0x90
0xfffffff009a8ddcc: 5b57a197  bl	#0xfffffff0082e3b38
0xfffffff009a8ddd0: 5011fff0  adrp	x16, #0xfffffff007cb8000
0xfffffff009a8ddd4: 10822891  add	x16, x16, #0xa20
0xfffffff009a8ddd8: 10420091  add	x16, x16, #0x10
0xfffffff009a8dddc: f10300aa  mov	x17, x0
0xfffffff009a8dde0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a8dde4: 300ac1da  pacda	x16, x17
0xfffffff009a8dde8: 100000f9  str	x16, [x0]
0xfffffff009a8ddec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a8ddf0: ff0f5fd6  retab	
0xfffffff009a8ddf4: 5f2403d5  bti	c
0xfffffff009a8ddf8: 000080d2  mov	x0, #0
0xfffffff009a8ddfc: c0035fd6  ret	
0xfffffff009a8de00: 5f2403d5  bti	c
0xfffffff009a8de04: e10300aa  mov	x1, x0
0xfffffff009a8de08: 4011fff0  adrp	x0, #0xfffffff007cb8000
0xfffffff009a8de0c: 00e03391  add	x0, x0, #0xcf8
0xfffffff009a8de10: 0a66a117  b	#0xfffffff0082e7638
0xfffffff009a8de14: 5f2403d5  bti	c
0xfffffff009a8de18: e20301aa  mov	x2, x1
0xfffffff009a8de1c: e10300aa  mov	x1, x0
0xfffffff009a8de20: 4011fff0  adrp	x0, #0xfffffff007cb8000
0xfffffff009a8de24: 00e03391  add	x0, x0, #0xcf8
0xfffffff009a8de28: 1d66a117  b	#0xfffffff0082e769c
0xfffffff009a8de2c: 7f2303d5  pacibsp	
0xfffffff009a8de30: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a8de34: fd030091  mov	x29, sp
0xfffffff009a8de38: 01dcfef0  adrp	x1, #0xfffffff007610000
0xfffffff009a8de3c: 21c80e91  add	x1, x1, #0x3b2
0xfffffff009a8de40: 424900f0  adrp	x2, #0xfffffff00a3b8000
0xfffffff009a8de44: 42201991  add	x2, x2, #0x648
0xfffffff009a8de48: 03068052  mov	w3, #0x30
0xfffffff009a8de4c: 3b57a197  bl	#0xfffffff0082e3b38
0xfffffff009a8de50: 5011fff0  adrp	x16, #0xfffffff007cb8000
0xfffffff009a8de54: 10c22d91  add	x16, x16, #0xb70
0xfffffff009a8de58: 10420091  add	x16, x16, #0x10
0xfffffff009a8de5c: f10300aa  mov	x17, x0
0xfffffff009a8de60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a8de64: 300ac1da  pacda	x16, x17
0xfffffff009a8de68: 100000f9  str	x16, [x0]
0xfffffff009a8de6c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a8de70: ff0f5fd6  retab	
0xfffffff009a8de74: 5f2403d5  bti	c
0xfffffff009a8de78: 1f5aa117  b	#0xfffffff0082e46f4
0xfffffff009a8de7c: 7f2303d5  pacibsp	
0xfffffff009a8de80: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a8de84: fd030091  mov	x29, sp
