; Candidate 2416
; ADRP+ADD at VM 0xfffffff008658a9c (fileoff 0x1654a9c): page=0x1feac3000 add_imm=0xdd3

0xfffffff008658a1c: 203bf217  b	#0xfffffff0082e769c
0xfffffff008658a20: 7f2303d5  pacibsp	
0xfffffff008658a24: ff0301d1  sub	sp, sp, #0x40
0xfffffff008658a28: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008658a2c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008658a30: fdc30091  add	x29, sp, #0x30
0xfffffff008658a34: f30300aa  mov	x19, x0
0xfffffff008658a38: 289cfff0  adrp	x8, #0xfffffff0079df000
0xfffffff008658a3c: 08c145f9  ldr	x8, [x8, #0xb80]
0xfffffff008658a40: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff008658a44: f10308aa  mov	x17, x8
0xfffffff008658a48: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff008658a4c: 31093fd7  blraa	x9, x17
0xfffffff008658a50: 400b0034  cbz	w0, #0xfffffff008658bb8
0xfffffff008658a54: 7f8a00f9  str	xzr, [x19, #0x110]
0xfffffff008658a58: 700240f9  ldr	x16, [x19]
0xfffffff008658a5c: f10313aa  mov	x17, x19
0xfffffff008658a60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008658a64: 301ac1da  autda	x16, x17
0xfffffff008658a68: 080e4df8  ldr	x8, [x16, #0xd0]!
0xfffffff008658a6c: e90310aa  mov	x9, x16
0xfffffff008658a70: 0156fff0  adrp	x1, #0xfffffff00711b000
0xfffffff008658a74: 21d03691  add	x1, x1, #0xdb4
0xfffffff008658a78: 0256fff0  adrp	x2, #0xfffffff00711b000
0xfffffff008658a7c: 42203791  add	x2, x2, #0xdc8
0xfffffff008658a80: e00313aa  mov	x0, x19
0xfffffff008658a84: f10309aa  mov	x17, x9
0xfffffff008658a88: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff008658a8c: 11093fd7  blraa	x8, x17
0xfffffff008658a90: 08018052  mov	w8, #8
0xfffffff008658a94: e80f00f9  str	x8, [sp, #0x18]
0xfffffff008658a98: 74020591  add	x20, x19, #0x140
0xfffffff008658a9c: 0056fff0  adrp	x0, #0xfffffff00711b000
0xfffffff008658aa0: 004c3791  add	x0, x0, #0xdd3
0xfffffff008658aa4: e2630091  add	x2, sp, #0x18
0xfffffff008658aa8: e10314aa  mov	x1, x20
0xfffffff008658aac: 030080d2  mov	x3, #0
0xfffffff008658ab0: 040080d2  mov	x4, #0
0xfffffff008658ab4: 970fee97  bl	#0xfffffff0081dc910
0xfffffff008658ab8: 80080035  cbnz	w0, #0xfffffff008658bc8
0xfffffff008658abc: 880240f9  ldr	x8, [x20]
0xfffffff008658ac0: 080502d1  sub	x8, x8, #0x81
0xfffffff008658ac4: 1f0502b1  cmn	x8, #0x81
0xfffffff008658ac8: 48070054  b.hi	#0xfffffff008658bb0
0xfffffff008658acc: 700240f9  ldr	x16, [x19]
0xfffffff008658ad0: f10313aa  mov	x17, x19
0xfffffff008658ad4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008658ad8: 301ac1da  autda	x16, x17
0xfffffff008658adc: 113d80d2  mov	x17, #0x1e8
0xfffffff008658ae0: 1002118b  add	x16, x16, x17
0xfffffff008658ae4: 080240f9  ldr	x8, [x16]
0xfffffff008658ae8: e90310aa  mov	x9, x16
0xfffffff008658aec: e00313aa  mov	x0, x19
0xfffffff008658af0: 010080d2  mov	x1, #0
0xfffffff008658af4: f10309aa  mov	x17, x9
0xfffffff008658af8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008658afc: 11093fd7  blraa	x8, x17
0xfffffff008658b00: 700240f9  ldr	x16, [x19]
0xfffffff008658b04: f10313aa  mov	x17, x19
0xfffffff008658b08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008658b0c: 301ac1da  autda	x16, x17
0xfffffff008658b10: 113d80d2  mov	x17, #0x1e8
0xfffffff008658b14: 1002118b  add	x16, x16, x17
0xfffffff008658b18: 080240f9  ldr	x8, [x16]
