; Candidate 14406
; ADRP+ADD at VM 0xfffffff0097713d8 (fileoff 0x276d3d8): page=0xc1a000 add_imm=0xea8

0xfffffff009771358: 67caad97  bl	#0xfffffff0082e3cf4
0xfffffff00977135c: 400100b4  cbz	x0, #0xfffffff009771384
0xfffffff009771360: f30300aa  mov	x19, x0
0xfffffff009771364: 08404439  ldrb	w8, [x0, #0x110]
0xfffffff009771368: e8000034  cbz	w8, #0xfffffff009771384
0xfffffff00977136c: e00313aa  mov	x0, x19
0xfffffff009771370: ae73fd97  bl	#0xfffffff0096ce228
0xfffffff009771374: 80000034  cbz	w0, #0xfffffff009771384
0xfffffff009771378: e00313aa  mov	x0, x19
0xfffffff00977137c: 61008052  mov	w1, #3
0xfffffff009771380: e88cfd97  bl	#0xfffffff0096d4720
0xfffffff009771384: 00008052  mov	w0, #0
0xfffffff009771388: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00977138c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009771390: ff0f5fd6  retab	
0xfffffff009771394: 7f2303d5  pacibsp	
0xfffffff009771398: ff4304d1  sub	sp, sp, #0x110
0xfffffff00977139c: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff0097713a0: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff0097713a4: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff0097713a8: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff0097713ac: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff0097713b0: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff0097713b4: fd030491  add	x29, sp, #0x100
0xfffffff0097713b8: f40301aa  mov	x20, x1
0xfffffff0097713bc: f30300aa  mov	x19, x0
0xfffffff0097713c0: a8c301d1  sub	x8, x29, #0x70
0xfffffff0097713c4: bf2339a9  stp	xzr, x8, [x29, #-0x70]
0xfffffff0097713c8: c8f1fed0  adrp	x8, #0xfffffff0075ab000
0xfffffff0097713cc: 007145fd  ldr	d0, [x8, #0xae0]
0xfffffff0097713d0: a0031afc  stur	d0, [x29, #-0x60]
0xfffffff0097713d4: bf831a38  sturb	wzr, [x29, #-0x58]
0xfffffff0097713d8: c06000d0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097713dc: 00a03a91  add	x0, x0, #0xea8
0xfffffff0097713e0: 5ecdad97  bl	#0xfffffff0082e4958
0xfffffff0097713e4: e00313aa  mov	x0, x19
0xfffffff0097713e8: 9dddfc97  bl	#0xfffffff0096a8a5c
0xfffffff0097713ec: c00100b5  cbnz	x0, #0xfffffff009771424
0xfffffff0097713f0: 700240f9  ldr	x16, [x19]
0xfffffff0097713f4: f10313aa  mov	x17, x19
0xfffffff0097713f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097713fc: 301ac1da  autda	x16, x17
0xfffffff009771400: 113d80d2  mov	x17, #0x1e8
0xfffffff009771404: 1002118b  add	x16, x16, x17
0xfffffff009771408: 080240f9  ldr	x8, [x16]
0xfffffff00977140c: e90310aa  mov	x9, x16
0xfffffff009771410: e00313aa  mov	x0, x19
0xfffffff009771414: 010080d2  mov	x1, #0
0xfffffff009771418: f10309aa  mov	x17, x9
0xfffffff00977141c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009771420: 11093fd7  blraa	x8, x17
0xfffffff009771424: e00313aa  mov	x0, x19
0xfffffff009771428: 8dddfc97  bl	#0xfffffff0096a8a5c
0xfffffff00977142c: e00313aa  mov	x0, x19
0xfffffff009771430: 8bddfc97  bl	#0xfffffff0096a8a5c
0xfffffff009771434: c00100b5  cbnz	x0, #0xfffffff00977146c
0xfffffff009771438: 700240f9  ldr	x16, [x19]
0xfffffff00977143c: f10313aa  mov	x17, x19
0xfffffff009771440: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009771444: 301ac1da  autda	x16, x17
0xfffffff009771448: 114380d2  mov	x17, #0x218
0xfffffff00977144c: 1002118b  add	x16, x16, x17
0xfffffff009771450: 080240f9  ldr	x8, [x16]
0xfffffff009771454: e90310aa  mov	x9, x16
