; Candidate 16437
; ADRP+ADD at VM 0xfffffff009ea6cfc (fileoff 0x2ea2cfc): page=0x1fd98e000 add_imm=0xe8c

0xfffffff009ea6c7c: 49014079  ldrh	w9, [x10]
0xfffffff009ea6c80: 09f6ff34  cbz	w9, #0xfffffff009ea6b40
0xfffffff009ea6c84: 380100b4  cbz	x24, #0xfffffff009ea6ca8
0xfffffff009ea6c88: 807640f9  ldr	x0, [x20, #0xe8]
0xfffffff009ea6c8c: e10318aa  mov	x1, x24
0xfffffff009ea6c90: 02808052  mov	w2, #0x400
0xfffffff009ea6c94: 03008092  mov	x3, #-1
0xfffffff009ea6c98: 67e47f97  bl	#0xfffffff007e9fe34
0xfffffff009ea6c9c: 880240f9  ldr	x8, [x20]
0xfffffff009ea6ca0: 080167b2  orr	x8, x8, #0x2000000
0xfffffff009ea6ca4: 880200f9  str	x8, [x20]
0xfffffff009ea6ca8: 890640f9  ldr	x9, [x20, #8]
0xfffffff009ea6cac: e90250b6  tbz	x9, #0x2a, #0xfffffff009ea6d08
0xfffffff009ea6cb0: a2035af8  ldur	x2, [x29, #-0x60]
0xfffffff009ea6cb4: 48104179  ldrh	w8, [x2, #0x88]
0xfffffff009ea6cb8: 080d1412  and	w8, w8, #0xf000
0xfffffff009ea6cbc: 1f114071  cmp	w8, #4, lsl #12
0xfffffff009ea6cc0: 41020054  b.ne	#0xfffffff009ea6d08
0xfffffff009ea6cc4: a0835af8  ldur	x0, [x29, #-0x58]
0xfffffff009ea6cc8: e10314aa  mov	x1, x20
0xfffffff009ea6ccc: 4785ff97  bl	#0xfffffff009e881e8
0xfffffff009ea6cd0: c0010034  cbz	w0, #0xfffffff009ea6d08
0xfffffff009ea6cd4: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff009ea6cd8: 093e8452  mov	w9, #0x21f0
0xfffffff009ea6cdc: 0801098b  add	x8, x8, x9
0xfffffff009ea6ce0: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff009ea6ce4: 290540f9  ldr	x9, [x9, #8]
0xfffffff009ea6ce8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009ea6cec: 68ccfed0  adrp	x8, #0xfffffff007834000
0xfffffff009ea6cf0: 08e93991  add	x8, x8, #0xe7a
0xfffffff009ea6cf4: 690f8552  mov	w9, #0x287b
0xfffffff009ea6cf8: e82700a9  stp	x8, x9, [sp]
0xfffffff009ea6cfc: 60ccfed0  adrp	x0, #0xfffffff007834000
0xfffffff009ea6d00: 00303a91  add	x0, x0, #0xe8c
0xfffffff009ea6d04: f062ff97  bl	#0xfffffff009e7f8c4
0xfffffff009ea6d08: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff009ea6d0c: 00810291  add	x0, x8, #0xa0
0xfffffff009ea6d10: a61e7c97  bl	#0xfffffff007dae7a8
0xfffffff009ea6d14: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff009ea6d18: 094551f9  ldr	x9, [x8, #0x2288]
0xfffffff009ea6d1c: 3f0116eb  cmp	x9, x22
0xfffffff009ea6d20: 80000054  b.eq	#0xfffffff009ea6d30
0xfffffff009ea6d24: 094d8452  mov	w9, #0x2268
0xfffffff009ea6d28: 0001098b  add	x0, x8, x9
0xfffffff009ea6d2c: 9f1e7c97  bl	#0xfffffff007dae7a8
0xfffffff009ea6d30: 16008052  mov	w22, #0
0xfffffff009ea6d34: e87f4139  ldrb	w8, [sp, #0x5f]
0xfffffff009ea6d38: 68000034  cbz	w8, #0xfffffff009ea6d44
0xfffffff009ea6d3c: e00313aa  mov	x0, x19
0xfffffff009ea6d40: 545aff97  bl	#0xfffffff009e7d690
0xfffffff009ea6d44: 9b0100b4  cbz	x27, #0xfffffff009ea6d74
0xfffffff009ea6d48: 28030052  eor	w8, w25, #1
0xfffffff009ea6d4c: 48010037  tbnz	w8, #0, #0xfffffff009ea6d74
0xfffffff009ea6d50: 080080d2  mov	x8, #0
0xfffffff009ea6d54: e90315aa  mov	x9, x21
0xfffffff009ea6d58: 217d4093  sxtw	x1, w9
0xfffffff009ea6d5c: 08c135cb  sub	x8, x8, w21, sxtw
0xfffffff009ea6d60: 692900d0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009ea6d64: 29212a91  add	x9, x9, #0xa88
0xfffffff009ea6d68: 280128f8  ldadd	x8, x8, [x9]
0xfffffff009ea6d6c: e0031baa  mov	x0, x27
0xfffffff009ea6d70: 04c09297  bl	#0xfffffff008356d80
0xfffffff009ea6d74: e00316aa  mov	x0, x22
0xfffffff009ea6d78: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
