; Candidate 11293
; ADRP+ADD at VM 0xfffffff008ee144c (fileoff 0x1edd44c): page=0x1fe523000 add_imm=0xe56

0xfffffff008ee13cc: 4a0ad097  bl	#0xfffffff0082e3cf4
0xfffffff008ee13d0: 400300b4  cbz	x0, #0xfffffff008ee1438
0xfffffff008ee13d4: f40300aa  mov	x20, x0
0xfffffff008ee13d8: f30300aa  mov	x19, x0
0xfffffff008ee13dc: 0029fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ee13e0: 00243791  add	x0, x0, #0xdc9
0xfffffff008ee13e4: eb1fd197  bl	#0xfffffff008329390
0xfffffff008ee13e8: f60300aa  mov	x22, x0
0xfffffff008ee13ec: 0029fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ee13f0: 00443991  add	x0, x0, #0xe51
0xfffffff008ee13f4: fb16d197  bl	#0xfffffff008326fe0
0xfffffff008ee13f8: f70300aa  mov	x23, x0
0xfffffff008ee13fc: 900240f9  ldr	x16, [x20]
0xfffffff008ee1400: f10314aa  mov	x17, x20
0xfffffff008ee1404: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ee1408: 301ac1da  autda	x16, x17
0xfffffff008ee140c: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff008ee1410: e90310aa  mov	x9, x16
0xfffffff008ee1414: e00314aa  mov	x0, x20
0xfffffff008ee1418: e10316aa  mov	x1, x22
0xfffffff008ee141c: e20317aa  mov	x2, x23
0xfffffff008ee1420: f10309aa  mov	x17, x9
0xfffffff008ee1424: 11afe8f2  movk	x17, #0x4578, lsl #48
0xfffffff008ee1428: 11093fd7  blraa	x8, x17
0xfffffff008ee142c: 00010036  tbz	w0, #0, #0xfffffff008ee144c
0xfffffff008ee1430: 15008052  mov	w21, #0
0xfffffff008ee1434: 0b000014  b	#0xfffffff008ee1460
0xfffffff008ee1438: f30500b4  cbz	x19, #0xfffffff008ee14f4
0xfffffff008ee143c: f40313aa  mov	x20, x19
0xfffffff008ee1440: 34b4f9f2  movk	x20, #0xcda1, lsl #48
0xfffffff008ee1444: f50f0332  mov	w21, #-0x1fffffff
0xfffffff008ee1448: 1d000014  b	#0xfffffff008ee14bc
0xfffffff008ee144c: 0029fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ee1450: 00583991  add	x0, x0, #0xe56
0xfffffff008ee1454: f3d6d197  bl	#0xfffffff008357020
0xfffffff008ee1458: 95578052  mov	w21, #0x2bc
0xfffffff008ee145c: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008ee1460: 34b4f9f2  movk	x20, #0xcda1, lsl #48
0xfffffff008ee1464: 770100b4  cbz	x23, #0xfffffff008ee1490
0xfffffff008ee1468: f00240f9  ldr	x16, [x23]
0xfffffff008ee146c: f10317aa  mov	x17, x23
0xfffffff008ee1470: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ee1474: 301ac1da  autda	x16, x17
0xfffffff008ee1478: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ee147c: e90310aa  mov	x9, x16
0xfffffff008ee1480: e00317aa  mov	x0, x23
0xfffffff008ee1484: f10309aa  mov	x17, x9
0xfffffff008ee1488: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008ee148c: 11093fd7  blraa	x8, x17
0xfffffff008ee1490: 760100b4  cbz	x22, #0xfffffff008ee14bc
0xfffffff008ee1494: d00240f9  ldr	x16, [x22]
0xfffffff008ee1498: f10316aa  mov	x17, x22
0xfffffff008ee149c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ee14a0: 301ac1da  autda	x16, x17
0xfffffff008ee14a4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ee14a8: e90310aa  mov	x9, x16
0xfffffff008ee14ac: e00316aa  mov	x0, x22
0xfffffff008ee14b0: f10309aa  mov	x17, x9
0xfffffff008ee14b4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008ee14b8: 11093fd7  blraa	x8, x17
0xfffffff008ee14bc: 700240f9  ldr	x16, [x19]
0xfffffff008ee14c0: 901ac1da  autda	x16, x20
0xfffffff008ee14c4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ee14c8: e90310aa  mov	x9, x16
