; Candidate 11178
; ADRP+ADD at VM 0xfffffff008e8d300 (fileoff 0x1e89300): page=0x1fe54e000 add_imm=0xe74

0xfffffff008e8d280: 1f4c0479  strh	wzr, [x0, #0x226]
0xfffffff008e8d284: 1f0001f9  str	xzr, [x0, #0x200]
0xfffffff008e8d288: 1fec00f9  str	xzr, [x0, #0x1d8]
0xfffffff008e8d28c: 1fa80df9  str	xzr, [x0, #0x1b50]
0xfffffff008e8d290: 00000fad  stp	q0, q0, [x0, #0x1e0]
0xfffffff008e8d294: 1f381bb9  str	wzr, [x0, #0x1b38]
0xfffffff008e8d298: 1f980df9  str	xzr, [x0, #0x1b30]
0xfffffff008e8d29c: 28f860b9  ldr	w8, [x1, #0x20f8]
0xfffffff008e8d2a0: 1f090071  cmp	w8, #2
0xfffffff008e8d2a4: e8179f1a  cset	w8, eq
0xfffffff008e8d2a8: 08940839  strb	w8, [x0, #0x225]
0xfffffff008e8d2ac: 50000094  bl	#0xfffffff008e8d3ec
0xfffffff008e8d2b0: 202affb0  adrp	x0, #0xfffffff0073d2000
0xfffffff008e8d2b4: 00301991  add	x0, x0, #0x64c
0xfffffff008e8d2b8: e1330091  add	x1, sp, #0xc
0xfffffff008e8d2bc: 82008052  mov	w2, #4
0xfffffff008e8d2c0: 6dee2a94  bl	#0xfffffff009948c74
0xfffffff008e8d2c4: 1f000071  cmp	w0, #0
0xfffffff008e8d2c8: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff008e8d2cc: 0019407a  ccmp	w8, #0, #0, ne
0xfffffff008e8d2d0: e8079f1a  cset	w8, ne
0xfffffff008e8d2d4: 68fa0639  strb	w8, [x19, #0x1be]
0xfffffff008e8d2d8: 602affd0  adrp	x0, #0xfffffff0073db000
0xfffffff008e8d2dc: 00803991  add	x0, x0, #0xe60
0xfffffff008e8d2e0: e1330091  add	x1, sp, #0xc
0xfffffff008e8d2e4: 82008052  mov	w2, #4
0xfffffff008e8d2e8: 63ee2a94  bl	#0xfffffff009948c74
0xfffffff008e8d2ec: 1f000071  cmp	w0, #0
0xfffffff008e8d2f0: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff008e8d2f4: 0019407a  ccmp	w8, #0, #0, ne
0xfffffff008e8d2f8: e8079f1a  cset	w8, ne
0xfffffff008e8d2fc: 68020739  strb	w8, [x19, #0x1c0]
0xfffffff008e8d300: 602affd0  adrp	x0, #0xfffffff0073db000
0xfffffff008e8d304: 00d03991  add	x0, x0, #0xe74
0xfffffff008e8d308: e1330091  add	x1, sp, #0xc
0xfffffff008e8d30c: 82008052  mov	w2, #4
0xfffffff008e8d310: 59ee2a94  bl	#0xfffffff009948c74
0xfffffff008e8d314: 60000034  cbz	w0, #0xfffffff008e8d320
0xfffffff008e8d318: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff008e8d31c: 02000014  b	#0xfffffff008e8d324
0xfffffff008e8d320: 68964839  ldrb	w8, [x19, #0x225]
0xfffffff008e8d324: 1f010071  cmp	w8, #0
0xfffffff008e8d328: e8079f1a  cset	w8, ne
0xfffffff008e8d32c: 68960839  strb	w8, [x19, #0x225]
0xfffffff008e8d330: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008e8d334: 601a01fd  str	d0, [x19, #0x230]
0xfffffff008e8d338: 7fce01b9  str	wzr, [x19, #0x1cc]
0xfffffff008e8d33c: 000080d2  mov	x0, #0
0xfffffff008e8d340: a487d797  bl	#0xfffffff00846f1d0
0xfffffff008e8d344: 60020034  cbz	w0, #0xfffffff008e8d390
0xfffffff008e8d348: 602affd0  adrp	x0, #0xfffffff0073db000
0xfffffff008e8d34c: 003c3a91  add	x0, x0, #0xe8f
0xfffffff008e8d350: e1330091  add	x1, sp, #0xc
0xfffffff008e8d354: 82008052  mov	w2, #4
0xfffffff008e8d358: 47ee2a94  bl	#0xfffffff009948c74
0xfffffff008e8d35c: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff008e8d360: 1f000071  cmp	w0, #0
0xfffffff008e8d364: e803881a  csel	w8, wzr, w8, eq
0xfffffff008e8d368: 683202b9  str	w8, [x19, #0x230]
0xfffffff008e8d36c: 202affb0  adrp	x0, #0xfffffff0073d2000
0xfffffff008e8d370: 006c1791  add	x0, x0, #0x5db
0xfffffff008e8d374: e1330091  add	x1, sp, #0xc
0xfffffff008e8d378: 82008052  mov	w2, #4
0xfffffff008e8d37c: 3eee2a94  bl	#0xfffffff009948c74
