; Candidate 5758
; ADRP+ADD at VM 0xfffffff0088030c4 (fileoff 0x17ff0c4): page=0x1fea16000 add_imm=0xce8

0xfffffff008803044: 63602c91  add	x3, x3, #0xb18
0xfffffff008803048: 02008052  mov	w2, #0
0xfffffff00880304c: 39c0ec97  bl	#0xfffffff008333130
0xfffffff008803050: 0b000014  b	#0xfffffff00880307c
0xfffffff008803054: 28574839  ldrb	w8, [x25, #0x215]
0xfffffff008803058: e80300f9  str	x8, [sp]
0xfffffff00880305c: 204fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008803060: 00003a91  add	x0, x0, #0xe80
0xfffffff008803064: 2190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008803068: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880306c: 0352ffb0  adrp	x3, #0xfffffff007244000
0xfffffff008803070: 630c2c91  add	x3, x3, #0xb03
0xfffffff008803074: 02008052  mov	w2, #0
0xfffffff008803078: 2ec0ec97  bl	#0xfffffff008333130
0xfffffff00880307c: e00313aa  mov	x0, x19
0xfffffff008803080: e10314aa  mov	x1, x20
0xfffffff008803084: d3e10194  bl	#0xfffffff00887b7d0
0xfffffff008803088: a0060034  cbz	w0, #0xfffffff00880315c
0xfffffff00880308c: e00313aa  mov	x0, x19
0xfffffff008803090: e2e10194  bl	#0xfffffff00887b818
0xfffffff008803094: f501f837  tbnz	w21, #0x1f, #0xfffffff0088030d0
0xfffffff008803098: b6021b12  and	w22, w21, #0x20
0xfffffff00880309c: 17000052  eor	w23, w0, #1
0xfffffff0088030a0: 43c40294  bl	#0xfffffff0088b41ac
0xfffffff0088030a4: f50300aa  mov	x21, x0
0xfffffff0088030a8: e00314aa  mov	x0, x20
0xfffffff0088030ac: e9e10194  bl	#0xfffffff00887b850
0xfffffff0088030b0: e816562a  orr	w8, w23, w22, lsr #5
0xfffffff0088030b4: 08020037  tbnz	w8, #0, #0xfffffff0088030f4
0xfffffff0088030b8: 28534839  ldrb	w8, [x25, #0x214]
0xfffffff0088030bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088030c0: f54f00a9  stp	x21, x19, [sp]
0xfffffff0088030c4: a050ffd0  adrp	x0, #0xfffffff007219000
0xfffffff0088030c8: 00a03391  add	x0, x0, #0xce8
0xfffffff0088030cc: 08000014  b	#0xfffffff0088030ec
0xfffffff0088030d0: 20030034  cbz	w0, #0xfffffff008803134
0xfffffff0088030d4: e803154b  neg	w8, w21
0xfffffff0088030d8: e8022837  tbnz	w8, #5, #0xfffffff008803134
0xfffffff0088030dc: 28534839  ldrb	w8, [x25, #0x214]
0xfffffff0088030e0: e80300f9  str	x8, [sp]
0xfffffff0088030e4: a050ffd0  adrp	x0, #0xfffffff007219000
0xfffffff0088030e8: 00383391  add	x0, x0, #0xcce
0xfffffff0088030ec: ddd0d697  bl	#0xfffffff007db7460
0xfffffff0088030f0: 1b000014  b	#0xfffffff00880315c
0xfffffff0088030f4: 2ec40294  bl	#0xfffffff0088b41ac
0xfffffff0088030f8: f50300aa  mov	x21, x0
0xfffffff0088030fc: e00314aa  mov	x0, x20
0xfffffff008803100: d4e10194  bl	#0xfffffff00887b850
0xfffffff008803104: 28534839  ldrb	w8, [x25, #0x214]
0xfffffff008803108: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880310c: f54f00a9  stp	x21, x19, [sp]
0xfffffff008803110: 204fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008803114: 00003a91  add	x0, x0, #0xe80
0xfffffff008803118: 2190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880311c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008803120: 0352ffb0  adrp	x3, #0xfffffff007244000
0xfffffff008803124: 63582d91  add	x3, x3, #0xb56
0xfffffff008803128: 02008052  mov	w2, #0
0xfffffff00880312c: 01c0ec97  bl	#0xfffffff008333130
0xfffffff008803130: 0b000014  b	#0xfffffff00880315c
0xfffffff008803134: 28534839  ldrb	w8, [x25, #0x214]
0xfffffff008803138: e80300f9  str	x8, [sp]
0xfffffff00880313c: 204fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008803140: 00003a91  add	x0, x0, #0xe80
