; Candidate 13074
; ADRP+ADD at VM 0xfffffff0091deaa0 (fileoff 0x21daaa0): page=0x1139000 add_imm=0xdf0

0xfffffff0091dea20: e10302aa  mov	x1, x2
0xfffffff0091dea24: e20303aa  mov	x2, x3
0xfffffff0091dea28: 23008052  mov	w3, #1
0xfffffff0091dea2c: f10304aa  mov	x17, x4
0xfffffff0091dea30: 118ef5f2  movk	x17, #0xac70, lsl #48
0xfffffff0091dea34: 110a1fd7  braa	x16, x17
0xfffffff0091dea38: e0588052  mov	w0, #0x2c7
0xfffffff0091dea3c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0091dea40: c0035fd6  ret	
0xfffffff0091dea44: 5f2403d5  bti	c
0xfffffff0091dea48: 2b17c417  b	#0xfffffff0082e46f4
0xfffffff0091dea4c: 7f2303d5  pacibsp	
0xfffffff0091dea50: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091dea54: fd030091  mov	x29, sp
0xfffffff0091dea58: c08900b0  adrp	x0, #0xfffffff00a317000
0xfffffff0091dea5c: 00c03791  add	x0, x0, #0xdf0
0xfffffff0091dea60: 0116ff90  adrp	x1, #0xfffffff00749e000
0xfffffff0091dea64: 21e02c91  add	x1, x1, #0xb38
0xfffffff0091dea68: 224dffd0  adrp	x2, #0xfffffff007b84000
0xfffffff0091dea6c: 42e443f9  ldr	x2, [x2, #0x7c8]
0xfffffff0091dea70: 03248052  mov	w3, #0x120
0xfffffff0091dea74: 3114c497  bl	#0xfffffff0082e3b38
0xfffffff0091dea78: 304dffd0  adrp	x16, #0xfffffff007b84000
0xfffffff0091dea7c: 10023991  add	x16, x16, #0xe40
0xfffffff0091dea80: 10420091  add	x16, x16, #0x10
0xfffffff0091dea84: f10300aa  mov	x17, x0
0xfffffff0091dea88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091dea8c: 300ac1da  pacda	x16, x17
0xfffffff0091dea90: 100000f9  str	x16, [x0]
0xfffffff0091dea94: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091dea98: ff0f5fd6  retab	
0xfffffff0091dea9c: 5f2403d5  bti	c
0xfffffff0091deaa0: c08900b0  adrp	x0, #0xfffffff00a317000
0xfffffff0091deaa4: 00c03791  add	x0, x0, #0xdf0
0xfffffff0091deaa8: 1317c417  b	#0xfffffff0082e46f4
0xfffffff0091deaac: 5f2403d5  bti	c
0xfffffff0091deab0: c88900b0  adrp	x8, #0xfffffff00a317000
0xfffffff0091deab4: 08813791  add	x8, x8, #0xde0
0xfffffff0091deab8: 100140f9  ldr	x16, [x8]
0xfffffff0091deabc: 700000b4  cbz	x16, #0xfffffff0091deac8
0xfffffff0091deac0: d19f9cd2  mov	x17, #0xe4fe
0xfffffff0091deac4: 110a1fd7  braa	x16, x17
0xfffffff0091deac8: 00008052  mov	w0, #0
0xfffffff0091deacc: c0035fd6  ret	
0xfffffff0091dead0: 5f2403d5  bti	c
0xfffffff0091dead4: c88900b0  adrp	x8, #0xfffffff00a317000
0xfffffff0091dead8: 08613491  add	x8, x8, #0xd18
0xfffffff0091deadc: 00410091  add	x0, x8, #0x10
0xfffffff0091deae0: c0035fd6  ret	
0xfffffff0091deae4: 5f2403d5  bti	c
0xfffffff0091deae8: c88900b0  adrp	x8, #0xfffffff00a317000
0xfffffff0091deaec: 08613491  add	x8, x8, #0xd18
0xfffffff0091deaf0: 00410191  add	x0, x8, #0x50
0xfffffff0091deaf4: c0035fd6  ret	
0xfffffff0091deaf8: 5f2403d5  bti	c
0xfffffff0091deafc: c88900b0  adrp	x8, #0xfffffff00a317000
0xfffffff0091deb00: 08613491  add	x8, x8, #0xd18
0xfffffff0091deb04: 000d40b9  ldr	w0, [x8, #0xc]
0xfffffff0091deb08: c0035fd6  ret	
0xfffffff0091deb0c: 5f2403d5  bti	c
0xfffffff0091deb10: c88900b0  adrp	x8, #0xfffffff00a317000
0xfffffff0091deb14: 08a13791  add	x8, x8, #0xde8
0xfffffff0091deb18: 100140f9  ldr	x16, [x8]
0xfffffff0091deb1c: 700000b4  cbz	x16, #0xfffffff0091deb28
