; Candidate 11161
; ADRP+ADD at VM 0xfffffff008e82360 (fileoff 0x1e7e360): page=0x1fec8b000 add_imm=0xd40

0xfffffff008e822e0: 10000090  adrp	x16, #0xfffffff008e82000
0xfffffff008e822e4: 10523c91  add	x16, x16, #0xf14
0xfffffff008e822e8: 31d68dd2  mov	x17, #0x6eb1
0xfffffff008e822ec: 3002c1da  pacia	x16, x17
0xfffffff008e822f0: 9f4204a9  stp	xzr, x16, [x20, #0x40]
0xfffffff008e822f4: 9f4e05a9  stp	xzr, x19, [x20, #0x50]
0xfffffff008e822f8: 605248f9  ldr	x0, [x19, #0x10a0]
0xfffffff008e822fc: e10314aa  mov	x1, x20
0xfffffff008e82300: 6b302b94  bl	#0xfffffff00994e4ac
0xfffffff008e82304: 900240f9  ldr	x16, [x20]
0xfffffff008e82308: f10314aa  mov	x17, x20
0xfffffff008e8230c: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e82310: 301ac1da  autda	x16, x17
0xfffffff008e82314: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008e82318: e90310aa  mov	x9, x16
0xfffffff008e8231c: e00314aa  mov	x0, x20
0xfffffff008e82320: f10309aa  mov	x17, x9
0xfffffff008e82324: 1122f8f2  movk	x17, #0xc110, lsl #48
0xfffffff008e82328: 11093fd7  blraa	x8, x17
0xfffffff008e8232c: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff008e82330: c02aff90  adrp	x0, #0xfffffff0073da000
0xfffffff008e82334: 00603e91  add	x0, x0, #0xf98
0xfffffff008e82338: e1730091  add	x1, sp, #0x1c
0xfffffff008e8233c: 82008052  mov	w2, #4
0xfffffff008e82340: 4d1a2b94  bl	#0xfffffff009948c74
0xfffffff008e82344: c0000034  cbz	w0, #0xfffffff008e8235c
0xfffffff008e82348: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff008e8234c: 1f010071  cmp	w8, #0
0xfffffff008e82350: e8079f1a  cset	w8, ne
0xfffffff008e82354: 89128252  mov	w9, #0x1094
0xfffffff008e82358: 686a2938  strb	w8, [x19, x9]
0xfffffff008e8235c: 744e48f9  ldr	x20, [x19, #0x1098]
0xfffffff008e82360: 4064fff0  adrp	x0, #0xfffffff007b0d000
0xfffffff008e82364: 00003591  add	x0, x0, #0xd40
0xfffffff008e82368: 6350d397  bl	#0xfffffff0083564f4
0xfffffff008e8236c: f50300aa  mov	x21, x0
0xfffffff008e82370: 13fc00a9  stp	x19, xzr, [x0, #8]
0xfffffff008e82374: 88088052  mov	w8, #0x44
0xfffffff008e82378: 08600039  strb	w8, [x0, #0x18]
0xfffffff008e8237c: 1f7c02a9  stp	xzr, xzr, [x0, #0x20]
0xfffffff008e82380: 1fc00039  strb	wzr, [x0, #0x30]
0xfffffff008e82384: 1f1c00f9  str	xzr, [x0, #0x38]
0xfffffff008e82388: 1064ffb0  adrp	x16, #0xfffffff007b03000
0xfffffff008e8238c: 10e23e91  add	x16, x16, #0xfb8
0xfffffff008e82390: 10420091  add	x16, x16, #0x10
0xfffffff008e82394: f10300aa  mov	x17, x0
0xfffffff008e82398: 116bfff2  movk	x17, #0xfb58, lsl #48
0xfffffff008e8239c: 300ac1da  pacda	x16, x17
0xfffffff008e823a0: 100000f9  str	x16, [x0]
0xfffffff008e823a4: 1f000139  strb	wzr, [x0, #0x40]
0xfffffff008e823a8: 100000b0  adrp	x16, #0xfffffff008e83000
0xfffffff008e823ac: 10320091  add	x16, x16, #0xc
0xfffffff008e823b0: 91b790d2  mov	x17, #0x85bc
0xfffffff008e823b4: 3002c1da  pacia	x16, x17
0xfffffff008e823b8: 102400f9  str	x16, [x0, #0x48]
0xfffffff008e823bc: 80088052  mov	w0, #0x44
0xfffffff008e823c0: ad4d2b94  bl	#0xfffffff009955a74
0xfffffff008e823c4: 20010034  cbz	w0, #0xfffffff008e823e8
0xfffffff008e823c8: 80088052  mov	w0, #0x44
0xfffffff008e823cc: d8542b94  bl	#0xfffffff00995772c
0xfffffff008e823d0: a82affb0  adrp	x8, #0xfffffff0073d7000
0xfffffff008e823d4: 08290a91  add	x8, x8, #0x28a
0xfffffff008e823d8: e80300a9  stp	x8, x0, [sp]
0xfffffff008e823dc: a02aff90  adrp	x0, #0xfffffff0073d6000
