; Candidate 14939
; ADRP+ADD at VM 0xfffffff009a0529c (fileoff 0x2a0129c): page=0x1fdbfb000 add_imm=0xe86

0xfffffff009a0521c: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff009a05220: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff009a05224: ff830491  add	sp, sp, #0x120
0xfffffff009a05228: ff2303d5  autibsp	
0xfffffff009a0522c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009a05230: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009a05238
0xfffffff009a05234: 208e38d4  brk	#0xc471
0xfffffff009a05238: cf1d0014  b	#0xfffffff009a0c974
0xfffffff009a0523c: 7f2303d5  pacibsp	
0xfffffff009a05240: ffc301d1  sub	sp, sp, #0x70
0xfffffff009a05244: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009a05248: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009a0524c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009a05250: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009a05254: fd830191  add	x29, sp, #0x60
0xfffffff009a05258: f30300aa  mov	x19, x0
0xfffffff009a0525c: 01300491  add	x1, x0, #0x10c
0xfffffff009a05260: 16304439  ldrb	w22, [x0, #0x10c]
0xfffffff009a05264: e003362a  mvn	w0, w22
0xfffffff009a05268: 6378a397  bl	#0xfffffff0082e33f4
0xfffffff009a0526c: 685e4439  ldrb	w8, [x19, #0x117]
0xfffffff009a05270: c8020034  cbz	w8, #0xfffffff009a052c8
0xfffffff009a05274: 68564439  ldrb	w8, [x19, #0x115]
0xfffffff009a05278: e8040034  cbz	w8, #0xfffffff009a05314
0xfffffff009a0527c: 934d00b0  adrp	x19, #0xfffffff00a3b6000
0xfffffff009a05280: 68426e39  ldrb	w8, [x19, #0xb90]
0xfffffff009a05284: 28010036  tbz	w8, #0, #0xfffffff009a052a8
0xfffffff009a05288: d3219397  bl	#0xfffffff007ecd9d4
0xfffffff009a0528c: e0000035  cbnz	w0, #0xfffffff009a052a8
0xfffffff009a05290: c8dffef0  adrp	x8, #0xfffffff007600000
0xfffffff009a05294: 08053991  add	x8, x8, #0xe41
0xfffffff009a05298: e80300f9  str	x8, [sp]
0xfffffff009a0529c: c0dffef0  adrp	x0, #0xfffffff007600000
0xfffffff009a052a0: 00183a91  add	x0, x0, #0xe86
0xfffffff009a052a4: 5f47a597  bl	#0xfffffff008357020
0xfffffff009a052a8: 68426e39  ldrb	w8, [x19, #0xb90]
0xfffffff009a052ac: c8070836  tbz	w8, #1, #0xfffffff009a053a4
0xfffffff009a052b0: c8dffef0  adrp	x8, #0xfffffff007600000
0xfffffff009a052b4: 08053991  add	x8, x8, #0xe41
0xfffffff009a052b8: e80300f9  str	x8, [sp]
0xfffffff009a052bc: c0dffef0  adrp	x0, #0xfffffff007600000
0xfffffff009a052c0: 00183a91  add	x0, x0, #0xe86
0xfffffff009a052c4: 37000014  b	#0xfffffff009a053a0
0xfffffff009a052c8: 934d00b0  adrp	x19, #0xfffffff00a3b6000
0xfffffff009a052cc: 68426e39  ldrb	w8, [x19, #0xb90]
0xfffffff009a052d0: 28010036  tbz	w8, #0, #0xfffffff009a052f4
0xfffffff009a052d4: c0219397  bl	#0xfffffff007ecd9d4
0xfffffff009a052d8: e0000035  cbnz	w0, #0xfffffff009a052f4
0xfffffff009a052dc: c8dffef0  adrp	x8, #0xfffffff007600000
0xfffffff009a052e0: 08053991  add	x8, x8, #0xe41
0xfffffff009a052e4: e80300f9  str	x8, [sp]
0xfffffff009a052e8: c0dffef0  adrp	x0, #0xfffffff007600000
0xfffffff009a052ec: 008c3891  add	x0, x0, #0xe23
0xfffffff009a052f0: 4c47a597  bl	#0xfffffff008357020
0xfffffff009a052f4: 68426e39  ldrb	w8, [x19, #0xb90]
0xfffffff009a052f8: 68050836  tbz	w8, #1, #0xfffffff009a053a4
0xfffffff009a052fc: c8dffef0  adrp	x8, #0xfffffff007600000
0xfffffff009a05300: 08053991  add	x8, x8, #0xe41
0xfffffff009a05304: e80300f9  str	x8, [sp]
0xfffffff009a05308: c0dffef0  adrp	x0, #0xfffffff007600000
0xfffffff009a0530c: 008c3891  add	x0, x0, #0xe23
0xfffffff009a05310: 24000014  b	#0xfffffff009a053a0
0xfffffff009a05314: 700240f9  ldr	x16, [x19]
0xfffffff009a05318: f10313aa  mov	x17, x19
