; Candidate 14283
; ADRP+ADD at VM 0xfffffff00975d364 (fileoff 0x2759364): page=0xc2e000 add_imm=0xea8

0xfffffff00975d2e4: c00100b5  cbnz	x0, #0xfffffff00975d31c
0xfffffff00975d2e8: b00240f9  ldr	x16, [x21]
0xfffffff00975d2ec: f10315aa  mov	x17, x21
0xfffffff00975d2f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975d2f4: 301ac1da  autda	x16, x17
0xfffffff00975d2f8: 113d80d2  mov	x17, #0x1e8
0xfffffff00975d2fc: 1002118b  add	x16, x16, x17
0xfffffff00975d300: 080240f9  ldr	x8, [x16]
0xfffffff00975d304: e90310aa  mov	x9, x16
0xfffffff00975d308: e00315aa  mov	x0, x21
0xfffffff00975d30c: 010080d2  mov	x1, #0
0xfffffff00975d310: f10309aa  mov	x17, x9
0xfffffff00975d314: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975d318: 11093fd7  blraa	x8, x17
0xfffffff00975d31c: e00315aa  mov	x0, x21
0xfffffff00975d320: cf2dfd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d324: e00315aa  mov	x0, x21
0xfffffff00975d328: cd2dfd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d32c: c00100b5  cbnz	x0, #0xfffffff00975d364
0xfffffff00975d330: b00240f9  ldr	x16, [x21]
0xfffffff00975d334: f10315aa  mov	x17, x21
0xfffffff00975d338: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975d33c: 301ac1da  autda	x16, x17
0xfffffff00975d340: 114380d2  mov	x17, #0x218
0xfffffff00975d344: 1002118b  add	x16, x16, x17
0xfffffff00975d348: 080240f9  ldr	x8, [x16]
0xfffffff00975d34c: e90310aa  mov	x9, x16
0xfffffff00975d350: e00315aa  mov	x0, x21
0xfffffff00975d354: 010080d2  mov	x1, #0
0xfffffff00975d358: f10309aa  mov	x17, x9
0xfffffff00975d35c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975d360: 11093fd7  blraa	x8, x17
0xfffffff00975d364: 606100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975d368: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975d36c: 7b1dae97  bl	#0xfffffff0082e4958
0xfffffff00975d370: f30300aa  mov	x19, x0
0xfffffff00975d374: e00315aa  mov	x0, x21
0xfffffff00975d378: b92dfd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d37c: f60300aa  mov	x22, x0
0xfffffff00975d380: e00100b5  cbnz	x0, #0xfffffff00975d3bc
0xfffffff00975d384: b00240f9  ldr	x16, [x21]
0xfffffff00975d388: f10315aa  mov	x17, x21
0xfffffff00975d38c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975d390: 301ac1da  autda	x16, x17
0xfffffff00975d394: 113d80d2  mov	x17, #0x1e8
0xfffffff00975d398: 1002118b  add	x16, x16, x17
0xfffffff00975d39c: 080240f9  ldr	x8, [x16]
0xfffffff00975d3a0: e90310aa  mov	x9, x16
0xfffffff00975d3a4: e00315aa  mov	x0, x21
0xfffffff00975d3a8: 010080d2  mov	x1, #0
0xfffffff00975d3ac: f10309aa  mov	x17, x9
0xfffffff00975d3b0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975d3b4: 11093fd7  blraa	x8, x17
0xfffffff00975d3b8: f60300aa  mov	x22, x0
0xfffffff00975d3bc: e00315aa  mov	x0, x21
0xfffffff00975d3c0: a72dfd97  bl	#0xfffffff0096a8a5c
0xfffffff00975d3c4: 97f1fe90  adrp	x23, #0xfffffff00758d000
0xfffffff00975d3c8: f7c63491  add	x23, x23, #0xd31
0xfffffff00975d3cc: 88f1fe90  adrp	x8, #0xfffffff00758d000
0xfffffff00975d3d0: 08c93491  add	x8, x8, #0xd32
0xfffffff00975d3d4: 1f0000f1  cmp	x0, #0
0xfffffff00975d3d8: 1801979a  csel	x24, x8, x23, eq
0xfffffff00975d3dc: e00315aa  mov	x0, x21
0xfffffff00975d3e0: 9f2dfd97  bl	#0xfffffff0096a8a5c
