; Candidate 9928
; ADRP+ADD at VM 0xfffffff008bcb000 (fileoff 0x1bc7000): page=0x1feec9000 add_imm=0xcf0

0xfffffff008bcaf80: 02000014  b	#0xfffffff008bcaf88
0xfffffff008bcaf84: 1a0080d2  mov	x26, #0
0xfffffff008bcaf88: b00240f9  ldr	x16, [x21]
0xfffffff008bcaf8c: f10315aa  mov	x17, x21
0xfffffff008bcaf90: 5129f6f2  movk	x17, #0xb14a, lsl #48
0xfffffff008bcaf94: 301ac1da  autda	x16, x17
0xfffffff008bcaf98: 080e41f8  ldr	x8, [x16, #0x10]!
0xfffffff008bcaf9c: e90310aa  mov	x9, x16
0xfffffff008bcafa0: e00315aa  mov	x0, x21
0xfffffff008bcafa4: f10309aa  mov	x17, x9
0xfffffff008bcafa8: b14ffef2  movk	x17, #0xf27d, lsl #48
0xfffffff008bcafac: 11093fd7  blraa	x8, x17
0xfffffff008bcafb0: 60070034  cbz	w0, #0xfffffff008bcb09c
0xfffffff008bcafb4: a82a4079  ldrh	w8, [x21, #0x14]
0xfffffff008bcafb8: a9264079  ldrh	w9, [x21, #0x12]
0xfffffff008bcafbc: 287d089b  mul	x8, x9, x8
0xfffffff008bcafc0: 5f0308eb  cmp	x26, x8
0xfffffff008bcafc4: c10f0054  b.ne	#0xfffffff008bcb1bc
0xfffffff008bcafc8: b9420091  add	x25, x21, #0x10
0xfffffff008bcafcc: b00240f9  ldr	x16, [x21]
0xfffffff008bcafd0: f10315aa  mov	x17, x21
0xfffffff008bcafd4: 5129f6f2  movk	x17, #0xb14a, lsl #48
0xfffffff008bcafd8: 301ac1da  autda	x16, x17
0xfffffff008bcafdc: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008bcafe0: e90310aa  mov	x9, x16
0xfffffff008bcafe4: e00315aa  mov	x0, x21
0xfffffff008bcafe8: f10309aa  mov	x17, x9
0xfffffff008bcafec: 91a2ebf2  movk	x17, #0x5d14, lsl #48
0xfffffff008bcaff0: 11093fd7  blraa	x8, x17
0xfffffff008bcaff4: 1f400071  cmp	w0, #0x10
0xfffffff008bcaff8: f61b00f9  str	x22, [sp, #0x30]
0xfffffff008bcaffc: 410e0054  b.ne	#0xfffffff008bcb1c4
0xfffffff008bcb000: 4076ffb0  adrp	x0, #0xfffffff007a94000
0xfffffff008bcb004: 00c03391  add	x0, x0, #0xcf0
0xfffffff008bcb008: 3b2dde97  bl	#0xfffffff0083564f4
0xfffffff008bcb00c: fb0300aa  mov	x27, x0
0xfffffff008bcb010: 3076fff0  adrp	x16, #0xfffffff007a92000
0xfffffff008bcb014: 10c22b91  add	x16, x16, #0xaf0
0xfffffff008bcb018: 10420091  add	x16, x16, #0x10
0xfffffff008bcb01c: f10300aa  mov	x17, x0
0xfffffff008bcb020: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcb024: 300ac1da  pacda	x16, x17
0xfffffff008bcb028: 107c00a9  stp	x16, xzr, [x0]
0xfffffff008bcb02c: 1ffc01a9  stp	xzr, xzr, [x0, #0x18]
0xfffffff008bcb030: 1a0800f9  str	x26, [x0, #0x10]
0xfffffff008bcb034: 48074292  and	x8, x26, #0xc000000000000000
0xfffffff008bcb038: 49f77ed3  lsl	x9, x26, #2
0xfffffff008bcb03c: 3f0100f1  cmp	x9, #0
0xfffffff008bcb040: 00a940fa  ccmp	x8, #0, #0, ge
0xfffffff008bcb044: 0800f0d2  mov	x8, #-0x8000000000000000
0xfffffff008bcb048: 0011899a  csel	x0, x8, x9, ne
0xfffffff008bcb04c: 3a2fde97  bl	#0xfffffff008356d34
0xfffffff008bcb050: 600700f9  str	x0, [x27, #8]
0xfffffff008bcb054: 60eb01a9  stp	x0, x26, [x27, #0x18]
0xfffffff008bcb058: 800640f9  ldr	x0, [x20, #8]
0xfffffff008bcb05c: 400100b4  cbz	x0, #0xfffffff008bcb084
0xfffffff008bcb060: 100040f9  ldr	x16, [x0]
0xfffffff008bcb064: f10300aa  mov	x17, x0
0xfffffff008bcb068: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcb06c: 301ac1da  autda	x16, x17
0xfffffff008bcb070: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008bcb074: e90310aa  mov	x9, x16
0xfffffff008bcb078: f10309aa  mov	x17, x9
0xfffffff008bcb07c: 511af3f2  movk	x17, #0x98d2, lsl #48
