; Candidate 14479
; ADRP+ADD at VM 0xfffffff0097e64dc (fileoff 0x27e24dc): page=0x1fddc7000 add_imm=0xed7

0xfffffff0097e645c: 6ae18e52  mov	w10, #0x770b
0xfffffff0097e6460: 1f010a6b  cmp	w8, w10
0xfffffff0097e6464: 61030054  b.ne	#0xfffffff0097e64d0
0xfffffff0097e6468: 2905c05a  rev16	w9, w9
0xfffffff0097e646c: 28111d12  and	w8, w9, #0xf8
0xfffffff0097e6470: 1f010171  cmp	w8, #0x40
0xfffffff0097e6474: a8020054  b.hi	#0xfffffff0097e64c8
0xfffffff0097e6478: 287d0e53  lsr	w8, w9, #0xe
0xfffffff0097e647c: 4aeefed0  adrp	x10, #0xfffffff0075b0000
0xfffffff0097e6480: 4a811691  add	x10, x10, #0x5a0
0xfffffff0097e6484: 484d288b  add	x8, x10, w8, uxtw #3
0xfffffff0097e6488: 080540b9  ldr	w8, [x8, #4]
0xfffffff0097e648c: e8010034  cbz	w8, #0xfffffff0097e64c8
0xfffffff0097e6490: 00008052  mov	w0, #0
0xfffffff0097e6494: 2a350953  ubfx	w10, w9, #9, #5
0xfffffff0097e6498: 4beefed0  adrp	x11, #0xfffffff0075b0000
0xfffffff0097e649c: 6b011791  add	x11, x11, #0x5c0
0xfffffff0097e64a0: 6a596ab8  ldr	w10, [x11, w10, uxtw #2]
0xfffffff0097e64a4: 4a050a0b  add	w10, w10, w10, lsl #1
0xfffffff0097e64a8: 4a591753  lsl	w10, w10, #9
0xfffffff0097e64ac: 08711d53  lsl	w8, w8, #3
0xfffffff0097e64b0: 4809c81a  udiv	w8, w10, w8
0xfffffff0097e64b4: 297d0753  lsr	w9, w9, #7
0xfffffff0097e64b8: 29011f12  and	w9, w9, #2
0xfffffff0097e64bc: 0801090b  add	w8, w8, w9
0xfffffff0097e64c0: 480000f9  str	x8, [x2]
0xfffffff0097e64c4: 0a000014  b	#0xfffffff0097e64ec
0xfffffff0097e64c8: 40008012  mov	w0, #-3
0xfffffff0097e64cc: 08000014  b	#0xfffffff0097e64ec
0xfffffff0097e64d0: 28eefef0  adrp	x8, #0xfffffff0075ad000
0xfffffff0097e64d4: 08193a91  add	x8, x8, #0xe86
0xfffffff0097e64d8: e80300f9  str	x8, [sp]
0xfffffff0097e64dc: 20eefef0  adrp	x0, #0xfffffff0075ad000
0xfffffff0097e64e0: 005c3b91  add	x0, x0, #0xed7
0xfffffff0097e64e4: df439797  bl	#0xfffffff007db7460
0xfffffff0097e64e8: 20008012  mov	w0, #-2
0xfffffff0097e64ec: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0097e64f0: ff830091  add	sp, sp, #0x20
0xfffffff0097e64f4: ff0f5fd6  retab	
0xfffffff0097e64f8: 7f2303d5  pacibsp	
0xfffffff0097e64fc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0097e6500: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0097e6504: fd430091  add	x29, sp, #0x10
0xfffffff0097e6508: f30300aa  mov	x19, x0
0xfffffff0097e650c: f022ffd0  adrp	x16, #0xfffffff007c44000
0xfffffff0097e6510: 10823791  add	x16, x16, #0xde0
0xfffffff0097e6514: 10420091  add	x16, x16, #0x10
0xfffffff0097e6518: f10300aa  mov	x17, x0
0xfffffff0097e651c: d17ae1f2  movk	x17, #0xbd6, lsl #48
0xfffffff0097e6520: 300ac1da  pacda	x16, x17
0xfffffff0097e6524: 100000f9  str	x16, [x0]
0xfffffff0097e6528: 1f0800b9  str	wzr, [x0, #8]
0xfffffff0097e652c: 1f300039  strb	wzr, [x0, #0xc]
0xfffffff0097e6530: 00400091  add	x0, x0, #0x10
0xfffffff0097e6534: 01058052  mov	w1, #0x28
0xfffffff0097e6538: 82999597  bl	#0xfffffff007d4cb40
0xfffffff0097e653c: 60e20091  add	x0, x19, #0x38
0xfffffff0097e6540: 01058052  mov	w1, #0x28
0xfffffff0097e6544: 7f999597  bl	#0xfffffff007d4cb40
0xfffffff0097e6548: f022ffd0  adrp	x16, #0xfffffff007c44000
0xfffffff0097e654c: 10023691  add	x16, x16, #0xd80
0xfffffff0097e6550: 10420091  add	x16, x16, #0x10
0xfffffff0097e6554: f10313aa  mov	x17, x19
0xfffffff0097e6558: d17ae1f2  movk	x17, #0xbd6, lsl #48
