; Candidate 7208
; ADRP+ADD at VM 0xfffffff00885f514 (fileoff 0x185b514): page=0x1fe98a000 add_imm=0xe80

0xfffffff00885f494: 88024079  ldrh	w8, [x20]
0xfffffff00885f498: aee776a9  ldp	x14, x25, [x29, #-0x98]
0xfffffff00885f49c: 295740f9  ldr	x9, [x25, #0xa8]
0xfffffff00885f4a0: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff00885f4a4: 6b5b40b9  ldr	w11, [x27, #0x58]
0xfffffff00885f4a8: 2cc740b9  ldr	w12, [x25, #0xc4]
0xfffffff00885f4ac: 4d4340b9  ldr	w13, [x26, #0x40]
0xfffffff00885f4b0: ce0540b9  ldr	w14, [x14, #4]
0xfffffff00885f4b4: 0f7b40b9  ldr	w15, [x24, #0x78]
0xfffffff00885f4b8: 108340b9  ldr	w16, [x24, #0x80]
0xfffffff00885f4bc: 31ab43b9  ldr	w17, [x25, #0x3a8]
0xfffffff00885f4c0: fc270aa9  stp	x28, x9, [sp, #0xa0]
0xfffffff00885f4c4: fa4709a9  stp	x26, x17, [sp, #0x90]
0xfffffff00885f4c8: ef4308a9  stp	x15, x16, [sp, #0x80]
0xfffffff00885f4cc: ed3b07a9  stp	x13, x14, [sp, #0x70]
0xfffffff00885f4d0: e83306a9  stp	x8, x12, [sp, #0x60]
0xfffffff00885f4d4: eb5f05a9  stp	x11, x23, [sp, #0x50]
0xfffffff00885f4d8: f86f04a9  stp	x24, x27, [sp, #0x40]
0xfffffff00885f4dc: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff00885f4e0: 28578052  mov	w8, #0x2b9
0xfffffff00885f4e4: 494eff90  adrp	x9, #0xfffffff007227000
0xfffffff00885f4e8: 29792491  add	x9, x9, #0x91e
0xfffffff00885f4ec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885f4f0: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885f4f4: 08811191  add	x8, x8, #0x460
0xfffffff00885f4f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885f4fc: 880c8052  mov	w8, #0x64
0xfffffff00885f500: a34fffd0  adrp	x3, #0xfffffff007255000
0xfffffff00885f504: 63082991  add	x3, x3, #0xa42
0xfffffff00885f508: e80700f9  str	x8, [sp, #8]
0xfffffff00885f50c: a88354f8  ldur	x8, [x29, #-0xb8]
0xfffffff00885f510: e80300f9  str	x8, [sp]
0xfffffff00885f514: 404cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885f518: 00003a91  add	x0, x0, #0xe80
0xfffffff00885f51c: 418dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885f520: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885f524: 02008052  mov	w2, #0
0xfffffff00885f528: 024feb97  bl	#0xfffffff008333130
0xfffffff00885f52c: ea0319aa  mov	x10, x25
0xfffffff00885f530: 19008052  mov	w25, #0
0xfffffff00885f534: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff00885f538: 614240b9  ldr	w1, [x19, #0x40]
0xfffffff00885f53c: 30000014  b	#0xfffffff00885f5fc
0xfffffff00885f540: 19008052  mov	w25, #0
0xfffffff00885f544: 28008052  mov	w8, #1
0xfffffff00885f548: 28000014  b	#0xfffffff00885f5e8
0xfffffff00885f54c: 800c8052  mov	w0, #0x64
0xfffffff00885f550: 01018052  mov	w1, #8
0xfffffff00885f554: 9f700094  bl	#0xfffffff00887b7d0
0xfffffff00885f558: c0130034  cbz	w0, #0xfffffff00885f7d0
0xfffffff00885f55c: 800c8052  mov	w0, #0x64
0xfffffff00885f560: ae700094  bl	#0xfffffff00887b818
0xfffffff00885f564: f90300aa  mov	x25, x0
0xfffffff00885f568: 11530194  bl	#0xfffffff0088b41ac
0xfffffff00885f56c: e06300f9  str	x0, [sp, #0xc0]
0xfffffff00885f570: 00018052  mov	w0, #8
0xfffffff00885f574: b7700094  bl	#0xfffffff00887b850
0xfffffff00885f578: f90e0034  cbz	w25, #0xfffffff00885f754
0xfffffff00885f57c: ac0357f8  ldur	x12, [x29, #-0x90]
0xfffffff00885f580: 88c540b9  ldr	w8, [x12, #0xc4]
0xfffffff00885f584: 494340b9  ldr	w9, [x26, #0x40]
0xfffffff00885f588: aa8354f8  ldur	x10, [x29, #-0xb8]
0xfffffff00885f58c: 4a0d41b9  ldr	w10, [x10, #0x10c]
0xfffffff00885f590: 8ba943b9  ldr	w11, [x12, #0x3a8]
