; Candidate 14408
; ADRP+ADD at VM 0xfffffff009771cd4 (fileoff 0x276dcd4): page=0xc1a000 add_imm=0xea8

0xfffffff009771c54: 00802191  add	x0, x0, #0x860
0xfffffff009771c58: 2125ffb0  adrp	x1, #0xfffffff007c16000
0xfffffff009771c5c: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009771c60: c3f1feb0  adrp	x3, #0xfffffff0075aa000
0xfffffff009771c64: 63741b91  add	x3, x3, #0x6dd
0xfffffff009771c68: 02008052  mov	w2, #0
0xfffffff009771c6c: 3105af97  bl	#0xfffffff008333130
0xfffffff009771c70: 9effff17  b	#0xfffffff009771ae8
0xfffffff009771c74: 7f2303d5  pacibsp	
0xfffffff009771c78: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009771c7c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009771c80: fd430091  add	x29, sp, #0x10
0xfffffff009771c84: f30300aa  mov	x19, x0
0xfffffff009771c88: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff009771c8c: 00c940f9  ldr	x0, [x8, #0x190]
0xfffffff009771c90: 01008052  mov	w1, #0
0xfffffff009771c94: 42dfad97  bl	#0xfffffff0082e999c
0xfffffff009771c98: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff009771c9c: 080540f9  ldr	x8, [x8, #8]
0xfffffff009771ca0: 000d00f9  str	x0, [x8, #0x18]
0xfffffff009771ca4: 00008052  mov	w0, #0
0xfffffff009771ca8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009771cac: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009771cb0: ff0f5fd6  retab	
0xfffffff009771cb4: 5f2403d5  bti	c
0xfffffff009771cb8: 8fcaad17  b	#0xfffffff0082e46f4
0xfffffff009771cbc: 5f2403d5  bti	c
0xfffffff009771cc0: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff009771cc4: c0035fd6  ret	
0xfffffff009771cc8: 7f2303d5  pacibsp	
0xfffffff009771ccc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009771cd0: fd030091  mov	x29, sp
0xfffffff009771cd4: c06000d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009771cd8: 00a03a91  add	x0, x0, #0xea8
0xfffffff009771cdc: e1f0fe90  adrp	x1, #0xfffffff00758d000
0xfffffff009771ce0: 21943491  add	x1, x1, #0xd25
0xfffffff009771ce4: c26000d0  adrp	x2, #0xfffffff00a38b000
0xfffffff009771ce8: 42400591  add	x2, x2, #0x150
0xfffffff009771cec: 03358052  mov	w3, #0x1a8
0xfffffff009771cf0: 92c7ad97  bl	#0xfffffff0082e3b38
0xfffffff009771cf4: 3026ffd0  adrp	x16, #0xfffffff007c37000
0xfffffff009771cf8: 10a22a91  add	x16, x16, #0xaa8
0xfffffff009771cfc: 10420091  add	x16, x16, #0x10
0xfffffff009771d00: f10300aa  mov	x17, x0
0xfffffff009771d04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009771d08: 300ac1da  pacda	x16, x17
0xfffffff009771d0c: 100000f9  str	x16, [x0]
0xfffffff009771d10: 4a96af97  bl	#0xfffffff008357638
0xfffffff009771d14: c86000d0  adrp	x8, #0xfffffff00a38b000
0xfffffff009771d18: 00bd07f9  str	x0, [x8, #0xf78]
0xfffffff009771d1c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009771d20: ff0f5fd6  retab	
0xfffffff009771d24: 5f2403d5  bti	c
0xfffffff009771d28: c06000d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009771d2c: 00a03a91  add	x0, x0, #0xea8
0xfffffff009771d30: 71caad17  b	#0xfffffff0082e46f4
0xfffffff009771d34: 7f2303d5  pacibsp	
0xfffffff009771d38: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009771d3c: fd030091  mov	x29, sp
0xfffffff009771d40: 41f1fe90  adrp	x1, #0xfffffff007599000
0xfffffff009771d44: 21a02291  add	x1, x1, #0x8a8
0xfffffff009771d48: c26000d0  adrp	x2, #0xfffffff00a38b000
0xfffffff009771d4c: 42603191  add	x2, x2, #0xc58
0xfffffff009771d50: 03048252  mov	w3, #0x1020
