; Candidate 3809
; ADRP+ADD at VM 0xfffffff008762564 (fileoff 0x175e564): page=0x1fe9cf000 add_imm=0xd90

0xfffffff0087624e4: c9a98652  mov	w9, #0x354e
0xfffffff0087624e8: 09696938  ldrb	w9, [x8, x9]
0xfffffff0087624ec: 89000034  cbz	w9, #0xfffffff0087624fc
0xfffffff0087624f0: 08a95af9  ldr	x8, [x8, #0x3550]
0xfffffff0087624f4: 09210091  add	x9, x8, #8
0xfffffff0087624f8: 04000014  b	#0xfffffff008762508
0xfffffff0087624fc: 090d42f9  ldr	x9, [x8, #0x418]
0xfffffff008762500: 28210091  add	x8, x9, #8
0xfffffff008762504: 29410091  add	x9, x9, #0x10
0xfffffff008762508: 290140f9  ldr	x9, [x9]
0xfffffff00876250c: 290009cb  sub	x9, x1, x9
0xfffffff008762510: 890000f9  str	x9, [x4]
0xfffffff008762514: 680000f9  str	x8, [x3]
0xfffffff008762518: 20008052  mov	w0, #1
0xfffffff00876251c: c0035fd6  ret	
0xfffffff008762520: 7f2303d5  pacibsp	
0xfffffff008762524: ff4301d1  sub	sp, sp, #0x50
0xfffffff008762528: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00876252c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008762530: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008762534: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008762538: fd030191  add	x29, sp, #0x40
0xfffffff00876253c: f40301aa  mov	x20, x1
0xfffffff008762540: f30300aa  mov	x19, x0
0xfffffff008762544: 36544129  ldp	w22, w21, [x1, #8]
0xfffffff008762548: 370440b9  ldr	w23, [x1, #4]
0xfffffff00876254c: ff120071  cmp	w23, #4
0xfffffff008762550: a3010054  b.lo	#0xfffffff008762584
0xfffffff008762554: 88de8052  mov	w8, #0x6f4
0xfffffff008762558: 694fffb0  adrp	x9, #0xfffffff00714f000
0xfffffff00876255c: 29f90a91  add	x9, x9, #0x2be
0xfffffff008762560: e92300a9  stp	x9, x8, [sp]
0xfffffff008762564: 604efff0  adrp	x0, #0xfffffff007131000
0xfffffff008762568: 00403691  add	x0, x0, #0xd90
0xfffffff00876256c: c194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008762570: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008762574: 034fff90  adrp	x3, #0xfffffff007142000
0xfffffff008762578: 63741091  add	x3, x3, #0x41d
0xfffffff00876257c: 02008052  mov	w2, #0
0xfffffff008762580: ec42ef97  bl	#0xfffffff008333130
0xfffffff008762584: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008762588: 0b3575b9  ldr	w11, [x8, #0x3534]
0xfffffff00876258c: 6b000034  cbz	w11, #0xfffffff008762598
0xfffffff008762590: 0a3975b9  ldr	w10, [x8, #0x3538]
0xfffffff008762594: 6a000035  cbnz	w10, #0xfffffff0087625a0
0xfffffff008762598: eb0316aa  mov	x11, x22
0xfffffff00876259c: ea0315aa  mov	x10, x21
0xfffffff0087625a0: 697d0011  add	w9, w11, #0x1f
0xfffffff0087625a4: 6cf90011  add	w12, w11, #0x3e
0xfffffff0087625a8: 3f010071  cmp	w9, #0
0xfffffff0087625ac: 89b1891a  csel	w9, w12, w9, lt
0xfffffff0087625b0: 297d0513  asr	w9, w9, #5
0xfffffff0087625b4: 4c7d0011  add	w12, w10, #0x1f
0xfffffff0087625b8: 4df90011  add	w13, w10, #0x3e
0xfffffff0087625bc: 9f010071  cmp	w12, #0
0xfffffff0087625c0: acb18c1a  csel	w12, w13, w12, lt
0xfffffff0087625c4: 8d7d0513  asr	w13, w12, #5
0xfffffff0087625c8: 2c050051  sub	w12, w9, #1
0xfffffff0087625cc: 8e11c05a  clz	w14, w12
0xfffffff0087625d0: 0c048052  mov	w12, #0x20
0xfffffff0087625d4: 8e010e4b  sub	w14, w12, w14
0xfffffff0087625d8: 3f090071  cmp	w9, #2
0xfffffff0087625dc: e9338e1a  csel	w9, wzr, w14, lo
0xfffffff0087625e0: ae050051  sub	w14, w13, #1
