; Candidate 491
; ADRP+ADD at VM 0xfffffff007f406ec (fileoff 0xf3c6ec): page=0x22fd000 add_imm=0xe00

0xfffffff007f4066c: 5f00086b  cmp	w2, w8
0xfffffff007f40670: 01180054  b.ne	#0xfffffff007f40970
0xfffffff007f40674: e8679652  mov	w8, #0xb33f
0xfffffff007f40678: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff007f4067c: 28018052  mov	w8, #9
0xfffffff007f40680: e80300f9  str	x8, [sp]
0xfffffff007f40684: a0018052  mov	w0, #0xd
0xfffffff007f40688: e10314aa  mov	x1, x20
0xfffffff007f4068c: f1f6ff97  bl	#0xfffffff007f3e250
0xfffffff007f40690: 080080d2  mov	x8, #0
0xfffffff007f40694: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007f40698: a97ee8c8  casa	x8, x9, [x21]
0xfffffff007f4069c: 1f0100f1  cmp	x8, #0
0xfffffff007f406a0: 21170054  b.ne	#0xfffffff007f40984
0xfffffff007f406a4: e8024eb9  ldr	w8, [x23, #0xe00]
0xfffffff007f406a8: 1f01166b  cmp	w8, w22
0xfffffff007f406ac: 61130054  b.ne	#0xfffffff007f40918
0xfffffff007f406b0: e01701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f406b4: 00003891  add	x0, x0, #0xe00
0xfffffff007f406b8: e11701b0  adrp	x1, #0xfffffff00a23d000
0xfffffff007f406bc: 21a02491  add	x1, x1, #0x928
0xfffffff007f406c0: e388fff0  adrp	x3, #0xfffffff00705f000
0xfffffff007f406c4: 63a81291  add	x3, x3, #0x4aa
0xfffffff007f406c8: e4830091  add	x4, sp, #0x20
0xfffffff007f406cc: 02028052  mov	w2, #0x10
0xfffffff007f406d0: 43580a94  bl	#0xfffffff0081d67dc
0xfffffff007f406d4: 1f8c0071  cmp	w0, #0x23
0xfffffff007f406d8: 40000054  b.eq	#0xfffffff007f406e0
0xfffffff007f406dc: a0100035  cbnz	w0, #0xfffffff007f408f0
0xfffffff007f406e0: e8024eb9  ldr	w8, [x23, #0xe00]
0xfffffff007f406e4: 1f01166b  cmp	w8, w22
0xfffffff007f406e8: 81110054  b.ne	#0xfffffff007f40918
0xfffffff007f406ec: e01701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f406f0: 00003891  add	x0, x0, #0xe00
0xfffffff007f406f4: e11701b0  adrp	x1, #0xfffffff00a23d000
0xfffffff007f406f8: 21a02491  add	x1, x1, #0x928
0xfffffff007f406fc: e388fff0  adrp	x3, #0xfffffff00705f000
0xfffffff007f40700: 63a81291  add	x3, x3, #0x4aa
0xfffffff007f40704: e4830091  add	x4, sp, #0x20
0xfffffff007f40708: 02028052  mov	w2, #0x10
0xfffffff007f4070c: 34580a94  bl	#0xfffffff0081d67dc
0xfffffff007f40710: 1f8c0071  cmp	w0, #0x23
0xfffffff007f40714: 40000054  b.eq	#0xfffffff007f4071c
0xfffffff007f40718: c00e0035  cbnz	w0, #0xfffffff007f408f0
0xfffffff007f4071c: e8024eb9  ldr	w8, [x23, #0xe00]
0xfffffff007f40720: 1f01166b  cmp	w8, w22
0xfffffff007f40724: a10f0054  b.ne	#0xfffffff007f40918
0xfffffff007f40728: e01701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f4072c: 00003891  add	x0, x0, #0xe00
0xfffffff007f40730: e11701b0  adrp	x1, #0xfffffff00a23d000
0xfffffff007f40734: 21a02491  add	x1, x1, #0x928
0xfffffff007f40738: e388fff0  adrp	x3, #0xfffffff00705f000
0xfffffff007f4073c: 63a81291  add	x3, x3, #0x4aa
0xfffffff007f40740: e4830091  add	x4, sp, #0x20
0xfffffff007f40744: 02028052  mov	w2, #0x10
0xfffffff007f40748: 25580a94  bl	#0xfffffff0081d67dc
0xfffffff007f4074c: 1f8c0071  cmp	w0, #0x23
0xfffffff007f40750: 40000054  b.eq	#0xfffffff007f40758
0xfffffff007f40754: e00c0035  cbnz	w0, #0xfffffff007f408f0
0xfffffff007f40758: e8024eb9  ldr	w8, [x23, #0xe00]
0xfffffff007f4075c: 1f01166b  cmp	w8, w22
0xfffffff007f40760: c10d0054  b.ne	#0xfffffff007f40918
0xfffffff007f40764: e01701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f40768: 00003891  add	x0, x0, #0xe00
