; Candidate 6801
; ADRP+ADD at VM 0xfffffff00884287c (fileoff 0x183e87c): page=0x1fe9a7000 add_imm=0xe80

0xfffffff0088427fc: 400a8052  mov	w0, #0x52
0xfffffff008842800: 06e40094  bl	#0xfffffff00887b818
0xfffffff008842804: f50300aa  mov	x21, x0
0xfffffff008842808: 69c60194  bl	#0xfffffff0088b41ac
0xfffffff00884280c: f40300aa  mov	x20, x0
0xfffffff008842810: 00018052  mov	w0, #8
0xfffffff008842814: 0fe40094  bl	#0xfffffff00887b850
0xfffffff008842818: b5010034  cbz	w21, #0xfffffff00884284c
0xfffffff00884281c: 084fffd0  adrp	x8, #0xfffffff007224000
0xfffffff008842820: 08551191  add	x8, x8, #0x455
0xfffffff008842824: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008842828: 084fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00884282c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008842830: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008842834: 480a8052  mov	w8, #0x52
0xfffffff008842838: f42300a9  stp	x20, x8, [sp]
0xfffffff00884283c: 604effd0  adrp	x0, #0xfffffff007210000
0xfffffff008842840: 008c2c91  add	x0, x0, #0xb23
0xfffffff008842844: 07d3d597  bl	#0xfffffff007db7460
0xfffffff008842848: 15000014  b	#0xfffffff00884289c
0xfffffff00884284c: 58c60194  bl	#0xfffffff0088b41ac
0xfffffff008842850: f40300aa  mov	x20, x0
0xfffffff008842854: 00018052  mov	w0, #8
0xfffffff008842858: fee30094  bl	#0xfffffff00887b850
0xfffffff00884285c: 084fffd0  adrp	x8, #0xfffffff007224000
0xfffffff008842860: 08551191  add	x8, x8, #0x455
0xfffffff008842864: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008842868: 084fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00884286c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008842870: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008842874: 480a8052  mov	w8, #0x52
0xfffffff008842878: f42300a9  stp	x20, x8, [sp]
0xfffffff00884287c: 204dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008842880: 00003a91  add	x0, x0, #0xe80
0xfffffff008842884: 218effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008842888: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884288c: 6350ffb0  adrp	x3, #0xfffffff00724f000
0xfffffff008842890: 63703691  add	x3, x3, #0xd9c
0xfffffff008842894: 02008052  mov	w2, #0
0xfffffff008842898: 26c2eb97  bl	#0xfffffff008333130
0xfffffff00884289c: 75220291  add	x21, x19, #0x88
0xfffffff0088428a0: e00315aa  mov	x0, x21
0xfffffff0088428a4: b9b5ff97  bl	#0xfffffff00882ff88
0xfffffff0088428a8: f40300aa  mov	x20, x0
0xfffffff0088428ac: e00315aa  mov	x0, x21
0xfffffff0088428b0: cbb5ff97  bl	#0xfffffff00882ffdc
0xfffffff0088428b4: 9f0200eb  cmp	x20, x0
0xfffffff0088428b8: b3831af8  stur	x19, [x29, #-0x58]
0xfffffff0088428bc: 1c008052  mov	w28, #0
0xfffffff0088428c0: 40080054  b.eq	#0xfffffff0088429c8
0xfffffff0088428c4: 18008052  mov	w24, #0
0xfffffff0088428c8: 17008052  mov	w23, #0
0xfffffff0088428cc: 13008052  mov	w19, #0
0xfffffff0088428d0: 1b008052  mov	w27, #0
0xfffffff0088428d4: 1a008052  mov	w26, #0
0xfffffff0088428d8: 19008052  mov	w25, #0
0xfffffff0088428dc: e00314aa  mov	x0, x20
0xfffffff0088428e0: 01208052  mov	w1, #0x100
0xfffffff0088428e4: 896dff97  bl	#0xfffffff00881df08
0xfffffff0088428e8: f60300aa  mov	x22, x0
0xfffffff0088428ec: 1900190b  add	w25, w0, w25
0xfffffff0088428f0: e00314aa  mov	x0, x20
0xfffffff0088428f4: 01fcbf12  mov	w1, #0x1fffff
0xfffffff0088428f8: 846dff97  bl	#0xfffffff00881df08
