; Candidate 287
; ADRP+ADD at VM 0xfffffff007e9153c (fileoff 0xe8d53c): page=0x2366000 add_imm=0xe50

0xfffffff007e914bc: df0a00f9  str	xzr, [x22, #0x10]
0xfffffff007e914c0: e0d6ffd0  adrp	x0, #0xfffffff00796f000
0xfffffff007e914c4: 00201a91  add	x0, x0, #0x688
0xfffffff007e914c8: 6955fc97  bl	#0xfffffff007da6a6c
0xfffffff007e914cc: 00d7ff90  adrp	x0, #0xfffffff007971000
0xfffffff007e914d0: 00c01391  add	x0, x0, #0x4f0
0xfffffff007e914d4: e10316aa  mov	x1, x22
0xfffffff007e914d8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007e914dc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007e914e0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007e914e4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007e914e8: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007e914ec: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff007e914f0: ff030291  add	sp, sp, #0x80
0xfffffff007e914f4: ff2303d5  autibsp	
0xfffffff007e914f8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e914fc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e91504
0xfffffff007e91500: 208e38d4  brk	#0xc471
0xfffffff007e91504: c2e1fd17  b	#0xfffffff007e09c0c
0xfffffff007e91508: 160080d2  mov	x22, #0
0xfffffff007e9150c: 281b01d0  adrp	x8, #0xfffffff00a1f7000
0xfffffff007e91510: 094d4eb9  ldr	w9, [x8, #0xe4c]
0xfffffff007e91514: 29050011  add	w9, w9, #1
0xfffffff007e91518: 094d0eb9  str	w9, [x8, #0xe4c]
0xfffffff007e9151c: 480340f9  ldr	x8, [x26]
0xfffffff007e91520: c91801b0  adrp	x9, #0xfffffff00a1aa000
0xfffffff007e91524: 170500f9  str	x23, [x8, #8]
0xfffffff007e91528: e86a00a9  stp	x8, x26, [x23]
0xfffffff007e9152c: 37c101f9  str	x23, [x9, #0x380]
0xfffffff007e91530: fb0317aa  mov	x27, x23
0xfffffff007e91534: 95faff35  cbnz	w21, #0xfffffff007e91484
0xfffffff007e91538: d7ffff17  b	#0xfffffff007e91494
0xfffffff007e9153c: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91540: 00403991  add	x0, x0, #0xe50
0xfffffff007e91544: e10313aa  mov	x1, x19
0xfffffff007e91548: 876cfc97  bl	#0xfffffff007dac764
0xfffffff007e9154c: 16fbffb5  cbnz	x22, #0xfffffff007e914ac
0xfffffff007e91550: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007e91554: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007e91558: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007e9155c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007e91560: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007e91564: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff007e91568: ff030291  add	sp, sp, #0x80
0xfffffff007e9156c: ff0f5fd6  retab	
0xfffffff007e91570: 273b1894  bl	#0xfffffff0084a020c
0xfffffff007e91574: e88dffd0  adrp	x8, #0xfffffff00704f000
0xfffffff007e91578: 087d2891  add	x8, x8, #0xa1f
0xfffffff007e9157c: 491d8052  mov	w9, #0xea
0xfffffff007e91580: e82700a9  stp	x8, x9, [sp]
0xfffffff007e91584: e08dffd0  adrp	x0, #0xfffffff00704f000
0xfffffff007e91588: 00782991  add	x0, x0, #0xa5e
0xfffffff007e9158c: e00b1894  bl	#0xfffffff00849450c
0xfffffff007e91590: 7f2303d5  pacibsp	
0xfffffff007e91594: ff8301d1  sub	sp, sp, #0x60
0xfffffff007e91598: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff007e9159c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff007e915a0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff007e915a4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff007e915a8: fd430191  add	x29, sp, #0x50
0xfffffff007e915ac: f50300aa  mov	x21, x0
0xfffffff007e915b0: 080080d2  mov	x8, #0
0xfffffff007e915b4: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007e915b8: 691a44b9  ldr	w9, [x19, #0x418]
