; Candidate 311
; ADRP+ADD at VM 0xfffffff007e93148 (fileoff 0xe8f148): page=0x2364000 add_imm=0xe90

0xfffffff007e930c8: 01008052  mov	w1, #0
0xfffffff007e930cc: 2efbff17  b	#0xfffffff007e91d84
0xfffffff007e930d0: 7f2303d5  pacibsp	
0xfffffff007e930d4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007e930d8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007e930dc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007e930e0: fd830091  add	x29, sp, #0x20
0xfffffff007e930e4: f40300aa  mov	x20, x0
0xfffffff007e930e8: 080080d2  mov	x8, #0
0xfffffff007e930ec: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007e930f0: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e930f4: 351b0190  adrp	x21, #0xfffffff00a1f7000
0xfffffff007e930f8: b5623a91  add	x21, x21, #0xe98
0xfffffff007e930fc: a97ee8c8  casa	x8, x9, [x21]
0xfffffff007e93100: 1f0100f1  cmp	x8, #0
0xfffffff007e93104: 21020054  b.ne	#0xfffffff007e93148
0xfffffff007e93108: 880640b9  ldr	w8, [x20, #4]
0xfffffff007e9310c: e9130432  mov	w9, #-0xfffffff
0xfffffff007e93110: 0a01090b  add	w10, w8, w9
0xfffffff007e93114: 5f01096b  cmp	w10, w9
0xfffffff007e93118: 49020054  b.ls	#0xfffffff007e93160
0xfffffff007e9311c: 08050011  add	w8, w8, #1
0xfffffff007e93120: 880600b9  str	w8, [x20, #4]
0xfffffff007e93124: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e93128: e20308aa  mov	x2, x8
0xfffffff007e9312c: bffea288  casl	w2, wzr, [x21]
0xfffffff007e93130: 5f00086b  cmp	w2, w8
0xfffffff007e93134: a1010054  b.ne	#0xfffffff007e93168
0xfffffff007e93138: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e9313c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e93140: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e93144: ff0f5fd6  retab	
0xfffffff007e93148: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e9314c: 00403a91  add	x0, x0, #0xe90
0xfffffff007e93150: e10313aa  mov	x1, x19
0xfffffff007e93154: 02008052  mov	w2, #0
0xfffffff007e93158: 6862fc97  bl	#0xfffffff007dabaf8
0xfffffff007e9315c: ebffff17  b	#0xfffffff007e93108
0xfffffff007e93160: 80120091  add	x0, x20, #4
0xfffffff007e93164: 2a341894  bl	#0xfffffff0084a020c
0xfffffff007e93168: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e9316c: 00403a91  add	x0, x0, #0xe90
0xfffffff007e93170: e10313aa  mov	x1, x19
0xfffffff007e93174: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e93178: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e9317c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e93180: ff2303d5  autibsp	
0xfffffff007e93184: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e93188: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e93190
0xfffffff007e9318c: 208e38d4  brk	#0xc471
0xfffffff007e93190: 7565fc17  b	#0xfffffff007dac764
0xfffffff007e93194: 7f2303d5  pacibsp	
0xfffffff007e93198: ff4302d1  sub	sp, sp, #0x90
0xfffffff007e9319c: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff007e931a0: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff007e931a4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff007e931a8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff007e931ac: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff007e931b0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff007e931b4: fd030291  add	x29, sp, #0x80
0xfffffff007e931b8: f70305aa  mov	x23, x5
0xfffffff007e931bc: f90304aa  mov	x25, x4
0xfffffff007e931c0: fa0303aa  mov	x26, x3
0xfffffff007e931c4: f50302aa  mov	x21, x2
