; Candidate 4144
; ADRP+ADD at VM 0xfffffff00879439c (fileoff 0x179039c): page=0x1fe99d000 add_imm=0xd90

0xfffffff00879431c: 898d8552  mov	w9, #0x2c6c
0xfffffff008794320: a96a6938  ldrb	w9, [x21, x9]
0xfffffff008794324: 69090034  cbz	w9, #0xfffffff008794450
0xfffffff008794328: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00879432c: 080d0012  and	w8, w8, #0xf
0xfffffff008794330: 09178252  mov	w9, #0x10b8
0xfffffff008794334: 0925091b  madd	w9, w8, w9, w9
0xfffffff008794338: 882240b9  ldr	w8, [x20, #0x20]
0xfffffff00879433c: 2901082b  adds	w9, w9, w8
0xfffffff008794340: e3010054  b.lo	#0xfffffff00879437c
0xfffffff008794344: 735d8052  mov	w19, #0x2eb
0xfffffff008794348: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00879434c: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff008794350: 08090991  add	x8, x8, #0x242
0xfffffff008794354: e80300f9  str	x8, [sp]
0xfffffff008794358: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879435c: 00403691  add	x0, x0, #0xd90
0xfffffff008794360: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794364: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794368: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff00879436c: 63542b91  add	x3, x3, #0xad5
0xfffffff008794370: 02008052  mov	w2, #0
0xfffffff008794374: 6f7bee97  bl	#0xfffffff008333130
0xfffffff008794378: 97000014  b	#0xfffffff0087945d4
0xfffffff00879437c: aaaa69b9  ldr	w10, [x21, #0x29a8]
0xfffffff008794380: 3f010a6b  cmp	w9, w10
0xfffffff008794384: e9010054  b.ls	#0xfffffff0087943c0
0xfffffff008794388: 735d8052  mov	w19, #0x2eb
0xfffffff00879438c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008794390: 294efff0  adrp	x9, #0xfffffff00715b000
0xfffffff008794394: 29090991  add	x9, x9, #0x242
0xfffffff008794398: e92300a9  stp	x9, x8, [sp]
0xfffffff00879439c: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087943a0: 00403691  add	x0, x0, #0xd90
0xfffffff0087943a4: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087943a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087943ac: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff0087943b0: 63fc2b91  add	x3, x3, #0xaff
0xfffffff0087943b4: 02008052  mov	w2, #0
0xfffffff0087943b8: 5e7bee97  bl	#0xfffffff008333130
0xfffffff0087943bc: 86000014  b	#0xfffffff0087945d4
0xfffffff0087943c0: a8be41f9  ldr	x8, [x21, #0x378]
0xfffffff0087943c4: 680700b4  cbz	x8, #0xfffffff0087944b0
0xfffffff0087943c8: a84641b9  ldr	w8, [x21, #0x144]
0xfffffff0087943cc: 1f0d0071  cmp	w8, #3
0xfffffff0087943d0: c1080054  b.ne	#0xfffffff0087944e8
0xfffffff0087943d4: 881e40b9  ldr	w8, [x20, #0x1c]
0xfffffff0087943d8: 890a40b9  ldr	w9, [x20, #8]
0xfffffff0087943dc: 0a7d5dd3  ubfx	x10, x8, #0x1d, #3
0xfffffff0087943e0: 0a0a0035  cbnz	w10, #0xfffffff008794520
0xfffffff0087943e4: 2a008052  mov	w10, #1
0xfffffff0087943e8: 0a00a472  movk	w10, #0x2000, lsl #16
0xfffffff0087943ec: 3f010a6b  cmp	w9, w10
0xfffffff0087943f0: 82090054  b.hs	#0xfffffff008794520
0xfffffff0087943f4: aaa669b9  ldr	w10, [x21, #0x29a4]
0xfffffff0087943f8: 1f010a6b  cmp	w8, w10
0xfffffff0087943fc: 220b0054  b.hs	#0xfffffff008794560
0xfffffff008794400: 3f010a6b  cmp	w9, w10
0xfffffff008794404: c20c0054  b.hs	#0xfffffff00879459c
0xfffffff008794408: 2b01080b  add	w11, w9, w8
0xfffffff00879440c: 7f010a6b  cmp	w11, w10
0xfffffff008794410: e90e0054  b.ls	#0xfffffff0087945ec
0xfffffff008794414: 735d8052  mov	w19, #0x2eb
0xfffffff008794418: 1300bc72  movk	w19, #0xe000, lsl #16
