; Candidate 10250
; ADRP+ADD at VM 0xfffffff008cc8348 (fileoff 0x1cc4348): page=0x1fe69a000 add_imm=0xdcc

0xfffffff008cc82c8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008cc82cc: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008cc82d0: fd830191  add	x29, sp, #0x60
0xfffffff008cc82d4: f50301aa  mov	x21, x1
0xfffffff008cc82d8: f30300aa  mov	x19, x0
0xfffffff008cc82dc: f6b000d0  adrp	x22, #0xfffffff00a2e6000
0xfffffff008cc82e0: d6022791  add	x22, x22, #0x9c0
0xfffffff008cc82e4: c80240b9  ldr	w8, [x22]
0xfffffff008cc82e8: e8042036  tbz	w8, #4, #0xfffffff008cc8384
0xfffffff008cc82ec: 09050012  and	w9, w8, #3
0xfffffff008cc82f0: a9040034  cbz	w9, #0xfffffff008cc8384
0xfffffff008cc82f4: 28030036  tbz	w8, #0, #0xfffffff008cc8358
0xfffffff008cc82f8: f62fc897  bl	#0xfffffff007ed42d0
0xfffffff008cc82fc: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008cc8300: e1a30091  add	x1, sp, #0x28
0xfffffff008cc8304: 4f31c897  bl	#0xfffffff007ed4840
0xfffffff008cc8308: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008cc830c: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc8310: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc8314: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc8318: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc831c: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc8320: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc8324: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc8328: c934ffd0  adrp	x9, #0xfffffff007362000
0xfffffff008cc832c: 29193891  add	x9, x9, #0xe06
0xfffffff008cc8330: ca34ffd0  adrp	x10, #0xfffffff007362000
0xfffffff008cc8334: 4a353891  add	x10, x10, #0xe0d
0xfffffff008cc8338: bf020071  cmp	w21, #0
0xfffffff008cc833c: 4901899a  csel	x9, x10, x9, eq
0xfffffff008cc8340: f3a700a9  stp	x19, x9, [sp, #8]
0xfffffff008cc8344: e80300f9  str	x8, [sp]
0xfffffff008cc8348: c034ffd0  adrp	x0, #0xfffffff007362000
0xfffffff008cc834c: 00303791  add	x0, x0, #0xdcc
0xfffffff008cc8350: 809cde97  bl	#0xfffffff00846f550
0xfffffff008cc8354: c80240b9  ldr	w8, [x22]
0xfffffff008cc8358: 68010836  tbz	w8, #1, #0xfffffff008cc8384
0xfffffff008cc835c: c834ffd0  adrp	x8, #0xfffffff007362000
0xfffffff008cc8360: 08193891  add	x8, x8, #0xe06
0xfffffff008cc8364: c934ffd0  adrp	x9, #0xfffffff007362000
0xfffffff008cc8368: 29353891  add	x9, x9, #0xe0d
0xfffffff008cc836c: bf020071  cmp	w21, #0
0xfffffff008cc8370: 2801889a  csel	x8, x9, x8, eq
0xfffffff008cc8374: f32300a9  stp	x19, x8, [sp]
0xfffffff008cc8378: c034ffd0  adrp	x0, #0xfffffff007362000
0xfffffff008cc837c: 00583891  add	x0, x0, #0xe16
0xfffffff008cc8380: 283bda97  bl	#0xfffffff008357020
0xfffffff008cc8384: 601e47f9  ldr	x0, [x19, #0xe38]
0xfffffff008cc8388: 100040f9  ldr	x16, [x0]
0xfffffff008cc838c: f10300aa  mov	x17, x0
0xfffffff008cc8390: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cc8394: 301ac1da  autda	x16, x17
0xfffffff008cc8398: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008cc839c: e90310aa  mov	x9, x16
0xfffffff008cc83a0: f10309aa  mov	x17, x9
0xfffffff008cc83a4: 91fafdf2  movk	x17, #0xefd4, lsl #48
0xfffffff008cc83a8: 11093fd7  blraa	x8, x17
0xfffffff008cc83ac: f40300aa  mov	x20, x0
0xfffffff008cc83b0: e0050036  tbz	w0, #0, #0xfffffff008cc846c
0xfffffff008cc83b4: 15110034  cbz	w21, #0xfffffff008cc85d4
0xfffffff008cc83b8: 48008052  mov	w8, #2
0xfffffff008cc83bc: 680a0fb9  str	w8, [x19, #0xf08]
0xfffffff008cc83c0: c80240b9  ldr	w8, [x22]
0xfffffff008cc83c4: 48032036  tbz	w8, #4, #0xfffffff008cc842c
