; Candidate 12617
; ADRP+ADD at VM 0xfffffff0090c8150 (fileoff 0x20c4150): page=0x1fea84000 add_imm=0xe68

0xfffffff0090c80d0: f10309aa  mov	x17, x9
0xfffffff0090c80d4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090c80d8: 11093fd7  blraa	x8, x17
0xfffffff0090c80dc: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff0090c80e0: e00313aa  mov	x0, x19
0xfffffff0090c80e4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090c80e8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090c80ec: ff2303d5  autibsp	
0xfffffff0090c80f0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0090c80f4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0090c80fc
0xfffffff0090c80f8: 208e38d4  brk	#0xc471
0xfffffff0090c80fc: 147dc817  b	#0xfffffff0082e754c
0xfffffff0090c8100: 7f2303d5  pacibsp	
0xfffffff0090c8104: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090c8108: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090c810c: fd430091  add	x29, sp, #0x10
0xfffffff0090c8110: f30300aa  mov	x19, x0
0xfffffff0090c8114: dbffff97  bl	#0xfffffff0090c8080
0xfffffff0090c8118: 2054ff90  adrp	x0, #0xfffffff007b4c000
0xfffffff0090c811c: 00a03991  add	x0, x0, #0xe68
0xfffffff0090c8120: e10313aa  mov	x1, x19
0xfffffff0090c8124: 02038052  mov	w2, #0x18
0xfffffff0090c8128: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090c812c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090c8130: ff2303d5  autibsp	
0xfffffff0090c8134: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0090c8138: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0090c8140
0xfffffff0090c813c: 208e38d4  brk	#0xc471
0xfffffff0090c8140: 577dc817  b	#0xfffffff0082e769c
0xfffffff0090c8144: 5f2403d5  bti	c
0xfffffff0090c8148: e20301aa  mov	x2, x1
0xfffffff0090c814c: e10300aa  mov	x1, x0
0xfffffff0090c8150: 2054ff90  adrp	x0, #0xfffffff007b4c000
0xfffffff0090c8154: 00a03991  add	x0, x0, #0xe68
0xfffffff0090c8158: 517dc817  b	#0xfffffff0082e769c
0xfffffff0090c815c: 5f2403d5  bti	c
0xfffffff0090c8160: 409200f0  adrp	x0, #0xfffffff00a313000
0xfffffff0090c8164: 00003f91  add	x0, x0, #0xfc0
0xfffffff0090c8168: c0035fd6  ret	
0xfffffff0090c816c: 7f2303d5  pacibsp	
0xfffffff0090c8170: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0090c8174: fd030091  mov	x29, sp
0xfffffff0090c8178: 011dffd0  adrp	x1, #0xfffffff00746a000
0xfffffff0090c817c: 21ec2b91  add	x1, x1, #0xafb
0xfffffff0090c8180: 2254ff90  adrp	x2, #0xfffffff007b4c000
0xfffffff0090c8184: 421845f9  ldr	x2, [x2, #0xa30]
0xfffffff0090c8188: 03038052  mov	w3, #0x18
0xfffffff0090c818c: 6b6ec897  bl	#0xfffffff0082e3b38
0xfffffff0090c8190: 3054ff90  adrp	x16, #0xfffffff007b4c000
0xfffffff0090c8194: 10823591  add	x16, x16, #0xd60
0xfffffff0090c8198: 10420091  add	x16, x16, #0x10
0xfffffff0090c819c: f10300aa  mov	x17, x0
0xfffffff0090c81a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090c81a4: 300ac1da  pacda	x16, x17
0xfffffff0090c81a8: 100000f9  str	x16, [x0]
0xfffffff0090c81ac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0090c81b0: ff0f5fd6  retab	
0xfffffff0090c81b4: 7f2303d5  pacibsp	
0xfffffff0090c81b8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090c81bc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090c81c0: fd430091  add	x29, sp, #0x10
0xfffffff0090c81c4: 2054ff90  adrp	x0, #0xfffffff007b4c000
0xfffffff0090c81c8: 00a03991  add	x0, x0, #0xe68
0xfffffff0090c81cc: 01038052  mov	w1, #0x18
