; Candidate 10618
; ADRP+ADD at VM 0xfffffff008ddfbe4 (fileoff 0x1ddbbe4): page=0x1fe5e5000 add_imm=0xe15

0xfffffff008ddfb64: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008ddfb68: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddfb6c: 00503591  add	x0, x0, #0xd54
0xfffffff008ddfb70: 2cddd597  bl	#0xfffffff008357020
0xfffffff008ddfb74: e00313aa  mov	x0, x19
0xfffffff008ddfb78: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008ddfb7c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008ddfb80: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008ddfb84: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008ddfb88: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008ddfb8c: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008ddfb90: ff430291  add	sp, sp, #0x90
0xfffffff008ddfb94: ff0f5fd6  retab	
0xfffffff008ddfb98: a81e8052  mov	w8, #0xf5
0xfffffff008ddfb9c: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddfba0: 29490d91  add	x9, x9, #0x352
0xfffffff008ddfba4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ddfba8: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddfbac: 08493991  add	x8, x8, #0xe52
0xfffffff008ddfbb0: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddfbb4: 4aad1a91  add	x10, x10, #0x6ab
0xfffffff008ddfbb8: 09000014  b	#0xfffffff008ddfbdc
0xfffffff008ddfbbc: c81e8052  mov	w8, #0xf6
0xfffffff008ddfbc0: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddfbc4: 29490d91  add	x9, x9, #0x352
0xfffffff008ddfbc8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ddfbcc: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddfbd0: 08493991  add	x8, x8, #0xe52
0xfffffff008ddfbd4: 2a2fffb0  adrp	x10, #0xfffffff0073c4000
0xfffffff008ddfbd8: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008ddfbdc: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008ddfbe0: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008ddfbe4: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddfbe8: 00543891  add	x0, x0, #0xe15
0xfffffff008ddfbec: 0dddd597  bl	#0xfffffff008357020
0xfffffff008ddfbf0: c8088052  mov	w8, #0x46
0xfffffff008ddfbf4: 53008012  mov	w19, #-3
0xfffffff008ddfbf8: d5ffff17  b	#0xfffffff008ddfb4c
0xfffffff008ddfbfc: f40300aa  mov	x20, x0
0xfffffff008ddfc00: 887e4093  sxtw	x8, w20
0xfffffff008ddfc04: 291f8052  mov	w9, #0xf9
0xfffffff008ddfc08: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddfc0c: 4a490d91  add	x10, x10, #0x352
0xfffffff008ddfc10: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ddfc14: 292fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddfc18: 29493991  add	x9, x9, #0xe52
0xfffffff008ddfc1c: 2b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ddfc20: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ddfc24: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddfc28: eb0300f9  str	x11, [sp]
0xfffffff008ddfc2c: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddfc30: 00543891  add	x0, x0, #0xe15
0xfffffff008ddfc34: fbdcd597  bl	#0xfffffff008357020
0xfffffff008ddfc38: c8088052  mov	w8, #0x46
0xfffffff008ddfc3c: f30314aa  mov	x19, x20
0xfffffff008ddfc40: c3ffff17  b	#0xfffffff008ddfb4c
0xfffffff008ddfc44: 881f8052  mov	w8, #0xfc
0xfffffff008ddfc48: f7a301a9  stp	x23, x8, [sp, #0x18]
0xfffffff008ddfc4c: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddfc50: 08493991  add	x8, x8, #0xe52
0xfffffff008ddfc54: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddfc58: 293d1b91  add	x9, x9, #0x6cf
0xfffffff008ddfc5c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddfc60: e90300f9  str	x9, [sp]
