; Candidate 7724
; ADRP+ADD at VM 0xfffffff00887b550 (fileoff 0x1877550): page=0x1fe9b0000 add_imm=0xe92

0xfffffff00887b4d0: f92f0094  bl	#0xfffffff0088874b4
0xfffffff00887b4d4: 1b001b0b  add	w27, w0, w27
0xfffffff00887b4d8: 5a070091  add	x26, x26, #1
0xfffffff00887b4dc: e84280b9  ldrsw	x8, [x23, #0x40]
0xfffffff00887b4e0: 5f0308eb  cmp	x26, x8
0xfffffff00887b4e4: 8bfeff54  b.lt	#0xfffffff00887b4b4
0xfffffff00887b4e8: e00316aa  mov	x0, x22
0xfffffff00887b4ec: e10318aa  mov	x1, x24
0xfffffff00887b4f0: b8000094  bl	#0xfffffff00887b7d0
0xfffffff00887b4f4: 400b0036  tbz	w0, #0, #0xfffffff00887b65c
0xfffffff00887b4f8: e00316aa  mov	x0, x22
0xfffffff00887b4fc: c7000094  bl	#0xfffffff00887b818
0xfffffff00887b500: 1503f837  tbnz	w21, #0x1f, #0xfffffff00887b560
0xfffffff00887b504: b3021b12  and	w19, w21, #0x20
0xfffffff00887b508: 1a000052  eor	w26, w0, #1
0xfffffff00887b50c: 28e30094  bl	#0xfffffff0088b41ac
0xfffffff00887b510: f90300aa  mov	x25, x0
0xfffffff00887b514: e00318aa  mov	x0, x24
0xfffffff00887b518: ce000094  bl	#0xfffffff00887b850
0xfffffff00887b51c: 4817532a  orr	w8, w26, w19, lsr #5
0xfffffff00887b520: 48040037  tbnz	w8, #0, #0xfffffff00887b5a8
0xfffffff00887b524: e082c23c  ldur	q0, [x23, #0x28]
0xfffffff00887b528: e81e40f9  ldr	x8, [x23, #0x38]
0xfffffff00887b52c: e91240b9  ldr	w9, [x23, #0x10]
0xfffffff00887b530: ea4240b9  ldr	w10, [x23, #0x40]
0xfffffff00887b534: eb830191  add	x11, sp, #0x60
0xfffffff00887b538: eaaf04a9  stp	x10, x11, [sp, #0x48]
0xfffffff00887b53c: e82300f9  str	x8, [sp, #0x40]
0xfffffff00887b540: e00f803d  str	q0, [sp, #0x30]
0xfffffff00887b544: f72702a9  stp	x23, x9, [sp, #0x20]
0xfffffff00887b548: a80302d1  sub	x8, x29, #0x80
0xfffffff00887b54c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887b550: 804dff90  adrp	x0, #0xfffffff00722b000
0xfffffff00887b554: 00483a91  add	x0, x0, #0xe92
0xfffffff00887b558: f95b00a9  stp	x25, x22, [sp]
0xfffffff00887b55c: 11000014  b	#0xfffffff00887b5a0
0xfffffff00887b560: 80050034  cbz	w0, #0xfffffff00887b610
0xfffffff00887b564: e803154b  neg	w8, w21
0xfffffff00887b568: 48052837  tbnz	w8, #5, #0xfffffff00887b610
0xfffffff00887b56c: e082c23c  ldur	q0, [x23, #0x28]
0xfffffff00887b570: e81e40f9  ldr	x8, [x23, #0x38]
0xfffffff00887b574: e91240b9  ldr	w9, [x23, #0x10]
0xfffffff00887b578: ea4240b9  ldr	w10, [x23, #0x40]
0xfffffff00887b57c: eb830191  add	x11, sp, #0x60
0xfffffff00887b580: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff00887b584: e81700f9  str	x8, [sp, #0x28]
0xfffffff00887b588: e083813c  stur	q0, [sp, #0x18]
0xfffffff00887b58c: f7a700a9  stp	x23, x9, [sp, #8]
0xfffffff00887b590: a80302d1  sub	x8, x29, #0x80
0xfffffff00887b594: 804dff90  adrp	x0, #0xfffffff00722b000
0xfffffff00887b598: 00a43991  add	x0, x0, #0xe69
0xfffffff00887b59c: e80300f9  str	x8, [sp]
0xfffffff00887b5a0: b0efd497  bl	#0xfffffff007db7460
0xfffffff00887b5a4: 2e000014  b	#0xfffffff00887b65c
0xfffffff00887b5a8: 01e30094  bl	#0xfffffff0088b41ac
0xfffffff00887b5ac: f90300aa  mov	x25, x0
0xfffffff00887b5b0: e00318aa  mov	x0, x24
0xfffffff00887b5b4: a7000094  bl	#0xfffffff00887b850
0xfffffff00887b5b8: e082c23c  ldur	q0, [x23, #0x28]
0xfffffff00887b5bc: e81e40f9  ldr	x8, [x23, #0x38]
0xfffffff00887b5c0: e91240b9  ldr	w9, [x23, #0x10]
0xfffffff00887b5c4: ea4240b9  ldr	w10, [x23, #0x40]
0xfffffff00887b5c8: eb830191  add	x11, sp, #0x60
0xfffffff00887b5cc: eaaf04a9  stp	x10, x11, [sp, #0x48]
