; Candidate 14412
; ADRP+ADD at VM 0xfffffff0097760a0 (fileoff 0x27720a0): page=0x1fde23000 add_imm=0xe4f

0xfffffff009776020: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff009776024: 11093fd7  blraa	x8, x17
0xfffffff009776028: 100040f9  ldr	x16, [x0]
0xfffffff00977602c: f10300aa  mov	x17, x0
0xfffffff009776030: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009776034: 301ac1da  autda	x16, x17
0xfffffff009776038: 113d80d2  mov	x17, #0x1e8
0xfffffff00977603c: 1002118b  add	x16, x16, x17
0xfffffff009776040: 080240f9  ldr	x8, [x16]
0xfffffff009776044: e90310aa  mov	x9, x16
0xfffffff009776048: 010080d2  mov	x1, #0
0xfffffff00977604c: f10309aa  mov	x17, x9
0xfffffff009776050: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009776054: 11093fd7  blraa	x8, x17
0xfffffff009776058: 0e000014  b	#0xfffffff009776090
0xfffffff00977605c: e00314aa  mov	x0, x20
0xfffffff009776060: 6f000094  bl	#0xfffffff00977621c
0xfffffff009776064: 00030034  cbz	w0, #0xfffffff0097760c4
0xfffffff009776068: 1f080071  cmp	w0, #2
0xfffffff00977606c: a202969a  csel	x2, x21, x22, eq
0xfffffff009776070: c302959a  csel	x3, x22, x21, eq
0xfffffff009776074: a19b00d1  sub	x1, x29, #0x26
0xfffffff009776078: e00314aa  mov	x0, x20
0xfffffff00977607c: 34030094  bl	#0xfffffff009776d4c
0xfffffff009776080: 13008052  mov	w19, #0
0xfffffff009776084: 0a000014  b	#0xfffffff0097760ac
0xfffffff009776088: a0f0fef0  adrp	x0, #0xfffffff00758d000
0xfffffff00977608c: 007c1f91  add	x0, x0, #0x7df
0xfffffff009776090: 08f1fef0  adrp	x8, #0xfffffff007599000
0xfffffff009776094: 08e13991  add	x8, x8, #0xe78
0xfffffff009776098: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff00977609c: f52300a9  stp	x21, x8, [sp]
0xfffffff0097760a0: 00f1fef0  adrp	x0, #0xfffffff007599000
0xfffffff0097760a4: 003c3991  add	x0, x0, #0xe4f
0xfffffff0097760a8: de83af97  bl	#0xfffffff008357020
0xfffffff0097760ac: e00313aa  mov	x0, x19
0xfffffff0097760b0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0097760b4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0097760b8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0097760bc: ff830191  add	sp, sp, #0x60
0xfffffff0097760c0: ff0f5fd6  retab	
0xfffffff0097760c4: 135e8052  mov	w19, #0x2f0
0xfffffff0097760c8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0097760cc: f8ffff17  b	#0xfffffff0097760ac
0xfffffff0097760d0: 7f2303d5  pacibsp	
0xfffffff0097760d4: ff0301d1  sub	sp, sp, #0x40
0xfffffff0097760d8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0097760dc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0097760e0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0097760e4: fdc30091  add	x29, sp, #0x30
0xfffffff0097760e8: f30302aa  mov	x19, x2
0xfffffff0097760ec: f40301aa  mov	x20, x1
0xfffffff0097760f0: f50300aa  mov	x21, x0
0xfffffff0097760f4: e8f30132  mov	w8, #-0x55555556
0xfffffff0097760f8: e8a300b8  stur	w8, [sp, #0xa]
0xfffffff0097760fc: 48559552  mov	w8, #0xaaaa
0xfffffff009776100: e81f0079  strh	w8, [sp, #0xe]
0xfffffff009776104: 100040f9  ldr	x16, [x0]
0xfffffff009776108: f10300aa  mov	x17, x0
0xfffffff00977610c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009776110: 301ac1da  autda	x16, x17
0xfffffff009776114: 11c380d2  mov	x17, #0x618
0xfffffff009776118: 1002118b  add	x16, x16, x17
0xfffffff00977611c: 080240f9  ldr	x8, [x16]
