; Candidate 10097
; ADRP+ADD at VM 0xfffffff008ca2c7c (fileoff 0x1c9ec7c): page=0x1fe6ab000 add_imm=0xd49

0xfffffff008ca2bfc: 9f8a3e39  strb	wzr, [x20, #0xfa2]
0xfffffff008ca2c00: 000080d2  mov	x0, #0
0xfffffff008ca2c04: 01018052  mov	w1, #8
0xfffffff008ca2c08: b9f1d997  bl	#0xfffffff00831f2ec
0xfffffff008ca2c0c: 200300b4  cbz	x0, #0xfffffff008ca2c70
0xfffffff008ca2c10: f50300aa  mov	x21, x0
0xfffffff008ca2c14: 900240f9  ldr	x16, [x20]
0xfffffff008ca2c18: f10314aa  mov	x17, x20
0xfffffff008ca2c1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca2c20: 301ac1da  autda	x16, x17
0xfffffff008ca2c24: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff008ca2c28: e90310aa  mov	x9, x16
0xfffffff008ca2c2c: 4135ffd0  adrp	x1, #0xfffffff00734c000
0xfffffff008ca2c30: 214c1491  add	x1, x1, #0x513
0xfffffff008ca2c34: e00314aa  mov	x0, x20
0xfffffff008ca2c38: e20315aa  mov	x2, x21
0xfffffff008ca2c3c: f10309aa  mov	x17, x9
0xfffffff008ca2c40: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff008ca2c44: 11093fd7  blraa	x8, x17
0xfffffff008ca2c48: b00240f9  ldr	x16, [x21]
0xfffffff008ca2c4c: f10315aa  mov	x17, x21
0xfffffff008ca2c50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca2c54: 301ac1da  autda	x16, x17
0xfffffff008ca2c58: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ca2c5c: e90310aa  mov	x9, x16
0xfffffff008ca2c60: e00315aa  mov	x0, x21
0xfffffff008ca2c64: f10309aa  mov	x17, x9
0xfffffff008ca2c68: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008ca2c6c: 11093fd7  blraa	x8, x17
0xfffffff008ca2c70: 886247f9  ldr	x8, [x20, #0xec0]
0xfffffff008ca2c74: 280400b4  cbz	x8, #0xfffffff008ca2cf8
0xfffffff008ca2c78: f60300f9  str	x22, [sp]
0xfffffff008ca2c7c: 4035fff0  adrp	x0, #0xfffffff00734d000
0xfffffff008ca2c80: 00243591  add	x0, x0, #0xd49
0xfffffff008ca2c84: e7d0da97  bl	#0xfffffff008357020
0xfffffff008ca2c88: 806247f9  ldr	x0, [x20, #0xec0]
0xfffffff008ca2c8c: 100040f9  ldr	x16, [x0]
0xfffffff008ca2c90: f10300aa  mov	x17, x0
0xfffffff008ca2c94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca2c98: 301ac1da  autda	x16, x17
0xfffffff008ca2c9c: f10310aa  mov	x17, x16
0xfffffff008ca2ca0: f147c1da  xpacd	x17
0xfffffff008ca2ca4: 1f0211eb  cmp	x16, x17
0xfffffff008ca2ca8: 40000054  b.eq	#0xfffffff008ca2cb0
0xfffffff008ca2cac: 408e38d4  brk	#0xc472
0xfffffff008ca2cb0: 08c20b91  add	x8, x16, #0x2f0
0xfffffff008ca2cb4: 097a41f9  ldr	x9, [x16, #0x2f0]
0xfffffff008ca2cb8: 01008052  mov	w1, #0
0xfffffff008ca2cbc: f10308aa  mov	x17, x8
0xfffffff008ca2cc0: b1d8ebf2  movk	x17, #0x5ec5, lsl #48
0xfffffff008ca2cc4: 31093fd7  blraa	x9, x17
0xfffffff008ca2cc8: 806247f9  ldr	x0, [x20, #0xec0]
0xfffffff008ca2ccc: 400100b4  cbz	x0, #0xfffffff008ca2cf4
0xfffffff008ca2cd0: 100040f9  ldr	x16, [x0]
0xfffffff008ca2cd4: f10300aa  mov	x17, x0
0xfffffff008ca2cd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca2cdc: 301ac1da  autda	x16, x17
0xfffffff008ca2ce0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ca2ce4: e90310aa  mov	x9, x16
0xfffffff008ca2ce8: f10309aa  mov	x17, x9
0xfffffff008ca2cec: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008ca2cf0: 11093fd7  blraa	x8, x17
0xfffffff008ca2cf4: 9f6207f9  str	xzr, [x20, #0xec0]
0xfffffff008ca2cf8: 889a7d39  ldrb	w8, [x20, #0xf66]
