; Candidate 4797
; ADRP+ADD at VM 0xfffffff0087c6c08 (fileoff 0x17c2c08): page=0x1fea47000 add_imm=0xd96

0xfffffff0087c6b88: 00643591  add	x0, x0, #0xd59
0xfffffff0087c6b8c: 35c2d797  bl	#0xfffffff007db7460
0xfffffff0087c6b90: 0e000014  b	#0xfffffff0087c6bc8
0xfffffff0087c6b94: 86b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6b98: f50300aa  mov	x21, x0
0xfffffff0087c6b9c: e0008052  mov	w0, #7
0xfffffff0087c6ba0: 2cd30294  bl	#0xfffffff00887b850
0xfffffff0087c6ba4: 680e4139  ldrb	w8, [x19, #0x43]
0xfffffff0087c6ba8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6bac: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6bb0: e00316aa  mov	x0, x22
0xfffffff0087c6bb4: e10317aa  mov	x1, x23
0xfffffff0087c6bb8: 02008052  mov	w2, #0
0xfffffff0087c6bbc: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c6bc0: 63c41a91  add	x3, x3, #0x6b1
0xfffffff0087c6bc4: 5bb1ed97  bl	#0xfffffff008333130
0xfffffff0087c6bc8: a00f8052  mov	w0, #0x7d
0xfffffff0087c6bcc: e1008052  mov	w1, #7
0xfffffff0087c6bd0: 00d30294  bl	#0xfffffff00887b7d0
0xfffffff0087c6bd4: c0030034  cbz	w0, #0xfffffff0087c6c4c
0xfffffff0087c6bd8: a00f8052  mov	w0, #0x7d
0xfffffff0087c6bdc: 0fd30294  bl	#0xfffffff00887b818
0xfffffff0087c6be0: f80300aa  mov	x24, x0
0xfffffff0087c6be4: 72b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6be8: f50300aa  mov	x21, x0
0xfffffff0087c6bec: e0008052  mov	w0, #7
0xfffffff0087c6bf0: 18d30294  bl	#0xfffffff00887b850
0xfffffff0087c6bf4: 93021a8b  add	x19, x20, x26
0xfffffff0087c6bf8: 18010034  cbz	w24, #0xfffffff0087c6c18
0xfffffff0087c6bfc: 680a8139  ldrsb	x8, [x19, #0x42]
0xfffffff0087c6c00: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6c04: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6c08: 2052fff0  adrp	x0, #0xfffffff00720d000
0xfffffff0087c6c0c: 00583691  add	x0, x0, #0xd96
0xfffffff0087c6c10: 14c2d797  bl	#0xfffffff007db7460
0xfffffff0087c6c14: 0e000014  b	#0xfffffff0087c6c4c
0xfffffff0087c6c18: 65b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6c1c: f50300aa  mov	x21, x0
0xfffffff0087c6c20: e0008052  mov	w0, #7
0xfffffff0087c6c24: 0bd30294  bl	#0xfffffff00887b850
0xfffffff0087c6c28: 680a8139  ldrsb	x8, [x19, #0x42]
0xfffffff0087c6c2c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6c30: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6c34: e00316aa  mov	x0, x22
0xfffffff0087c6c38: e10317aa  mov	x1, x23
0xfffffff0087c6c3c: 02008052  mov	w2, #0
0xfffffff0087c6c40: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c6c44: 63b41b91  add	x3, x3, #0x6ed
0xfffffff0087c6c48: 3ab1ed97  bl	#0xfffffff008333130
0xfffffff0087c6c4c: 39070011  add	w25, w25, #1
0xfffffff0087c6c50: 5a230191  add	x26, x26, #0x48
0xfffffff0087c6c54: 5f2313f1  cmp	x26, #0x4c8
0xfffffff0087c6c58: 61c3ff54  b.ne	#0xfffffff0087c64c4
0xfffffff0087c6c5c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087c6c60: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087c6c64: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087c6c68: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087c6c6c: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0087c6c70: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0087c6c74: ff830291  add	sp, sp, #0xa0
0xfffffff0087c6c78: ff0f5fd6  retab	
0xfffffff0087c6c7c: a00f8052  mov	w0, #0x7d
0xfffffff0087c6c80: e1008052  mov	w1, #7
0xfffffff0087c6c84: d3d20294  bl	#0xfffffff00887b7d0
