; Candidate 7722
; ADRP+ADD at VM 0xfffffff00887b2d4 (fileoff 0x18772d4): page=0x1fe96e000 add_imm=0xe80

0xfffffff00887b254: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff00887b258: 611240b9  ldr	w1, [x19, #0x10]
0xfffffff00887b25c: 02008052  mov	w2, #0
0xfffffff00887b260: 53410094  bl	#0xfffffff00888b7ac
0xfffffff00887b264: 8002008b  add	x0, x20, x0
0xfffffff00887b268: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00887b26c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00887b270: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00887b274: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00887b278: ff830291  add	sp, sp, #0xa0
0xfffffff00887b27c: ff0f5fd6  retab	
0xfffffff00887b280: cbe30094  bl	#0xfffffff0088b41ac
0xfffffff00887b284: f60300aa  mov	x22, x0
0xfffffff00887b288: 80008052  mov	w0, #4
0xfffffff00887b28c: 71010094  bl	#0xfffffff00887b850
0xfffffff00887b290: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00887b294: f56305a9  stp	x21, x24, [sp, #0x50]
0xfffffff00887b298: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff00887b29c: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887b2a0: 08c13491  add	x8, x8, #0xd30
0xfffffff00887b2a4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00887b2a8: 68578052  mov	w8, #0x2bb
0xfffffff00887b2ac: 894dff90  adrp	x9, #0xfffffff00722b000
0xfffffff00887b2b0: 299d3691  add	x9, x9, #0xda7
0xfffffff00887b2b4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887b2b8: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887b2bc: 08053c91  add	x8, x8, #0xf01
0xfffffff00887b2c0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887b2c4: a80b8052  mov	w8, #0x5d
0xfffffff00887b2c8: e34efff0  adrp	x3, #0xfffffff00725a000
0xfffffff00887b2cc: 63402991  add	x3, x3, #0xa50
0xfffffff00887b2d0: f62300a9  stp	x22, x8, [sp]
0xfffffff00887b2d4: 604bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887b2d8: 00003a91  add	x0, x0, #0xe80
0xfffffff00887b2dc: 618cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887b2e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887b2e4: 02008052  mov	w2, #0
0xfffffff00887b2e8: 92dfea97  bl	#0xfffffff008333130
0xfffffff00887b2ec: 000080d2  mov	x0, #0
0xfffffff00887b2f0: deffff17  b	#0xfffffff00887b268
0xfffffff00887b2f4: 7f2303d5  pacibsp	
0xfffffff00887b2f8: ff0302d1  sub	sp, sp, #0x80
0xfffffff00887b2fc: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00887b300: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00887b304: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00887b308: fdc30191  add	x29, sp, #0x70
0xfffffff00887b30c: f30300aa  mov	x19, x0
0xfffffff00887b310: 011c00f9  str	x1, [x0, #0x38]
0xfffffff00887b314: a00b8052  mov	w0, #0x5d
0xfffffff00887b318: c1008052  mov	w1, #6
0xfffffff00887b31c: 2d010094  bl	#0xfffffff00887b7d0
0xfffffff00887b320: 60060034  cbz	w0, #0xfffffff00887b3ec
0xfffffff00887b324: a00b8052  mov	w0, #0x5d
0xfffffff00887b328: 3c010094  bl	#0xfffffff00887b818
0xfffffff00887b32c: f50300aa  mov	x21, x0
0xfffffff00887b330: 9fe30094  bl	#0xfffffff0088b41ac
0xfffffff00887b334: f40300aa  mov	x20, x0
0xfffffff00887b338: c0008052  mov	w0, #6
0xfffffff00887b33c: 45010094  bl	#0xfffffff00887b850
0xfffffff00887b340: 55020034  cbz	w21, #0xfffffff00887b388
0xfffffff00887b344: 681e40f9  ldr	x8, [x19, #0x38]
0xfffffff00887b348: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff00887b34c: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff00887b350: 085a8052  mov	w8, #0x2d0
