; Candidate 1065
; ADRP+ADD at VM 0xfffffff0081d55d4 (fileoff 0x11d15d4): page=0x1feeaf000 add_imm=0xdba

0xfffffff0081d5554: 8abdffb0  adrp	x10, #0xfffffff007986000
0xfffffff0081d5558: 4a410491  add	x10, x10, #0x110
0xfffffff0081d555c: 4a0140b2  orr	x10, x10, #1
0xfffffff0081d5560: 3f2d0071  cmp	w9, #0xb
0xfffffff0081d5564: 2b008052  mov	w11, #1
0xfffffff0081d5568: 6921c91a  lsl	w9, w11, w9
0xfffffff0081d556c: 8b938152  mov	w11, #0xc9c
0xfffffff0081d5570: 29010b0a  and	w9, w9, w11
0xfffffff0081d5574: 2499407a  ccmp	w9, #0, #4, ls
0xfffffff0081d5578: c9bcffd0  adrp	x9, #0xfffffff00796f000
0xfffffff0081d557c: 29211a91  add	x9, x9, #0x688
0xfffffff0081d5580: 4011899a  csel	x0, x10, x9, ne
0xfffffff0081d5584: 02ed7cd3  lsl	x2, x8, #4
0xfffffff0081d5588: 3945ef97  bl	#0xfffffff007da6a6c
0xfffffff0081d558c: 20bdffb0  adrp	x0, #0xfffffff00797a000
0xfffffff0081d5590: 00c03b91  add	x0, x0, #0xef0
0xfffffff0081d5594: e10313aa  mov	x1, x19
0xfffffff0081d5598: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0081d559c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0081d55a0: ff030191  add	sp, sp, #0x40
0xfffffff0081d55a4: ff2303d5  autibsp	
0xfffffff0081d55a8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0081d55ac: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0081d55b4
0xfffffff0081d55b0: 208e38d4  brk	#0xc471
0xfffffff0081d55b4: 96d1f017  b	#0xfffffff007e09c0c
0xfffffff0081d55b8: 487a8052  mov	w8, #0x3d2
0xfffffff0081d55bc: 6975fff0  adrp	x9, #0xfffffff007084000
0xfffffff0081d55c0: 29653491  add	x9, x9, #0xd19
0xfffffff0081d55c4: 6a75fff0  adrp	x10, #0xfffffff007084000
0xfffffff0081d55c8: 4a593791  add	x10, x10, #0xdd6
0xfffffff0081d55cc: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0081d55d0: ea0300f9  str	x10, [sp]
0xfffffff0081d55d4: 6075fff0  adrp	x0, #0xfffffff007084000
0xfffffff0081d55d8: 00e83691  add	x0, x0, #0xdba
0xfffffff0081d55dc: ccfb0a94  bl	#0xfffffff00849450c
0xfffffff0081d55e0: 7f2303d5  pacibsp	
0xfffffff0081d55e4: ffc300d1  sub	sp, sp, #0x30
0xfffffff0081d55e8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0081d55ec: fd830091  add	x29, sp, #0x20
0xfffffff0081d55f0: c00600b4  cbz	x0, #0xfffffff0081d56c8
0xfffffff0081d55f4: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff0081d55f8: 490008ab  adds	x9, x2, x8
0xfffffff0081d55fc: 62060054  b.hs	#0xfffffff0081d56c8
0xfffffff0081d5600: 082040b9  ldr	w8, [x0, #0x20]
0xfffffff0081d5604: 1f2d0071  cmp	w8, #0xb
0xfffffff0081d5608: e80a0054  b.hi	#0xfffffff0081d5764
0xfffffff0081d560c: 2a008052  mov	w10, #1
0xfffffff0081d5610: 4821c81a  lsl	w8, w10, w8
0xfffffff0081d5614: 6afd8052  mov	w10, #0x7eb
0xfffffff0081d5618: 1f010a6a  tst	w8, w10
0xfffffff0081d561c: 20030054  b.eq	#0xfffffff0081d5680
0xfffffff0081d5620: 100040f9  ldr	x16, [x0]
0xfffffff0081d5624: 300100b4  cbz	x16, #0xfffffff0081d5648
0xfffffff0081d5628: f10300aa  mov	x17, x0
0xfffffff0081d562c: b141f6f2  movk	x17, #0xb20d, lsl #48
0xfffffff0081d5630: 301ac1da  autda	x16, x17
0xfffffff0081d5634: f10310aa  mov	x17, x16
0xfffffff0081d5638: f147c1da  xpacd	x17
0xfffffff0081d563c: 1f0211eb  cmp	x16, x17
0xfffffff0081d5640: 40000054  b.eq	#0xfffffff0081d5648
0xfffffff0081d5644: 408e38d4  brk	#0xc472
0xfffffff0081d5648: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff0081d564c: 1f050071  cmp	w8, #1
0xfffffff0081d5650: cb030054  b.lt	#0xfffffff0081d56c8
