; Candidate 13596
; ADRP+ADD at VM 0xfffffff0093ad994 (fileoff 0x23a9994): page=0x1fe155000 add_imm=0xd20

0xfffffff0093ad914: b5622b91  add	x21, x21, #0xad8
0xfffffff0093ad918: e00315aa  mov	x0, x21
0xfffffff0093ad91c: 0fdcbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad920: 700240f9  ldr	x16, [x19]
0xfffffff0093ad924: f10313aa  mov	x17, x19
0xfffffff0093ad928: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad92c: 301ac1da  autda	x16, x17
0xfffffff0093ad930: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ad934: e90310aa  mov	x9, x16
0xfffffff0093ad938: e00313aa  mov	x0, x19
0xfffffff0093ad93c: f10309aa  mov	x17, x9
0xfffffff0093ad940: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ad944: 11093fd7  blraa	x8, x17
0xfffffff0093ad948: 04dcbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad94c: e00315aa  mov	x0, x21
0xfffffff0093ad950: 02dcbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad954: f50300aa  mov	x21, x0
0xfffffff0093ad958: 700240f9  ldr	x16, [x19]
0xfffffff0093ad95c: f10313aa  mov	x17, x19
0xfffffff0093ad960: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad964: 301ac1da  autda	x16, x17
0xfffffff0093ad968: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ad96c: e90310aa  mov	x9, x16
0xfffffff0093ad970: e00313aa  mov	x0, x19
0xfffffff0093ad974: f10309aa  mov	x17, x9
0xfffffff0093ad978: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ad97c: 11093fd7  blraa	x8, x17
0xfffffff0093ad980: f6dbbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad984: b60affd0  adrp	x22, #0xfffffff007503000
0xfffffff0093ad988: d67a2291  add	x22, x22, #0x89e
0xfffffff0093ad98c: f68300a9  stp	x22, x0, [sp, #8]
0xfffffff0093ad990: f50300f9  str	x21, [sp]
0xfffffff0093ad994: a00affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093ad998: 00803491  add	x0, x0, #0xd20
0xfffffff0093ad99c: e140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ad9a0: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ad9a4: a30afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093ad9a8: 63cc1991  add	x3, x3, #0x673
0xfffffff0093ad9ac: 02008052  mov	w2, #0
0xfffffff0093ad9b0: e015be97  bl	#0xfffffff008333130
0xfffffff0093ad9b4: e840ffb0  adrp	x8, #0xfffffff007bca000
0xfffffff0093ad9b8: 086d43f9  ldr	x8, [x8, #0x6d8]
0xfffffff0093ad9bc: 09210b91  add	x9, x8, #0x2c8
0xfffffff0093ad9c0: 086541f9  ldr	x8, [x8, #0x2c8]
0xfffffff0093ad9c4: e00313aa  mov	x0, x19
0xfffffff0093ad9c8: e10314aa  mov	x1, x20
0xfffffff0093ad9cc: f10309aa  mov	x17, x9
0xfffffff0093ad9d0: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff0093ad9d4: 11093fd7  blraa	x8, x17
0xfffffff0093ad9d8: 601a47f9  ldr	x0, [x19, #0xe30]
0xfffffff0093ad9dc: c00300b4  cbz	x0, #0xfffffff0093ada54
0xfffffff0093ad9e0: 100040f9  ldr	x16, [x0]
0xfffffff0093ad9e4: f10300aa  mov	x17, x0
0xfffffff0093ad9e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad9ec: 301ac1da  autda	x16, x17
0xfffffff0093ad9f0: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0093ad9f4: e90310aa  mov	x9, x16
0xfffffff0093ad9f8: f10309aa  mov	x17, x9
0xfffffff0093ad9fc: 3153f3f2  movk	x17, #0x9a99, lsl #48
0xfffffff0093ada00: 11093fd7  blraa	x8, x17
0xfffffff0093ada04: 601a47f9  ldr	x0, [x19, #0xe30]
0xfffffff0093ada08: 100040f9  ldr	x16, [x0]
0xfffffff0093ada0c: f10300aa  mov	x17, x0
0xfffffff0093ada10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
