; Candidate 9752
; ADRP+ADD at VM 0xfffffff008b048b4 (fileoff 0x1b008b4): page=0x1fe7ea000 add_imm=0xd10

0xfffffff008b04834: 004c3391  add	x0, x0, #0xcd3
0xfffffff008b04838: 0acbca97  bl	#0xfffffff007db7460
0xfffffff008b0483c: 0a000014  b	#0xfffffff008b04864
0xfffffff008b04840: f30300f9  str	x19, [sp]
0xfffffff008b04844: 003effb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b04848: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b0484c: c17bffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b04850: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b04854: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b04858: 63f03691  add	x3, x3, #0xdbc
0xfffffff008b0485c: 02008052  mov	w2, #0
0xfffffff008b04860: 34bae097  bl	#0xfffffff008333130
0xfffffff008b04864: f52b40f9  ldr	x21, [sp, #0x50]
0xfffffff008b04868: 15e81736  tbz	w21, #2, #0xfffffff008b04568
0xfffffff008b0486c: 805649f9  ldr	x0, [x20, #0x12a8]
0xfffffff008b04870: 100040f9  ldr	x16, [x0]
0xfffffff008b04874: f10300aa  mov	x17, x0
0xfffffff008b04878: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b0487c: 301ac1da  autda	x16, x17
0xfffffff008b04880: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008b04884: e90310aa  mov	x9, x16
0xfffffff008b04888: f10309aa  mov	x17, x9
0xfffffff008b0488c: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff008b04890: 11093fd7  blraa	x8, x17
0xfffffff008b04894: f50300aa  mov	x21, x0
0xfffffff008b04898: a8435ab8  ldur	w8, [x29, #-0x5c]
0xfffffff008b0489c: 48010036  tbz	w8, #0, #0xfffffff008b048c4
0xfffffff008b048a0: 403fffd0  adrp	x0, #0xfffffff0072ee000
0xfffffff008b048a4: 003c3091  add	x0, x0, #0xc0f
0xfffffff008b048a8: eecaca97  bl	#0xfffffff007db7460
0xfffffff008b048ac: e80315aa  mov	x8, x21
0xfffffff008b048b0: e80300f9  str	x8, [sp]
0xfffffff008b048b4: 403fffd0  adrp	x0, #0xfffffff0072ee000
0xfffffff008b048b8: 00403491  add	x0, x0, #0xd10
0xfffffff008b048bc: e9caca97  bl	#0xfffffff007db7460
0xfffffff008b048c0: 12000014  b	#0xfffffff008b04908
0xfffffff008b048c4: 163effb0  adrp	x22, #0xfffffff0072c5000
0xfffffff008b048c8: d6422f91  add	x22, x22, #0xbd0
0xfffffff008b048cc: d77bffd0  adrp	x23, #0xfffffff007a7e000
0xfffffff008b048d0: f71246f9  ldr	x23, [x23, #0xc20]
0xfffffff008b048d4: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b048d8: 63e43791  add	x3, x3, #0xdf9
0xfffffff008b048dc: e00316aa  mov	x0, x22
0xfffffff008b048e0: e10317aa  mov	x1, x23
0xfffffff008b048e4: 02008052  mov	w2, #0
0xfffffff008b048e8: 12bae097  bl	#0xfffffff008333130
0xfffffff008b048ec: f50300f9  str	x21, [sp]
0xfffffff008b048f0: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b048f4: 63ec3791  add	x3, x3, #0xdfb
0xfffffff008b048f8: e00316aa  mov	x0, x22
0xfffffff008b048fc: e10317aa  mov	x1, x23
0xfffffff008b04900: 02008052  mov	w2, #0
0xfffffff008b04904: 0bbae097  bl	#0xfffffff008333130
0xfffffff008b04908: 13008052  mov	w19, #0
0xfffffff008b0490c: 350e0034  cbz	w21, #0xfffffff008b04ad0
0xfffffff008b04910: 16008052  mov	w22, #0
0xfffffff008b04914: fbbe00b0  adrp	x27, #0xfffffff00a2e1000
0xfffffff008b04918: 7be33391  add	x27, x27, #0xcf8
0xfffffff008b0491c: f72f40f9  ldr	x23, [sp, #0x58]
0xfffffff008b04920: e05649f9  ldr	x0, [x23, #0x12a8]
0xfffffff008b04924: 100040f9  ldr	x16, [x0]
0xfffffff008b04928: f10300aa  mov	x17, x0
0xfffffff008b0492c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b04930: 301ac1da  autda	x16, x17
