; Candidate 13964
; ADRP+ADD at VM 0xfffffff00965d81c (fileoff 0x265981c): page=0x1fdf10000 add_imm=0xe93

0xfffffff00965d79c: 200100b4  cbz	x0, #0xfffffff00965d7c0
0xfffffff00965d7a0: 09a10791  add	x9, x8, #0x1e8
0xfffffff00965d7a4: 08f540f9  ldr	x8, [x8, #0x1e8]
0xfffffff00965d7a8: e00313aa  mov	x0, x19
0xfffffff00965d7ac: 010080d2  mov	x1, #0
0xfffffff00965d7b0: f10309aa  mov	x17, x9
0xfffffff00965d7b4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00965d7b8: 11093fd7  blraa	x8, x17
0xfffffff00965d7bc: 07000014  b	#0xfffffff00965d7d8
0xfffffff00965d7c0: 098d43f8  ldr	x9, [x8, #0x38]!
0xfffffff00965d7c4: e00313aa  mov	x0, x19
0xfffffff00965d7c8: f10308aa  mov	x17, x8
0xfffffff00965d7cc: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff00965d7d0: 31093fd7  blraa	x9, x17
0xfffffff00965d7d4: 611cb297  bl	#0xfffffff0082e4958
0xfffffff00965d7d8: f80300aa  mov	x24, x0
0xfffffff00965d7dc: 74caff97  bl	#0xfffffff0096501ac
0xfffffff00965d7e0: 686900b0  adrp	x8, #0xfffffff00a38a000
0xfffffff00965d7e4: 08a10291  add	x8, x8, #0xa8
0xfffffff00965d7e8: 190140f9  ldr	x25, [x8]
0xfffffff00965d7ec: 70caff97  bl	#0xfffffff0096501ac
0xfffffff00965d7f0: f75b01a9  stp	x23, x22, [sp, #0x10]
0xfffffff00965d7f4: e06300a9  stp	x0, x24, [sp]
0xfffffff00965d7f8: 40f8fef0  adrp	x0, #0xfffffff007568000
0xfffffff00965d7fc: 00800e91  add	x0, x0, #0x3a0
0xfffffff00965d800: c3f8fef0  adrp	x3, #0xfffffff007578000
0xfffffff00965d804: 63582791  add	x3, x3, #0x9d6
0xfffffff00965d808: e10319aa  mov	x1, x25
0xfffffff00965d80c: 02008052  mov	w2, #0
0xfffffff00965d810: 4856b397  bl	#0xfffffff008333130
0xfffffff00965d814: 880a4039  ldrb	w8, [x20, #2]
0xfffffff00965d818: 68030036  tbz	w8, #0, #0xfffffff00965d884
0xfffffff00965d81c: 80f8fe90  adrp	x0, #0xfffffff00756d000
0xfffffff00965d820: 004c3a91  add	x0, x0, #0xe93
0xfffffff00965d824: db2eb397  bl	#0xfffffff008329390
0xfffffff00965d828: e00200b4  cbz	x0, #0xfffffff00965d884
0xfffffff00965d82c: f60300aa  mov	x22, x0
0xfffffff00965d830: 60fe41f9  ldr	x0, [x19, #0x3f8]
0xfffffff00965d834: 100040f9  ldr	x16, [x0]
0xfffffff00965d838: f10300aa  mov	x17, x0
0xfffffff00965d83c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00965d840: 301ac1da  autda	x16, x17
0xfffffff00965d844: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff00965d848: e90310aa  mov	x9, x16
0xfffffff00965d84c: e10316aa  mov	x1, x22
0xfffffff00965d850: f10309aa  mov	x17, x9
0xfffffff00965d854: f18ceaf2  movk	x17, #0x5467, lsl #48
0xfffffff00965d858: 11093fd7  blraa	x8, x17
0xfffffff00965d85c: d00240f9  ldr	x16, [x22]
0xfffffff00965d860: f10316aa  mov	x17, x22
0xfffffff00965d864: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00965d868: 301ac1da  autda	x16, x17
0xfffffff00965d86c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00965d870: e90310aa  mov	x9, x16
0xfffffff00965d874: e00316aa  mov	x0, x22
0xfffffff00965d878: f10309aa  mov	x17, x9
0xfffffff00965d87c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00965d880: 11093fd7  blraa	x8, x17
0xfffffff00965d884: 60ce41f9  ldr	x0, [x19, #0x398]
0xfffffff00965d888: 880a4039  ldrb	w8, [x20, #2]
0xfffffff00965d88c: 02010012  and	w2, w8, #1
0xfffffff00965d890: 81f8feb0  adrp	x1, #0xfffffff00756e000
0xfffffff00965d894: 21b43f91  add	x1, x1, #0xfed
0xfffffff00965d898: 3dd3ff97  bl	#0xfffffff00965258c
