; Candidate 5276
; ADRP+ADD at VM 0xfffffff0087e4040 (fileoff 0x17e0040): page=0x1fea05000 add_imm=0xe80

0xfffffff0087e3fc0: f9080034  cbz	w25, #0xfffffff0087e40dc
0xfffffff0087e3fc4: e80317aa  mov	x8, x23
0xfffffff0087e3fc8: 692a40b9  ldr	w9, [x19, #0x28]
0xfffffff0087e3fcc: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e3fd0: 48008052  mov	w8, #2
0xfffffff0087e3fd4: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e3fd8: f31b00f9  str	x19, [sp, #0x30]
0xfffffff0087e3fdc: 6851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087e3fe0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e3fe4: 097a8052  mov	w9, #0x3d0
0xfffffff0087e3fe8: b1000014  b	#0xfffffff0087e42ac
0xfffffff0087e3fec: 70400394  bl	#0xfffffff0088b41ac
0xfffffff0087e3ff0: f80300aa  mov	x24, x0
0xfffffff0087e3ff4: 80008052  mov	w0, #4
0xfffffff0087e3ff8: 165e0294  bl	#0xfffffff00887b850
0xfffffff0087e3ffc: e80317aa  mov	x8, x23
0xfffffff0087e4000: 692640b9  ldr	w9, [x19, #0x24]
0xfffffff0087e4004: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e4008: 28008052  mov	w8, #1
0xfffffff0087e400c: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e4010: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e4014: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e4018: 29798052  mov	w9, #0x3c9
0xfffffff0087e401c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e4020: 6851fff0  adrp	x8, #0xfffffff007213000
0xfffffff0087e4024: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e4028: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e402c: 680e8052  mov	w8, #0x73
0xfffffff0087e4030: c352ffb0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e4034: 63b43391  add	x3, x3, #0xced
0xfffffff0087e4038: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e403c: f80300f9  str	x24, [sp]
0xfffffff0087e4040: 2050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e4044: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e4048: 2191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087e404c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e4050: 02008052  mov	w2, #0
0xfffffff0087e4054: 373ced97  bl	#0xfffffff008333130
0xfffffff0087e4058: 9e000014  b	#0xfffffff0087e42d0
0xfffffff0087e405c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087e4060: 2991ffb0  adrp	x9, #0xfffffff007a09000
0xfffffff0087e4064: 29410d91  add	x9, x9, #0x350
0xfffffff0087e4068: 217968f8  ldr	x1, [x9, x8, lsl #3]
0xfffffff0087e406c: 6051fff0  adrp	x0, #0xfffffff007213000
0xfffffff0087e4070: 00602291  add	x0, x0, #0x898
0xfffffff0087e4074: e20316aa  mov	x2, x22
0xfffffff0087e4078: cb060094  bl	#0xfffffff0087e5ba4
0xfffffff0087e407c: 80060034  cbz	w0, #0xfffffff0087e414c
0xfffffff0087e4080: f70300aa  mov	x23, x0
0xfffffff0087e4084: 600e8052  mov	w0, #0x73
0xfffffff0087e4088: 81008052  mov	w1, #4
0xfffffff0087e408c: d15d0294  bl	#0xfffffff00887b7d0
0xfffffff0087e4090: 00120034  cbz	w0, #0xfffffff0087e42d0
0xfffffff0087e4094: 600e8052  mov	w0, #0x73
0xfffffff0087e4098: e05d0294  bl	#0xfffffff00887b818
0xfffffff0087e409c: f90300aa  mov	x25, x0
0xfffffff0087e40a0: 43400394  bl	#0xfffffff0088b41ac
0xfffffff0087e40a4: f80300aa  mov	x24, x0
0xfffffff0087e40a8: 80008052  mov	w0, #4
0xfffffff0087e40ac: e95d0294  bl	#0xfffffff00887b850
0xfffffff0087e40b0: f9080034  cbz	w25, #0xfffffff0087e41cc
0xfffffff0087e40b4: e80317aa  mov	x8, x23
0xfffffff0087e40b8: 692e40b9  ldr	w9, [x19, #0x2c]
0xfffffff0087e40bc: e9a304a9  stp	x9, x8, [sp, #0x48]
