; Candidate 4766
; ADRP+ADD at VM 0xfffffff0087c4da0 (fileoff 0x17c0da0): page=0x1fe96d000 add_imm=0xd90

0xfffffff0087c4d20: 21140e91  add	x1, x1, #0x385
0xfffffff0087c4d24: e00314aa  mov	x0, x20
0xfffffff0087c4d28: 22008052  mov	w2, #1
0xfffffff0087c4d2c: 65d9ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c4d30: 606a00b9  str	w0, [x19, #0x68]
0xfffffff0087c4d34: 1f000071  cmp	w0, #0
0xfffffff0087c4d38: e8179f1a  cset	w8, eq
0xfffffff0087c4d3c: 07000014  b	#0xfffffff0087c4d58
0xfffffff0087c4d40: 084dfff0  adrp	x8, #0xfffffff007167000
0xfffffff0087c4d44: 003547fd  ldr	d0, [x8, #0xe68]
0xfffffff0087c4d48: 604206fc  stur	d0, [x19, #0x64]
0xfffffff0087c4d4c: 02000014  b	#0xfffffff0087c4d54
0xfffffff0087c4d50: 7f6a00b9  str	wzr, [x19, #0x68]
0xfffffff0087c4d54: 28008052  mov	w8, #1
0xfffffff0087c4d58: 6a5e40b9  ldr	w10, [x19, #0x5c]
0xfffffff0087c4d5c: 696640b9  ldr	w9, [x19, #0x64]
0xfffffff0087c4d60: 3f010071  cmp	w9, #0
0xfffffff0087c4d64: e9179f1a  cset	w9, eq
0xfffffff0087c4d68: ea020034  cbz	w10, #0xfffffff0087c4dc4
0xfffffff0087c4d6c: 2801082a  orr	w8, w9, w8
0xfffffff0087c4d70: e8020037  tbnz	w8, #0, #0xfffffff0087c4dcc
0xfffffff0087c4d74: c14cfff0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c4d78: 21d01c91  add	x1, x1, #0x734
0xfffffff0087c4d7c: e00314aa  mov	x0, x20
0xfffffff0087c4d80: 42008052  mov	w2, #2
0xfffffff0087c4d84: 4fd9ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c4d88: 606e00b9  str	w0, [x19, #0x6c]
0xfffffff0087c4d8c: 1f0c0071  cmp	w0, #3
0xfffffff0087c4d90: e3010054  b.lo	#0xfffffff0087c4dcc
0xfffffff0087c4d94: 684cff90  adrp	x8, #0xfffffff007150000
0xfffffff0087c4d98: 08850e91  add	x8, x8, #0x3a1
0xfffffff0087c4d9c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c4da0: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4da4: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4da8: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4dac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4db0: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c4db4: 630c2291  add	x3, x3, #0x883
0xfffffff0087c4db8: 02008052  mov	w2, #0
0xfffffff0087c4dbc: ddb8ed97  bl	#0xfffffff008333130
0xfffffff0087c4dc0: 09000014  b	#0xfffffff0087c4de4
0xfffffff0087c4dc4: 2801080a  and	w8, w9, w8
0xfffffff0087c4dc8: 88010036  tbz	w8, #0, #0xfffffff0087c4df8
0xfffffff0087c4dcc: c14cfff0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c4dd0: 212c1d91  add	x1, x1, #0x74b
0xfffffff0087c4dd4: e00314aa  mov	x0, x20
0xfffffff0087c4dd8: 22008052  mov	w2, #1
0xfffffff0087c4ddc: 39d9ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c4de0: 60c20139  strb	w0, [x19, #0x70]
0xfffffff0087c4de4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087c4de8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087c4dec: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087c4df0: ff030191  add	sp, sp, #0x40
0xfffffff0087c4df4: ff0f5fd6  retab	
0xfffffff0087c4df8: c8948752  mov	w8, #0x3ca6
0xfffffff0087c4dfc: 886a6838  ldrb	w8, [x20, x8]
0xfffffff0087c4e00: 28ff0736  tbz	w8, #0, #0xfffffff0087c4de4
0xfffffff0087c4e04: 684cff90  adrp	x8, #0xfffffff007150000
0xfffffff0087c4e08: 08850e91  add	x8, x8, #0x3a1
0xfffffff0087c4e0c: e80300f9  str	x8, [sp]
0xfffffff0087c4e10: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4e14: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4e18: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4e1c: 21dc41f9  ldr	x1, [x1, #0x3b8]
