; Candidate 10641
; ADRP+ADD at VM 0xfffffff008de1620 (fileoff 0x1ddd620): page=0x1fe5e3000 add_imm=0xe15

0xfffffff008de15a0: 880200f9  str	x8, [x20]
0xfffffff008de15a4: a82640b9  ldr	w8, [x21, #0x24]
0xfffffff008de15a8: dbffff17  b	#0xfffffff008de1514
0xfffffff008de15ac: 28758052  mov	w8, #0x3a9
0xfffffff008de15b0: 092fff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de15b4: 29490d91  add	x9, x9, #0x352
0xfffffff008de15b8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de15bc: 082ffff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de15c0: 08493991  add	x8, x8, #0xe52
0xfffffff008de15c4: 0a2fff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de15c8: 4ab12391  add	x10, x10, #0x8ec
0xfffffff008de15cc: 13000014  b	#0xfffffff008de1618
0xfffffff008de15d0: 1f250071  cmp	w8, #9
0xfffffff008de15d4: 40030054  b.eq	#0xfffffff008de163c
0xfffffff008de15d8: 1f490071  cmp	w8, #0x12
0xfffffff008de15dc: 00deff54  b.eq	#0xfffffff008de119c
0xfffffff008de15e0: 28588052  mov	w8, #0x2c1
0xfffffff008de15e4: f3ffff17  b	#0xfffffff008de15b0
0xfffffff008de15e8: 960200f9  str	x22, [x20]
0xfffffff008de15ec: a82240b9  ldr	w8, [x21, #0x20]
0xfffffff008de15f0: 00008052  mov	w0, #0
0xfffffff008de15f4: c8ffff17  b	#0xfffffff008de1514
0xfffffff008de15f8: 886c8052  mov	w8, #0x364
0xfffffff008de15fc: 092fff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de1600: 29490d91  add	x9, x9, #0x352
0xfffffff008de1604: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de1608: 082ffff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de160c: 08493991  add	x8, x8, #0xe52
0xfffffff008de1610: 0a2fff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de1614: 4a892d91  add	x10, x10, #0xb62
0xfffffff008de1618: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de161c: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de1620: 002ffff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de1624: 00543891  add	x0, x0, #0xe15
0xfffffff008de1628: 7ed6d597  bl	#0xfffffff008357020
0xfffffff008de162c: 40008012  mov	w0, #-3
0xfffffff008de1630: baffff17  b	#0xfffffff008de1518
0xfffffff008de1634: a0b20091  add	x0, x21, #0x2c
0xfffffff008de1638: 97ffff17  b	#0xfffffff008de1494
0xfffffff008de163c: a0a20091  add	x0, x21, #0x28
0xfffffff008de1640: 95ffff17  b	#0xfffffff008de1494
0xfffffff008de1644: c85b8052  mov	w8, #0x2de
0xfffffff008de1648: daffff17  b	#0xfffffff008de15b0
0xfffffff008de164c: 88528052  mov	w8, #0x294
0xfffffff008de1650: 092fff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de1654: 29490d91  add	x9, x9, #0x352
0xfffffff008de1658: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de165c: 082ffff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de1660: 08493991  add	x8, x8, #0xe52
0xfffffff008de1664: 0a2ffff0  adrp	x10, #0xfffffff0073c4000
0xfffffff008de1668: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008de166c: ebffff17  b	#0xfffffff008de1618
0xfffffff008de1670: a8528052  mov	w8, #0x295
0xfffffff008de1674: 092fff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de1678: 29490d91  add	x9, x9, #0x352
0xfffffff008de167c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de1680: 082ffff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de1684: 08493991  add	x8, x8, #0xe52
0xfffffff008de1688: 0a2fff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de168c: 4ac53591  add	x10, x10, #0xd71
0xfffffff008de1690: e2ffff17  b	#0xfffffff008de1618
0xfffffff008de1694: c8528052  mov	w8, #0x296
0xfffffff008de1698: 092fff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de169c: 29490d91  add	x9, x9, #0x352
