; Candidate 9257
; ADRP+ADD at VM 0xfffffff008a17630 (fileoff 0x1a13630): page=0x1fe882000 add_imm=0xe40

0xfffffff008a175b0: 40000054  b.eq	#0xfffffff008a175b8
0xfffffff008a175b4: 408e38d4  brk	#0xc472
0xfffffff008a175b8: 08022a91  add	x8, x16, #0xa80
0xfffffff008a175bc: 094245f9  ldr	x9, [x16, #0xa80]
0xfffffff008a175c0: e00313aa  mov	x0, x19
0xfffffff008a175c4: f10308aa  mov	x17, x8
0xfffffff008a175c8: f130e9f2  movk	x17, #0x4987, lsl #48
0xfffffff008a175cc: 31093fd7  blraa	x9, x17
0xfffffff008a175d0: f50300aa  mov	x21, x0
0xfffffff008a175d4: 700240f9  ldr	x16, [x19]
0xfffffff008a175d8: f10313aa  mov	x17, x19
0xfffffff008a175dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a175e0: 301ac1da  autda	x16, x17
0xfffffff008a175e4: f10310aa  mov	x17, x16
0xfffffff008a175e8: f147c1da  xpacd	x17
0xfffffff008a175ec: 1f0211eb  cmp	x16, x17
0xfffffff008a175f0: 40000054  b.eq	#0xfffffff008a175f8
0xfffffff008a175f4: 408e38d4  brk	#0xc472
0xfffffff008a175f8: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a175fc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a17600: e00313aa  mov	x0, x19
0xfffffff008a17604: 010080d2  mov	x1, #0
0xfffffff008a17608: f10308aa  mov	x17, x8
0xfffffff008a1760c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a17610: 31093fd7  blraa	x9, x17
0xfffffff008a17614: 880240b9  ldr	w8, [x20]
0xfffffff008a17618: f6af0091  add	x22, sp, #0x2b
0xfffffff008a1761c: e8db01a9  stp	x8, x22, [sp, #0x18]
0xfffffff008a17620: 3744ffb0  adrp	x23, #0xfffffff00729c000
0xfffffff008a17624: f7620191  add	x23, x23, #0x58
0xfffffff008a17628: e0df00a9  stp	x0, x23, [sp, #8]
0xfffffff008a1762c: f50300f9  str	x21, [sp]
0xfffffff008a17630: 0044ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a17634: 00003991  add	x0, x0, #0xe40
0xfffffff008a17638: a181ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a1763c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a17640: 4344ff90  adrp	x3, #0xfffffff00729f000
0xfffffff008a17644: 63542891  add	x3, x3, #0xa15
0xfffffff008a17648: 02028052  mov	w2, #0x10
0xfffffff008a1764c: b96ee497  bl	#0xfffffff008333130
0xfffffff008a17650: 700240f9  ldr	x16, [x19]
0xfffffff008a17654: f10313aa  mov	x17, x19
0xfffffff008a17658: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1765c: 301ac1da  autda	x16, x17
0xfffffff008a17660: f10310aa  mov	x17, x16
0xfffffff008a17664: f147c1da  xpacd	x17
0xfffffff008a17668: 1f0211eb  cmp	x16, x17
0xfffffff008a1766c: 40000054  b.eq	#0xfffffff008a17674
0xfffffff008a17670: 408e38d4  brk	#0xc472
0xfffffff008a17674: 08022a91  add	x8, x16, #0xa80
0xfffffff008a17678: 094245f9  ldr	x9, [x16, #0xa80]
0xfffffff008a1767c: e00313aa  mov	x0, x19
0xfffffff008a17680: f10308aa  mov	x17, x8
0xfffffff008a17684: f130e9f2  movk	x17, #0x4987, lsl #48
0xfffffff008a17688: 31093fd7  blraa	x9, x17
0xfffffff008a1768c: f50300aa  mov	x21, x0
0xfffffff008a17690: 700240f9  ldr	x16, [x19]
0xfffffff008a17694: f10313aa  mov	x17, x19
0xfffffff008a17698: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1769c: 301ac1da  autda	x16, x17
0xfffffff008a176a0: f10310aa  mov	x17, x16
0xfffffff008a176a4: f147c1da  xpacd	x17
0xfffffff008a176a8: 1f0211eb  cmp	x16, x17
0xfffffff008a176ac: 40000054  b.eq	#0xfffffff008a176b4
