; Candidate 3140
; ADRP+ADD at VM 0xfffffff0087165f4 (fileoff 0x17125f4): page=0x1fea1b000 add_imm=0xd90

0xfffffff008716574: 08111791  add	x8, x8, #0x5c4
0xfffffff008716578: e80300f9  str	x8, [sp]
0xfffffff00871657c: c050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008716580: 00403691  add	x0, x0, #0xd90
0xfffffff008716584: 2197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008716588: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871658c: 0351ffd0  adrp	x3, #0xfffffff007138000
0xfffffff008716590: 63b41691  add	x3, x3, #0x5ad
0xfffffff008716594: 02008052  mov	w2, #0
0xfffffff008716598: e672f097  bl	#0xfffffff008333130
0xfffffff00871659c: 5f010014  b	#0xfffffff008716b18
0xfffffff0087165a0: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087165a4: 17fd7fd3  lsr	x23, x8, #0x3f
0xfffffff0087165a8: e00313aa  mov	x0, x19
0xfffffff0087165ac: 21008052  mov	w1, #1
0xfffffff0087165b0: 02008052  mov	w2, #0
0xfffffff0087165b4: ccf8ff97  bl	#0xfffffff0087148e4
0xfffffff0087165b8: 884b8052  mov	w8, #0x25c
0xfffffff0087165bc: b852089b  madd	x24, x21, x8, x20
0xfffffff0087165c0: 175f0139  strb	w23, [x24, #0x57]
0xfffffff0087165c4: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087165c8: 17fd7ed3  lsr	x23, x8, #0x3e
0xfffffff0087165cc: e00313aa  mov	x0, x19
0xfffffff0087165d0: 41008052  mov	w1, #2
0xfffffff0087165d4: 02008052  mov	w2, #0
0xfffffff0087165d8: c3f8ff97  bl	#0xfffffff0087148e4
0xfffffff0087165dc: 17630139  strb	w23, [x24, #0x58]
0xfffffff0087165e0: ff0e00f1  cmp	x23, #3
0xfffffff0087165e4: a1010054  b.ne	#0xfffffff008716618
0xfffffff0087165e8: e851fff0  adrp	x8, #0xfffffff007155000
0xfffffff0087165ec: 08b91791  add	x8, x8, #0x5ee
0xfffffff0087165f0: e80300f9  str	x8, [sp]
0xfffffff0087165f4: c050fff0  adrp	x0, #0xfffffff007131000
0xfffffff0087165f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087165fc: 2197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008716600: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008716604: 0351ffd0  adrp	x3, #0xfffffff007138000
0xfffffff008716608: 630c1791  add	x3, x3, #0x5c3
0xfffffff00871660c: 02008052  mov	w2, #0
0xfffffff008716610: c872f097  bl	#0xfffffff008333130
0xfffffff008716614: 41010014  b	#0xfffffff008716b18
0xfffffff008716618: e00313aa  mov	x0, x19
0xfffffff00871661c: 13faff97  bl	#0xfffffff008714e68
0xfffffff008716620: 884b8052  mov	w8, #0x25c
0xfffffff008716624: b752089b  madd	x23, x21, x8, x20
0xfffffff008716628: e0660139  strb	w0, [x23, #0x59]
0xfffffff00871662c: e00313aa  mov	x0, x19
0xfffffff008716630: 0efaff97  bl	#0xfffffff008714e68
0xfffffff008716634: e06a0139  strb	w0, [x23, #0x5a]
0xfffffff008716638: 0820a312  mov	w8, #-0x19000001
0xfffffff00871663c: 0861000b  add	w8, w8, w0, lsl #24
0xfffffff008716640: c9ff9f52  mov	w9, #0xfffe
0xfffffff008716644: e99fb972  movk	w9, #0xccff, lsl #16
0xfffffff008716648: 1f01096b  cmp	w8, w9
0xfffffff00871664c: e8060054  b.hi	#0xfffffff008716728
0xfffffff008716650: e851fff0  adrp	x8, #0xfffffff007155000
0xfffffff008716654: 081d1891  add	x8, x8, #0x607
0xfffffff008716658: e80300f9  str	x8, [sp]
0xfffffff00871665c: c050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008716660: 00403691  add	x0, x0, #0xd90
0xfffffff008716664: 2197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008716668: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871666c: 0351ffd0  adrp	x3, #0xfffffff007138000
0xfffffff008716670: 63641791  add	x3, x3, #0x5d9
