; Candidate 12106
; ADRP+ADD at VM 0xfffffff008ffde00 (fileoff 0x1ff9e00): page=0x1fe43f000 add_imm=0xcf1

0xfffffff008ffdd80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ffdd84: 301ac1da  autda	x16, x17
0xfffffff008ffdd88: 11d580d2  mov	x17, #0x6a8
0xfffffff008ffdd8c: 1002118b  add	x16, x16, x17
0xfffffff008ffdd90: 080240f9  ldr	x8, [x16]
0xfffffff008ffdd94: e90310aa  mov	x9, x16
0xfffffff008ffdd98: e00314aa  mov	x0, x20
0xfffffff008ffdd9c: 21008052  mov	w1, #1
0xfffffff008ffdda0: f10309aa  mov	x17, x9
0xfffffff008ffdda4: 917fe6f2  movk	x17, #0x33fc, lsl #48
0xfffffff008ffdda8: 11093fd7  blraa	x8, x17
0xfffffff008ffddac: 16008052  mov	w22, #0
0xfffffff008ffddb0: 750200f9  str	x21, [x19]
0xfffffff008ffddb4: b4ffff17  b	#0xfffffff008ffdc84
0xfffffff008ffddb8: d6160011  add	w22, w22, #5
0xfffffff008ffddbc: b2ffff17  b	#0xfffffff008ffdc84
0xfffffff008ffddc0: d62a0011  add	w22, w22, #0xa
0xfffffff008ffddc4: b0ffff17  b	#0xfffffff008ffdc84
0xfffffff008ffddc8: aeab0094  bl	#0xfffffff009028c80
0xfffffff008ffddcc: beab0094  bl	#0xfffffff009028cc4
0xfffffff008ffddd0: deab0094  bl	#0xfffffff009028d48
0xfffffff008ffddd4: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff008ffddd8: ccab0094  bl	#0xfffffff009028d08
0xfffffff008ffdddc: e8c34139  ldrb	w8, [sp, #0x70]
0xfffffff008ffdde0: e921ffd0  adrp	x9, #0xfffffff00743b000
0xfffffff008ffdde4: 29591691  add	x9, x9, #0x596
0xfffffff008ffdde8: 6a188152  mov	w10, #0x8c3
0xfffffff008ffddec: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff008ffddf0: e921fff0  adrp	x9, #0xfffffff00743c000
0xfffffff008ffddf4: 29593091  add	x9, x9, #0xc16
0xfffffff008ffddf8: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff008ffddfc: e92b00a9  stp	x9, x10, [sp]
0xfffffff008ffde00: e021fff0  adrp	x0, #0xfffffff00743c000
0xfffffff008ffde04: 00c43391  add	x0, x0, #0xcf1
0xfffffff008ffde08: c159d297  bl	#0xfffffff00849450c
0xfffffff008ffde0c: 480740f9  ldr	x8, [x26, #8]
0xfffffff008ffde10: e921ffd0  adrp	x9, #0xfffffff00743b000
0xfffffff008ffde14: 29591691  add	x9, x9, #0x596
0xfffffff008ffde18: 6a128152  mov	w10, #0x893
0xfffffff008ffde1c: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff008ffde20: e921fff0  adrp	x9, #0xfffffff00743c000
0xfffffff008ffde24: 29593091  add	x9, x9, #0xc16
0xfffffff008ffde28: e86701a9  stp	x8, x25, [sp, #0x10]
0xfffffff008ffde2c: e92b00a9  stp	x9, x10, [sp]
0xfffffff008ffde30: e021fff0  adrp	x0, #0xfffffff00743c000
0xfffffff008ffde34: 00083291  add	x0, x0, #0xc82
0xfffffff008ffde38: b559d297  bl	#0xfffffff00849450c
0xfffffff008ffde3c: 5eab0094  bl	#0xfffffff009028bb4
0xfffffff008ffde40: 6eab0094  bl	#0xfffffff009028bf8
0xfffffff008ffde44: 7eab0094  bl	#0xfffffff009028c3c
0xfffffff008ffde48: ceab0094  bl	#0xfffffff009028d80
0xfffffff008ffde4c: 7f2303d5  pacibsp	
0xfffffff008ffde50: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008ffde54: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ffde58: fd430091  add	x29, sp, #0x10
0xfffffff008ffde5c: 085040f9  ldr	x8, [x0, #0xa0]
0xfffffff008ffde60: a80300b4  cbz	x8, #0xfffffff008ffded4
0xfffffff008ffde64: f40301aa  mov	x20, x1
0xfffffff008ffde68: f30300aa  mov	x19, x0
0xfffffff008ffde6c: 00f46df9  ldr	x0, [x0, #0x5be8]
0xfffffff008ffde70: 17b7b697  bl	#0xfffffff007dabacc
0xfffffff008ffde74: a87c8b52  mov	w8, #0x5be5
0xfffffff008ffde78: 746a2838  strb	w20, [x19, x8]
0xfffffff008ffde7c: 60f66df9  ldr	x0, [x19, #0x5be8]
