; Candidate 14211
; ADRP+ADD at VM 0xfffffff00974e8bc (fileoff 0x274a8bc): page=0xc3d000 add_imm=0xd58

0xfffffff00974e83c: f00308aa  mov	x16, x8
0xfffffff00974e840: e00313aa  mov	x0, x19
0xfffffff00974e844: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00974e848: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00974e84c: ff2303d5  autibsp	
0xfffffff00974e850: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00974e854: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00974e85c
0xfffffff00974e858: 208e38d4  brk	#0xc471
0xfffffff00974e85c: f10302aa  mov	x17, x2
0xfffffff00974e860: d143eef2  movk	x17, #0x721e, lsl #48
0xfffffff00974e864: 110a1fd7  braa	x16, x17
0xfffffff00974e868: 7f2303d5  pacibsp	
0xfffffff00974e86c: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff00974e870: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00974e874: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00974e878: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00974e87c: fdc30091  add	x29, sp, #0x30
0xfffffff00974e880: f40301aa  mov	x20, x1
0xfffffff00974e884: f30300aa  mov	x19, x0
0xfffffff00974e888: 100040f9  ldr	x16, [x0]
0xfffffff00974e88c: f10300aa  mov	x17, x0
0xfffffff00974e890: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974e894: 301ac1da  autda	x16, x17
0xfffffff00974e898: 11a880d2  mov	x17, #0x540
0xfffffff00974e89c: 1002118b  add	x16, x16, x17
0xfffffff00974e8a0: 080240f9  ldr	x8, [x16]
0xfffffff00974e8a4: e90310aa  mov	x9, x16
0xfffffff00974e8a8: f10309aa  mov	x17, x9
0xfffffff00974e8ac: 5188f3f2  movk	x17, #0x9c42, lsl #48
0xfffffff00974e8b0: 11093fd7  blraa	x8, x17
0xfffffff00974e8b4: a00400b4  cbz	x0, #0xfffffff00974e948
0xfffffff00974e8b8: f50300aa  mov	x21, x0
0xfffffff00974e8bc: e06100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00974e8c0: 00603591  add	x0, x0, #0xd58
0xfffffff00974e8c4: 2558ae97  bl	#0xfffffff0082e4958
0xfffffff00974e8c8: f60300aa  mov	x22, x0
0xfffffff00974e8cc: b00240f9  ldr	x16, [x21]
0xfffffff00974e8d0: f10315aa  mov	x17, x21
0xfffffff00974e8d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974e8d8: 301ac1da  autda	x16, x17
0xfffffff00974e8dc: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974e8e0: e90310aa  mov	x9, x16
0xfffffff00974e8e4: e00315aa  mov	x0, x21
0xfffffff00974e8e8: f10309aa  mov	x17, x9
0xfffffff00974e8ec: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974e8f0: 11093fd7  blraa	x8, x17
0xfffffff00974e8f4: f70300aa  mov	x23, x0
0xfffffff00974e8f8: 700240f9  ldr	x16, [x19]
0xfffffff00974e8fc: f10313aa  mov	x17, x19
0xfffffff00974e900: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974e904: 301ac1da  autda	x16, x17
0xfffffff00974e908: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974e90c: e90310aa  mov	x9, x16
0xfffffff00974e910: e00313aa  mov	x0, x19
0xfffffff00974e914: f10309aa  mov	x17, x9
0xfffffff00974e918: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974e91c: 11093fd7  blraa	x8, x17
0xfffffff00974e920: e50300aa  mov	x5, x0
0xfffffff00974e924: e43e0012  and	w4, w23, #0xffff
0xfffffff00974e928: 42f2feb0  adrp	x2, #0xfffffff007597000
0xfffffff00974e92c: 42e83991  add	x2, x2, #0xe7a
0xfffffff00974e930: e00315aa  mov	x0, x21
0xfffffff00974e934: e10316aa  mov	x1, x22
0xfffffff00974e938: e3438052  mov	w3, #0x21f
