; Candidate 65
; ADRP+ADD at VM 0xfffffff007dc1480 (fileoff 0xdbd480): page=0x1ff286000 add_imm=0xeb3

0xfffffff007dc1400: 08038052  mov	w8, #0x18
0xfffffff007dc1404: 606b089b  madd	x0, x27, x8, x26
0xfffffff007dc1408: 28008052  mov	w8, #1
0xfffffff007dc140c: 1a1d7c0a  bic	w26, w8, w28, lsr #7
0xfffffff007dc1410: e10319aa  mov	x1, x25
0xfffffff007dc1414: e20316aa  mov	x2, x22
0xfffffff007dc1418: e30315aa  mov	x3, x21
0xfffffff007dc141c: e40314aa  mov	x4, x20
0xfffffff007dc1420: e50313aa  mov	x5, x19
0xfffffff007dc1424: e60317aa  mov	x6, x23
0xfffffff007dc1428: feec0094  bl	#0xfffffff007dfc820
0xfffffff007dc142c: f30300aa  mov	x19, x0
0xfffffff007dc1430: e00318aa  mov	x0, x24
0xfffffff007dc1434: 17b8ff97  bl	#0xfffffff007daf490
0xfffffff007dc1438: e0031aaa  mov	x0, x26
0xfffffff007dc143c: 87300494  bl	#0xfffffff007ecd658
0xfffffff007dc1440: e00313aa  mov	x0, x19
0xfffffff007dc1444: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007dc1448: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007dc144c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007dc1450: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007dc1454: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007dc1458: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff007dc145c: ff030291  add	sp, sp, #0x80
0xfffffff007dc1460: ff0f5fd6  retab	
0xfffffff007dc1464: 88a98052  mov	w8, #0x54c
0xfffffff007dc1468: 2994ffd0  adrp	x9, #0xfffffff007047000
0xfffffff007dc146c: 29a53991  add	x9, x9, #0xe69
0xfffffff007dc1470: 2a94ffd0  adrp	x10, #0xfffffff007047000
0xfffffff007dc1474: 4aa53c91  add	x10, x10, #0xf29
0xfffffff007dc1478: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007dc147c: ea0300f9  str	x10, [sp]
0xfffffff007dc1480: 2094ffd0  adrp	x0, #0xfffffff007047000
0xfffffff007dc1484: 00cc3a91  add	x0, x0, #0xeb3
0xfffffff007dc1488: 214c1b94  bl	#0xfffffff00849450c
0xfffffff007dc148c: a2d8fff0  adrp	x2, #0xfffffff0078d8000
0xfffffff007dc1490: 42201b91  add	x2, x2, #0x6c8
0xfffffff007dc1494: e00318aa  mov	x0, x24
0xfffffff007dc1498: cbb6ff97  bl	#0xfffffff007daefc4
0xfffffff007dc149c: d5ffff17  b	#0xfffffff007dc13f0
0xfffffff007dc14a0: e10319aa  mov	x1, x25
0xfffffff007dc14a4: e143c1da  xpaci	x1
0xfffffff007dc14a8: 68ddffb0  adrp	x8, #0xfffffff00796e000
0xfffffff007dc14ac: 088145f9  ldr	x8, [x8, #0xb00]
0xfffffff007dc14b0: 3f0008eb  cmp	x1, x8
0xfffffff007dc14b4: a3010054  b.lo	#0xfffffff007dc14e8
0xfffffff007dc14b8: 69ddffb0  adrp	x9, #0xfffffff00796e000
0xfffffff007dc14bc: 298545f9  ldr	x9, [x9, #0xb08]
0xfffffff007dc14c0: 3f0009eb  cmp	x1, x9
0xfffffff007dc14c4: 22010054  b.hs	#0xfffffff007dc14e8
0xfffffff007dc14c8: 6addffb0  adrp	x10, #0xfffffff00796e000
0xfffffff007dc14cc: 4a5946f9  ldr	x10, [x10, #0xcb0]
0xfffffff007dc14d0: 2a000acb  sub	x10, x1, x10
0xfffffff007dc14d4: e143c1da  xpaci	x1
0xfffffff007dc14d8: 3f0009eb  cmp	x1, x9
0xfffffff007dc14dc: 203048fa  ccmp	x1, x8, #0, lo
0xfffffff007dc14e0: 41219f9a  csel	x1, x10, xzr, hs
0xfffffff007dc14e4: 08000014  b	#0xfffffff007dc1504
0xfffffff007dc14e8: 8804c0d2  mov	x8, #0x2400000000
0xfffffff007dc14ec: 2800088b  add	x8, x1, x8
0xfffffff007dc14f0: 08fd65d3  lsr	x8, x8, #0x25
0xfffffff007dc14f4: 880000b5  cbnz	x8, #0xfffffff007dc1504
0xfffffff007dc14f8: 68ddffb0  adrp	x8, #0xfffffff00796e000
0xfffffff007dc14fc: 084540f9  ldr	x8, [x8, #0x88]
