; Candidate 2875
; ADRP+ADD at VM 0xfffffff0086f2e40 (fileoff 0x16eee40): page=0x1fea3f000 add_imm=0xd90

0xfffffff0086f2dc0: f60300aa  mov	x22, x0
0xfffffff0086f2dc4: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff0086f2dc8: 74020191  add	x20, x19, #0x40
0xfffffff0086f2dcc: 100040f9  ldr	x16, [x0]
0xfffffff0086f2dd0: f10300aa  mov	x17, x0
0xfffffff0086f2dd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086f2dd8: 301ac1da  autda	x16, x17
0xfffffff0086f2ddc: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff0086f2de0: e90310aa  mov	x9, x16
0xfffffff0086f2de4: 81008052  mov	w1, #4
0xfffffff0086f2de8: e20316aa  mov	x2, x22
0xfffffff0086f2dec: e30314aa  mov	x3, x20
0xfffffff0086f2df0: f10309aa  mov	x17, x9
0xfffffff0086f2df4: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff0086f2df8: 11093fd7  blraa	x8, x17
0xfffffff0086f2dfc: f70300aa  mov	x23, x0
0xfffffff0086f2e00: d00240f9  ldr	x16, [x22]
0xfffffff0086f2e04: f10316aa  mov	x17, x22
0xfffffff0086f2e08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086f2e0c: 301ac1da  autda	x16, x17
0xfffffff0086f2e10: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0086f2e14: e90310aa  mov	x9, x16
0xfffffff0086f2e18: e00316aa  mov	x0, x22
0xfffffff0086f2e1c: f10309aa  mov	x17, x9
0xfffffff0086f2e20: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0086f2e24: 11093fd7  blraa	x8, x17
0xfffffff0086f2e28: 97040034  cbz	w23, #0xfffffff0086f2eb8
0xfffffff0086f2e2c: 94578052  mov	w20, #0x2bc
0xfffffff0086f2e30: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0086f2e34: e852ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086f2e38: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086f2e3c: e85700a9  stp	x8, x21, [sp]
0xfffffff0086f2e40: e051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f2e44: 00403691  add	x0, x0, #0xd90
0xfffffff0086f2e48: 4198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f2e4c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f2e50: 0352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086f2e54: 63742091  add	x3, x3, #0x81d
0xfffffff0086f2e58: 02008052  mov	w2, #0
0xfffffff0086f2e5c: b500f197  bl	#0xfffffff008333130
0xfffffff0086f2e60: 0f000014  b	#0xfffffff0086f2e9c
0xfffffff0086f2e64: 94578052  mov	w20, #0x2bc
0xfffffff0086f2e68: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0086f2e6c: ffd700a9  stp	xzr, x21, [sp, #8]
0xfffffff0086f2e70: e852ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086f2e74: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086f2e78: e80300f9  str	x8, [sp]
0xfffffff0086f2e7c: e051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f2e80: 00403691  add	x0, x0, #0xd90
0xfffffff0086f2e84: 4198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f2e88: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f2e8c: 0352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086f2e90: 63841f91  add	x3, x3, #0x7e1
0xfffffff0086f2e94: 02008052  mov	w2, #0
0xfffffff0086f2e98: a600f197  bl	#0xfffffff008333130
0xfffffff0086f2e9c: e00314aa  mov	x0, x20
0xfffffff0086f2ea0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0086f2ea4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0086f2ea8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0086f2eac: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0086f2eb0: ff830191  add	sp, sp, #0x60
0xfffffff0086f2eb4: ff0f5fd6  retab	
0xfffffff0086f2eb8: 800240f9  ldr	x0, [x20]
0xfffffff0086f2ebc: 800400b4  cbz	x0, #0xfffffff0086f2f4c
