; Candidate 15982
; ADRP+ADD at VM 0xfffffff009df4e98 (fileoff 0x2df0e98): page=0x5ca000 add_imm=0xec0

0xfffffff009df4e18: ffc300d1  sub	sp, sp, #0x30
0xfffffff009df4e1c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009df4e20: fd830091  add	x29, sp, #0x20
0xfffffff009df4e24: a8068052  mov	w8, #0x35
0xfffffff009df4e28: 29c5fef0  adrp	x9, #0xfffffff00769b000
0xfffffff009df4e2c: 29110691  add	x9, x9, #0x184
0xfffffff009df4e30: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009df4e34: e00300f9  str	x0, [sp]
0xfffffff009df4e38: 20c5fef0  adrp	x0, #0xfffffff00769b000
0xfffffff009df4e3c: 00e00591  add	x0, x0, #0x178
0xfffffff009df4e40: b37d9a97  bl	#0xfffffff00849450c
0xfffffff009df4e44: 7f2303d5  pacibsp	
0xfffffff009df4e48: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df4e4c: fd030091  mov	x29, sp
0xfffffff009df4e50: 402e00d0  adrp	x0, #0xfffffff00a3be000
0xfffffff009df4e54: 00003b91  add	x0, x0, #0xec0
0xfffffff009df4e58: 61c5fed0  adrp	x1, #0xfffffff0076a2000
0xfffffff009df4e5c: 21381e91  add	x1, x1, #0x78e
0xfffffff009df4e60: 422e00d0  adrp	x2, #0xfffffff00a3be000
0xfffffff009df4e64: 42e03091  add	x2, x2, #0xc38
0xfffffff009df4e68: 03248052  mov	w3, #0x120
0xfffffff009df4e6c: 33bb9397  bl	#0xfffffff0082e3b38
0xfffffff009df4e70: 90f9fed0  adrp	x16, #0xfffffff007d26000
0xfffffff009df4e74: 10422d91  add	x16, x16, #0xb50
0xfffffff009df4e78: 10420091  add	x16, x16, #0x10
0xfffffff009df4e7c: f10300aa  mov	x17, x0
0xfffffff009df4e80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df4e84: 300ac1da  pacda	x16, x17
0xfffffff009df4e88: 100000f9  str	x16, [x0]
0xfffffff009df4e8c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df4e90: ff0f5fd6  retab	
0xfffffff009df4e94: 5f2403d5  bti	c
0xfffffff009df4e98: 402e00d0  adrp	x0, #0xfffffff00a3be000
0xfffffff009df4e9c: 00003b91  add	x0, x0, #0xec0
0xfffffff009df4ea0: 15be9317  b	#0xfffffff0082e46f4
0xfffffff009df4ea4: e00300f9  str	x0, [sp]
0xfffffff009df4ea8: e00308aa  mov	x0, x8
0xfffffff009df4eac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009df4eb0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009df4eb8
0xfffffff009df4eb4: 208e38d4  brk	#0xc471
0xfffffff009df4eb8: 957d9a17  b	#0xfffffff00849450c
0xfffffff009df4ebc: 7f2303d5  pacibsp	
0xfffffff009df4ec0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df4ec4: fd030091  mov	x29, sp
0xfffffff009df4ec8: 61c5fef0  adrp	x1, #0xfffffff0076a3000
0xfffffff009df4ecc: 21e40091  add	x1, x1, #0x39
0xfffffff009df4ed0: 42f9feb0  adrp	x2, #0xfffffff007d1d000
0xfffffff009df4ed4: 427843f9  ldr	x2, [x2, #0x6f0]
0xfffffff009df4ed8: 03098052  mov	w3, #0x48
0xfffffff009df4edc: 17bb9397  bl	#0xfffffff0082e3b38
0xfffffff009df4ee0: 90f9fed0  adrp	x16, #0xfffffff007d26000
0xfffffff009df4ee4: 10e23191  add	x16, x16, #0xc78
0xfffffff009df4ee8: 10420091  add	x16, x16, #0x10
0xfffffff009df4eec: f10300aa  mov	x17, x0
0xfffffff009df4ef0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df4ef4: 300ac1da  pacda	x16, x17
0xfffffff009df4ef8: 100000f9  str	x16, [x0]
0xfffffff009df4efc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df4f00: ff0f5fd6  retab	
0xfffffff009df4f04: 5f2403d5  bti	c
0xfffffff009df4f08: fbbd9317  b	#0xfffffff0082e46f4
0xfffffff009df4f0c: 7f2303d5  pacibsp	
0xfffffff009df4f10: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df4f14: fd030091  mov	x29, sp
