; Candidate 15385
; ADRP+ADD at VM 0xfffffff009b5927c (fileoff 0x2b5527c): page=0x1fdacf000 add_imm=0xed0

0xfffffff009b591fc: 40000054  b.eq	#0xfffffff009b59204
0xfffffff009b59200: 408e38d4  brk	#0xc472
0xfffffff009b59204: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b59208: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b5920c: e00313aa  mov	x0, x19
0xfffffff009b59210: 010080d2  mov	x1, #0
0xfffffff009b59214: f10308aa  mov	x17, x8
0xfffffff009b59218: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b5921c: 31093fd7  blraa	x9, x17
0xfffffff009b59220: f50300aa  mov	x21, x0
0xfffffff009b59224: 700240f9  ldr	x16, [x19]
0xfffffff009b59228: f10313aa  mov	x17, x19
0xfffffff009b5922c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b59230: 301ac1da  autda	x16, x17
0xfffffff009b59234: f10310aa  mov	x17, x16
0xfffffff009b59238: f147c1da  xpacd	x17
0xfffffff009b5923c: 1f0211eb  cmp	x16, x17
0xfffffff009b59240: 40000054  b.eq	#0xfffffff009b59248
0xfffffff009b59244: 408e38d4  brk	#0xc472
0xfffffff009b59248: 08620891  add	x8, x16, #0x218
0xfffffff009b5924c: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b59250: e00313aa  mov	x0, x19
0xfffffff009b59254: 010080d2  mov	x1, #0
0xfffffff009b59258: f10308aa  mov	x17, x8
0xfffffff009b5925c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b59260: 31093fd7  blraa	x9, x17
0xfffffff009b59264: 88d6fed0  adrp	x8, #0xfffffff00762b000
0xfffffff009b59268: 08350e91  add	x8, x8, #0x38d
0xfffffff009b5926c: 89d6fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b59270: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b59274: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b59278: f50300a9  stp	x21, x0, [sp]
0xfffffff009b5927c: 60d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b59280: 00403b91  add	x0, x0, #0xed0
0xfffffff009b59284: a3d6fe90  adrp	x3, #0xfffffff00762d000
0xfffffff009b59288: 63180091  add	x3, x3, #6
0xfffffff009b5928c: e10314aa  mov	x1, x20
0xfffffff009b59290: 02028052  mov	w2, #0x10
0xfffffff009b59294: a7679f97  bl	#0xfffffff008333130
0xfffffff009b59298: e00313aa  mov	x0, x19
0xfffffff009b5929c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009b592a0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009b592a4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009b592a8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009b592ac: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff009b592b0: ff430291  add	sp, sp, #0x90
0xfffffff009b592b4: ff2303d5  autibsp	
0xfffffff009b592b8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009b592bc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009b592c4
0xfffffff009b592c0: 208e38d4  brk	#0xc471
0xfffffff009b592c4: ddf0ff17  b	#0xfffffff009b55638
0xfffffff009b592c8: d67a1f53  lsl	w22, w22, #1
0xfffffff009b592cc: 700240f9  ldr	x16, [x19]
0xfffffff009b592d0: f10313aa  mov	x17, x19
0xfffffff009b592d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b592d8: 301ac1da  autda	x16, x17
0xfffffff009b592dc: 113d80d2  mov	x17, #0x1e8
0xfffffff009b592e0: 1002118b  add	x16, x16, x17
0xfffffff009b592e4: 080240f9  ldr	x8, [x16]
0xfffffff009b592e8: e90310aa  mov	x9, x16
0xfffffff009b592ec: e00313aa  mov	x0, x19
0xfffffff009b592f0: 010080d2  mov	x1, #0
0xfffffff009b592f4: f10309aa  mov	x17, x9
0xfffffff009b592f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
