; Candidate 11588
; ADRP+ADD at VM 0xfffffff008fc0a68 (fileoff 0x1fbca68): page=0x1feb71000 add_imm=0xd58

0xfffffff008fc09e8: 10420d91  add	x16, x16, #0x350
0xfffffff008fc09ec: 10420091  add	x16, x16, #0x10
0xfffffff008fc09f0: f10300aa  mov	x17, x0
0xfffffff008fc09f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fc09f8: 300ac1da  pacda	x16, x17
0xfffffff008fc09fc: 100000f9  str	x16, [x0]
0xfffffff008fc0a00: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008fc0a04: ff0f5fd6  retab	
0xfffffff008fc0a08: 5f2403d5  bti	c
0xfffffff008fc0a0c: b30fdb17  b	#0xfffffff0086848d8
0xfffffff008fc0a10: 5f2403d5  bti	c
0xfffffff008fc0a14: b10fdb17  b	#0xfffffff0086848d8
0xfffffff008fc0a18: 7f2303d5  pacibsp	
0xfffffff008fc0a1c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008fc0a20: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008fc0a24: fd430091  add	x29, sp, #0x10
0xfffffff008fc0a28: f30300aa  mov	x19, x0
0xfffffff008fc0a2c: ab0fdb97  bl	#0xfffffff0086848d8
0xfffffff008fc0a30: 805bffb0  adrp	x0, #0xfffffff007b31000
0xfffffff008fc0a34: 00603591  add	x0, x0, #0xd58
0xfffffff008fc0a38: e10313aa  mov	x1, x19
0xfffffff008fc0a3c: 02088052  mov	w2, #0x40
0xfffffff008fc0a40: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008fc0a44: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008fc0a48: ff2303d5  autibsp	
0xfffffff008fc0a4c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008fc0a50: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008fc0a58
0xfffffff008fc0a54: 208e38d4  brk	#0xc471
0xfffffff008fc0a58: 119bcc17  b	#0xfffffff0082e769c
0xfffffff008fc0a5c: 5f2403d5  bti	c
0xfffffff008fc0a60: e20301aa  mov	x2, x1
0xfffffff008fc0a64: e10300aa  mov	x1, x0
0xfffffff008fc0a68: 805bffb0  adrp	x0, #0xfffffff007b31000
0xfffffff008fc0a6c: 00603591  add	x0, x0, #0xd58
0xfffffff008fc0a70: 0b9bcc17  b	#0xfffffff0082e769c
0xfffffff008fc0a74: 5f2403d5  bti	c
0xfffffff008fc0a78: 609a00b0  adrp	x0, #0xfffffff00a30d000
0xfffffff008fc0a7c: 00401091  add	x0, x0, #0x410
0xfffffff008fc0a80: c0035fd6  ret	
0xfffffff008fc0a84: 7f2303d5  pacibsp	
0xfffffff008fc0a88: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008fc0a8c: fd030091  mov	x29, sp
0xfffffff008fc0a90: 8123ff90  adrp	x1, #0xfffffff007430000
0xfffffff008fc0a94: 21a01091  add	x1, x1, #0x428
0xfffffff008fc0a98: 425bfff0  adrp	x2, #0xfffffff007b2b000
0xfffffff008fc0a9c: 42ac42f9  ldr	x2, [x2, #0x558]
0xfffffff008fc0aa0: 03088052  mov	w3, #0x40
0xfffffff008fc0aa4: 258ccc97  bl	#0xfffffff0082e3b38
0xfffffff008fc0aa8: 905bff90  adrp	x16, #0xfffffff007b30000
0xfffffff008fc0aac: 10c20f91  add	x16, x16, #0x3f0
0xfffffff008fc0ab0: 10420091  add	x16, x16, #0x10
0xfffffff008fc0ab4: f10300aa  mov	x17, x0
0xfffffff008fc0ab8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fc0abc: 300ac1da  pacda	x16, x17
0xfffffff008fc0ac0: 100000f9  str	x16, [x0]
0xfffffff008fc0ac4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008fc0ac8: ff0f5fd6  retab	
0xfffffff008fc0acc: 7f2303d5  pacibsp	
0xfffffff008fc0ad0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008fc0ad4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008fc0ad8: fd430091  add	x29, sp, #0x10
0xfffffff008fc0adc: 805bffb0  adrp	x0, #0xfffffff007b31000
0xfffffff008fc0ae0: 00603591  add	x0, x0, #0xd58
0xfffffff008fc0ae4: 01088052  mov	w1, #0x40
