; Candidate 6457
; ADRP+ADD at VM 0xfffffff00882c858 (fileoff 0x1828858): page=0x1fe9e7000 add_imm=0xded

0xfffffff00882c7d8: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff00882c7dc: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882c7e0: 08191091  add	x8, x8, #0x406
0xfffffff00882c7e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882c7e8: 480f8052  mov	w8, #0x7a
0xfffffff00882c7ec: f62300a9  stp	x22, x8, [sp]
0xfffffff00882c7f0: e04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882c7f4: 00003a91  add	x0, x0, #0xe80
0xfffffff00882c7f8: e18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00882c7fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882c800: 0351ff90  adrp	x3, #0xfffffff00724c000
0xfffffff00882c804: 63b41a91  add	x3, x3, #0x6ad
0xfffffff00882c808: 02008052  mov	w2, #0
0xfffffff00882c80c: 491aec97  bl	#0xfffffff008333130
0xfffffff00882c810: 400f8052  mov	w0, #0x7a
0xfffffff00882c814: e1008052  mov	w1, #7
0xfffffff00882c818: ee3b0194  bl	#0xfffffff00887b7d0
0xfffffff00882c81c: 00050034  cbz	w0, #0xfffffff00882c8bc
0xfffffff00882c820: 400f8052  mov	w0, #0x7a
0xfffffff00882c824: fd3b0194  bl	#0xfffffff00887b818
0xfffffff00882c828: f70300aa  mov	x23, x0
0xfffffff00882c82c: 601e0294  bl	#0xfffffff0088b41ac
0xfffffff00882c830: f60300aa  mov	x22, x0
0xfffffff00882c834: e0008052  mov	w0, #7
0xfffffff00882c838: 063c0194  bl	#0xfffffff00887b850
0xfffffff00882c83c: 97010034  cbz	w23, #0xfffffff00882c86c
0xfffffff00882c840: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00882c844: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882c848: 08191091  add	x8, x8, #0x406
0xfffffff00882c84c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00882c850: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882c854: 480f8052  mov	w8, #0x7a
0xfffffff00882c858: 204ffff0  adrp	x0, #0xfffffff007213000
0xfffffff00882c85c: 00b43791  add	x0, x0, #0xded
0xfffffff00882c860: f62300a9  stp	x22, x8, [sp]
0xfffffff00882c864: ff2ad697  bl	#0xfffffff007db7460
0xfffffff00882c868: 15000014  b	#0xfffffff00882c8bc
0xfffffff00882c86c: 501e0294  bl	#0xfffffff0088b41ac
0xfffffff00882c870: f60300aa  mov	x22, x0
0xfffffff00882c874: e0008052  mov	w0, #7
0xfffffff00882c878: f63b0194  bl	#0xfffffff00887b850
0xfffffff00882c87c: e80315aa  mov	x8, x21
0xfffffff00882c880: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00882c884: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882c888: 08191091  add	x8, x8, #0x406
0xfffffff00882c88c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00882c890: 480f8052  mov	w8, #0x7a
0xfffffff00882c894: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882c898: f60300f9  str	x22, [sp]
0xfffffff00882c89c: e04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882c8a0: 00003a91  add	x0, x0, #0xe80
0xfffffff00882c8a4: e18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00882c8a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882c8ac: 0351ff90  adrp	x3, #0xfffffff00724c000
0xfffffff00882c8b0: 63641b91  add	x3, x3, #0x6d9
0xfffffff00882c8b4: 02008052  mov	w2, #0
0xfffffff00882c8b8: 1e1aec97  bl	#0xfffffff008333130
0xfffffff00882c8bc: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff00882c8c0: e98eff90  adrp	x9, #0xfffffff007a08000
0xfffffff00882c8c4: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00882c8c8: 290140f9  ldr	x9, [x9]
0xfffffff00882c8cc: 3f0108eb  cmp	x9, x8
0xfffffff00882c8d0: 01010054  b.ne	#0xfffffff00882c8f0
0xfffffff00882c8d4: e00315aa  mov	x0, x21
