; Candidate 5398
; ADRP+ADD at VM 0xfffffff0087ee338 (fileoff 0x17ea338): page=0x1fe9fb000 add_imm=0xe80

0xfffffff0087ee2b8: ba250034  cbz	w26, #0xfffffff0087ee76c
0xfffffff0087ee2bc: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff0087ee2c0: 695b40b9  ldr	w9, [x27, #0x58]
0xfffffff0087ee2c4: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff0087ee2c8: e8ef03a9  stp	x8, x27, [sp, #0x38]
0xfffffff0087ee2cc: 0851ffd0  adrp	x8, #0xfffffff007210000
0xfffffff0087ee2d0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087ee2d4: c9218052  mov	w9, #0x10e
0xfffffff0087ee2d8: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff0087ee2dc: 2851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087ee2e0: 08752291  add	x8, x8, #0x89d
0xfffffff0087ee2e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087ee2e8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087ee2ec: 080f8052  mov	w8, #0x78
0xfffffff0087ee2f0: 2051ffd0  adrp	x0, #0xfffffff007214000
0xfffffff0087ee2f4: 00702091  add	x0, x0, #0x81c
0xfffffff0087ee2f8: f92300a9  stp	x25, x8, [sp]
0xfffffff0087ee2fc: 5924d797  bl	#0xfffffff007db7460
0xfffffff0087ee300: e3000014  b	#0xfffffff0087ee68c
0xfffffff0087ee304: aa170394  bl	#0xfffffff0088b41ac
0xfffffff0087ee308: f80300aa  mov	x24, x0
0xfffffff0087ee30c: e0008052  mov	w0, #7
0xfffffff0087ee310: 50350294  bl	#0xfffffff00887b850
0xfffffff0087ee314: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff0087ee318: e8031caa  mov	x8, x28
0xfffffff0087ee31c: f5a302a9  stp	x21, x8, [sp, #0x28]
0xfffffff0087ee320: 2851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087ee324: 08752291  add	x8, x8, #0x89d
0xfffffff0087ee328: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff0087ee32c: 080f8052  mov	w8, #0x78
0xfffffff0087ee330: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ee334: f80300f9  str	x24, [sp]
0xfffffff0087ee338: c04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ee33c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ee340: c190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ee344: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ee348: 8352ffb0  adrp	x3, #0xfffffff00723f000
0xfffffff0087ee34c: 63d80591  add	x3, x3, #0x176
0xfffffff0087ee350: 02008052  mov	w2, #0
0xfffffff0087ee354: 7713ed97  bl	#0xfffffff008333130
0xfffffff0087ee358: b4f0ffb5  cbnz	x20, #0xfffffff0087ee16c
0xfffffff0087ee35c: 000f8052  mov	w0, #0x78
0xfffffff0087ee360: 81008052  mov	w1, #4
0xfffffff0087ee364: 1b350294  bl	#0xfffffff00887b7d0
0xfffffff0087ee368: 00190034  cbz	w0, #0xfffffff0087ee688
0xfffffff0087ee36c: 000f8052  mov	w0, #0x78
0xfffffff0087ee370: 2a350294  bl	#0xfffffff00887b818
0xfffffff0087ee374: f90300aa  mov	x25, x0
0xfffffff0087ee378: 8d170394  bl	#0xfffffff0088b41ac
0xfffffff0087ee37c: f80300aa  mov	x24, x0
0xfffffff0087ee380: 80008052  mov	w0, #4
0xfffffff0087ee384: 33350294  bl	#0xfffffff00887b850
0xfffffff0087ee388: f9140034  cbz	w25, #0xfffffff0087ee624
0xfffffff0087ee38c: f6df04a9  stp	x22, x23, [sp, #0x48]
0xfffffff0087ee390: e8031caa  mov	x8, x28
0xfffffff0087ee394: f5a303a9  stp	x21, x8, [sp, #0x38]
0xfffffff0087ee398: 2851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087ee39c: 085d1e91  add	x8, x8, #0x797
0xfffffff0087ee3a0: 091d8052  mov	w9, #0xe8
0xfffffff0087ee3a4: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff0087ee3a8: 2851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087ee3ac: 08752291  add	x8, x8, #0x89d
0xfffffff0087ee3b0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087ee3b4: e00b00f9  str	x0, [sp, #0x10]
