; Candidate 15786
; ADRP+ADD at VM 0xfffffff009d107b8 (fileoff 0x2d0c7b8): page=0x1fdff5000 add_imm=0xe90

0xfffffff009d10738: 10023e91  add	x16, x16, #0xf80
0xfffffff009d1073c: 10420091  add	x16, x16, #0x10
0xfffffff009d10740: f10300aa  mov	x17, x0
0xfffffff009d10744: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d10748: 300ac1da  pacda	x16, x17
0xfffffff009d1074c: 100000f9  str	x16, [x0]
0xfffffff009d10750: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d10754: ff0f5fd6  retab	
0xfffffff009d10758: 5f2403d5  bti	c
0xfffffff009d1075c: b5020014  b	#0xfffffff009d11230
0xfffffff009d10760: 5f2403d5  bti	c
0xfffffff009d10764: b3020014  b	#0xfffffff009d11230
0xfffffff009d10768: 7f2303d5  pacibsp	
0xfffffff009d1076c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d10770: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d10774: fd430091  add	x29, sp, #0x10
0xfffffff009d10778: f30300aa  mov	x19, x0
0xfffffff009d1077c: ad020094  bl	#0xfffffff009d11230
0xfffffff009d10780: a0fffeb0  adrp	x0, #0xfffffff007d05000
0xfffffff009d10784: 00403a91  add	x0, x0, #0xe90
0xfffffff009d10788: e10313aa  mov	x1, x19
0xfffffff009d1078c: 022e8052  mov	w2, #0x170
0xfffffff009d10790: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009d10794: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009d10798: ff2303d5  autibsp	
0xfffffff009d1079c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009d107a0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009d107a8
0xfffffff009d107a4: 208e38d4  brk	#0xc471
0xfffffff009d107a8: bd5b9717  b	#0xfffffff0082e769c
0xfffffff009d107ac: 5f2403d5  bti	c
0xfffffff009d107b0: e20301aa  mov	x2, x1
0xfffffff009d107b4: e10300aa  mov	x1, x0
0xfffffff009d107b8: a0fffeb0  adrp	x0, #0xfffffff007d05000
0xfffffff009d107bc: 00403a91  add	x0, x0, #0xe90
0xfffffff009d107c0: b75b9717  b	#0xfffffff0082e769c
0xfffffff009d107c4: 5f2403d5  bti	c
0xfffffff009d107c8: 60350090  adrp	x0, #0xfffffff00a3bc000
0xfffffff009d107cc: 00800291  add	x0, x0, #0xa0
0xfffffff009d107d0: c0035fd6  ret	
0xfffffff009d107d4: 7f2303d5  pacibsp	
0xfffffff009d107d8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009d107dc: fd030091  mov	x29, sp
0xfffffff009d107e0: c1cafed0  adrp	x1, #0xfffffff00766a000
0xfffffff009d107e4: 21202a91  add	x1, x1, #0xa88
0xfffffff009d107e8: 62350090  adrp	x2, #0xfffffff00a3bc000
0xfffffff009d107ec: 42200391  add	x2, x2, #0xc8
0xfffffff009d107f0: 032e8052  mov	w3, #0x170
0xfffffff009d107f4: d14c9797  bl	#0xfffffff0082e3b38
0xfffffff009d107f8: b0fffeb0  adrp	x16, #0xfffffff007d05000
0xfffffff009d107fc: 10e21991  add	x16, x16, #0x678
0xfffffff009d10800: 10420091  add	x16, x16, #0x10
0xfffffff009d10804: f10300aa  mov	x17, x0
0xfffffff009d10808: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d1080c: 300ac1da  pacda	x16, x17
0xfffffff009d10810: 100000f9  str	x16, [x0]
0xfffffff009d10814: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d10818: ff0f5fd6  retab	
0xfffffff009d1081c: 7f2303d5  pacibsp	
0xfffffff009d10820: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d10824: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d10828: fd430091  add	x29, sp, #0x10
0xfffffff009d1082c: a0fffeb0  adrp	x0, #0xfffffff007d05000
0xfffffff009d10830: 00403a91  add	x0, x0, #0xe90
0xfffffff009d10834: 012e8052  mov	w1, #0x170
