; Candidate 2712
; ADRP+ADD at VM 0xfffffff0086e4a78 (fileoff 0x16e0a78): page=0x1fea4d000 add_imm=0xd90

0xfffffff0086e49f8: 75050034  cbz	w21, #0xfffffff0086e4aa4
0xfffffff0086e49fc: 0a0240b9  ldr	w10, [x16]
0xfffffff0086e4a00: 290240b9  ldr	w9, [x17]
0xfffffff0086e4a04: 5f090071  cmp	w10, #2
0xfffffff0086e4a08: a8050054  b.hi	#0xfffffff0086e4abc
0xfffffff0086e4a0c: 08008052  mov	w8, #0
0xfffffff0086e4a10: 14008052  mov	w20, #0
0xfffffff0086e4a14: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e4a18: 8b008052  mov	w11, #4
0xfffffff0086e4a1c: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e4a20: 945e1853  lsl	w20, w20, #8
0xfffffff0086e4a24: bf010ceb  cmp	x13, x12
0xfffffff0086e4a28: 02010054  b.hs	#0xfffffff0086e4a48
0xfffffff0086e4a2c: 08210011  add	w8, w8, #8
0xfffffff0086e4a30: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e4a34: ae050091  add	x14, x13, #1
0xfffffff0086e4a38: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e4a3c: ad014039  ldrb	w13, [x13]
0xfffffff0086e4a40: 94020d2a  orr	w20, w20, w13
0xfffffff0086e4a44: ed030eaa  mov	x13, x14
0xfffffff0086e4a48: 6b050071  subs	w11, w11, #1
0xfffffff0086e4a4c: a1feff54  b.ne	#0xfffffff0086e4a20
0xfffffff0086e4a50: 6b008052  mov	w11, #3
0xfffffff0086e4a54: 73010a4b  sub	w19, w11, w10
0xfffffff0086e4a58: ea030a4b  neg	w10, w10
0xfffffff0086e4a5c: 2925ca1a  lsr	w9, w9, w10
0xfffffff0086e4a60: 3521d31a  lsl	w21, w9, w19
0xfffffff0086e4a64: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e4a68: 290140b9  ldr	w9, [x9]
0xfffffff0086e4a6c: 3f011a6a  tst	w9, w26
0xfffffff0086e4a70: e0020054  b.eq	#0xfffffff0086e4acc
0xfffffff0086e4a74: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e4a78: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e4a7c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e4a80: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e4a84: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e4a88: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e4a8c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e4a90: 02008052  mov	w2, #0
0xfffffff0086e4a94: a739f197  bl	#0xfffffff008333130
0xfffffff0086e4a98: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e4a9c: 080240b9  ldr	w8, [x16]
0xfffffff0086e4aa0: 0b000014  b	#0xfffffff0086e4acc
0xfffffff0086e4aa4: 08154039  ldrb	w8, [x8, #5]
0xfffffff0086e4aa8: 685a00b9  str	w8, [x19, #0x58]
0xfffffff0086e4aac: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e4ab0: 08050034  cbz	w8, #0xfffffff0086e4b50
0xfffffff0086e4ab4: 742a40b9  ldr	w20, [x19, #0x28]
0xfffffff0086e4ab8: 45000014  b	#0xfffffff0086e4bcc
0xfffffff0086e4abc: 15008052  mov	w21, #0
0xfffffff0086e4ac0: 73008052  mov	w19, #3
0xfffffff0086e4ac4: e8030aaa  mov	x8, x10
0xfffffff0086e4ac8: f40309aa  mov	x20, x9
0xfffffff0086e4acc: e903134b  neg	w9, w19
0xfffffff0086e4ad0: 8926c91a  lsr	w9, w20, w9
0xfffffff0086e4ad4: 3501152a  orr	w21, w9, w21
0xfffffff0086e4ad8: 8922d31a  lsl	w9, w20, w19
0xfffffff0086e4adc: 290200b9  str	w9, [x17]
0xfffffff0086e4ae0: 0801134b  sub	w8, w8, w19
0xfffffff0086e4ae4: 080200b9  str	w8, [x16]
0xfffffff0086e4ae8: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e4aec: 290140b9  ldr	w9, [x9]
0xfffffff0086e4af0: 3f011a6a  tst	w9, w26
0xfffffff0086e4af4: c0010054  b.eq	#0xfffffff0086e4b2c
